snapshot_ts,local_time,date,city,series_ticker,ticker,subtitle,floor_strike,cap_strike,volume_in_slot,volume_92_97,cumulative_volume,open_interest,status,result
2026-02-13T16:00:00-05:00,2026-02-13 16:00,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-T35,34° or below,35,35,0.0,0.0,32509.00,28329.00,finalized,no
2026-02-13T16:30:00-05:00,2026-02-13 16:30,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-T35,34° or below,35,35,0.0,0.0,32509.00,28329.00,finalized,no
2026-02-13T17:00:00-05:00,2026-02-13 17:00,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-T35,34° or below,35,35,0.0,0.0,32509.00,28329.00,finalized,no
2026-02-13T17:30:00-05:00,2026-02-13 17:30,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-T35,34° or below,35,35,0.0,0.0,32509.00,28329.00,finalized,no
2026-02-13T18:00:00-05:00,2026-02-13 18:00,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-T35,34° or below,35,35,0.0,0.0,32509.00,28329.00,finalized,no
2026-02-13T18:30:00-05:00,2026-02-13 18:30,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-T35,34° or below,35,35,0.0,0.0,32509.00,28329.00,finalized,no
2026-02-13T19:00:00-05:00,2026-02-13 19:00,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-T35,34° or below,35,35,661.0,0.0,32509.00,28329.00,finalized,no
2026-02-13T19:30:00-05:00,2026-02-13 19:30,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-T35,34° or below,35,35,0.0,0.0,32509.00,28329.00,finalized,no
2026-02-13T16:00:00-05:00,2026-02-13 16:00,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-B35.5,35° to 36°,35,36,0.0,0.0,86956.00,55160.00,finalized,no
2026-02-13T16:30:00-05:00,2026-02-13 16:30,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-B35.5,35° to 36°,35,36,0.0,0.0,86956.00,55160.00,finalized,no
2026-02-13T17:00:00-05:00,2026-02-13 17:00,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-B35.5,35° to 36°,35,36,0.0,0.0,86956.00,55160.00,finalized,no
2026-02-13T17:30:00-05:00,2026-02-13 17:30,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-B35.5,35° to 36°,35,36,0.0,0.0,86956.00,55160.00,finalized,no
2026-02-13T18:00:00-05:00,2026-02-13 18:00,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-B35.5,35° to 36°,35,36,0.0,0.0,86956.00,55160.00,finalized,no
2026-02-13T18:30:00-05:00,2026-02-13 18:30,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-B35.5,35° to 36°,35,36,0.0,0.0,86956.00,55160.00,finalized,no
2026-02-13T19:00:00-05:00,2026-02-13 19:00,2026-02-13,New York,KXHIGHNY,KXHIGHNY-26FEB13-B35.5,35° to 36°,35,36,940.0,0.0,86956.00,55160.00,finalized,no
