ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHAUS,2022-01-01,81.9,45.3,61.0,986.1,77,21.6,200,0.028,0.0
KXHIGHAUS,2022-01-02,45.1,25.1,14.0,1006.9,18,19.9,339,0.008,0.0
KXHIGHAUS,2022-01-03,52.3,26.9,24.6,1011.0,3,6.3,197,0.0,0.0
KXHIGHAUS,2022-01-04,62.2,35.2,32.8,1001.2,20,16.9,199,0.0,0.0
KXHIGHAUS,2022-01-05,69.4,43.5,39.8,993.5,3,6.7,275,0.0,0.0
KXHIGHAUS,2022-01-06,55.1,36.5,29.0,997.3,1,17.7,358,0.0,0.0
KXHIGHAUS,2022-01-07,52.0,28.2,25.8,1002.7,42,8.2,20,0.024,0.0
KXHIGHAUS,2022-01-08,64.8,43.7,53.8,996.7,98,11.2,197,0.201,0.0
KXHIGHAUS,2022-01-09,62.2,45.7,44.9,1003.7,53,19.3,331,0.0,0.0
KXHIGHAUS,2022-01-10,55.9,41.0,26.3,1015.1,92,16.3,6,0.0,0.0
KXHIGHAUS,2022-01-11,51.1,38.5,28.0,1013.8,94,8.3,22,0.028,0.028
KXHIGHAUS,2022-01-12,60.9,43.3,39.4,1007.0,54,6.6,174,0.0,0.0
KXHIGHAUS,2022-01-13,70.6,41.9,37.8,1001.8,1,11.0,289,0.0,0.0
KXHIGHAUS,2022-01-14,72.7,40.5,39.6,994.0,22,15.1,209,0.0,0.0
KXHIGHAUS,2022-01-15,59.9,40.5,23.3,999.9,36,26.7,327,0.0,0.0
KXHIGHAUS,2022-01-16,58.8,34.9,23.1,1001.4,0,17.0,319,0.0,0.0
KXHIGHAUS,2022-01-17,64.3,32.4,28.1,999.9,13,8.7,201,0.0,0.0
KXHIGHAUS,2022-01-18,72.0,47.0,46.1,996.0,49,17.3,190,0.0,0.0
