ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHCHI,2022-01-01,39.5,29.7,30.5,977.7,100,26.5,26,0.358,2.48
KXHIGHCHI,2022-01-02,29.0,11.0,18.4,987.4,75,23.6,352,0.134,0.937
KXHIGHCHI,2022-01-03,20.7,3.8,4.8,993.8,1,13.6,236,0.0,0.0
KXHIGHCHI,2022-01-04,33.3,19.9,18.2,982.7,61,18.3,189,0.0,0.0
KXHIGHCHI,2022-01-05,31.2,10.1,10.4,973.6,73,27.9,248,0.004,0.028
KXHIGHCHI,2022-01-06,13.1,4.2,2.5,985.5,41,18.2,268,0.0,0.0
KXHIGHCHI,2022-01-07,12.4,-3.1,-3.8,992.8,29,14.8,256,0.0,0.0
KXHIGHCHI,2022-01-08,33.1,8.7,12.5,988.6,64,17.7,178,0.028,0.0
KXHIGHCHI,2022-01-09,33.8,9.5,15.0,992.6,47,19.3,285,0.024,0.0
KXHIGHCHI,2022-01-10,17.0,6.7,-3.7,1000.7,34,14.3,291,0.008,0.055
KXHIGHCHI,2022-01-11,34.8,5.1,2.4,994.2,18,23.6,206,0.0,0.0
KXHIGHCHI,2022-01-12,40.6,28.9,28.4,983.2,85,16.3,240,0.008,0.0
KXHIGHCHI,2022-01-13,38.3,26.1,30.6,981.8,88,10.3,14,0.0,0.0
KXHIGHCHI,2022-01-14,34.1,26.7,26.0,989.1,99,17.9,35,0.016,0.11
KXHIGHCHI,2022-01-15,26.2,21.1,15.6,994.9,80,19.4,62,0.039,0.276
KXHIGHCHI,2022-01-16,26.4,11.6,9.0,982.8,46,9.1,198,0.016,0.11
KXHIGHCHI,2022-01-17,29.5,22.3,17.6,977.6,76,17.0,297,0.0,0.0
KXHIGHCHI,2022-01-18,42.4,18.7,23.3,979.2,53,23.4,203,0.0,0.0
KXHIGHCHI,2022-01-19,39.7,13.3,13.7,985.2,72,21.8,295,0.0,0.0
KXHIGHCHI,2022-01-20,18.0,7.2,-0.1,1001.1,32,15.2,334,0.0,0.0
KXHIGHCHI,2022-01-21,25.2,13.5,4.6,1000.8,54,13.2,216,0.0,0.0
KXHIGHCHI,2022-01-22,33.3,18.0,9.1,990.1,94,18.8,233,0.016,0.11
KXHIGHCHI,2022-01-23,24.5,1.1,8.9,982.0,74,19.4,327,0.272,1.902
KXHIGHCHI,2022-01-24,27.0,0.6,11.4,975.8,76,15.8,269,0.138,0.965
KXHIGHCHI,2022-01-25,9.6,-2.4,-3.6,991.2,7,13.9,293,0.0,0.0
KXHIGHCHI,2022-01-26,9.1,-12.0,-10.0,996.7,12,15.9,235,0.0,0.0
KXHIGHCHI,2022-01-27,30.5,9.8,13.9,988.0,100,17.6,235,0.016,0.11
KXHIGHCHI,2022-01-28,27.2,5.2,14.0,993.0,94,15.7,39,0.161,1.13
KXHIGHCHI,2022-01-29,17.9,-1.8,1.7,988.2,67,11.1,218,0.0,0.0
KXHIGHCHI,2022-01-30,28.9,6.6,14.0,981.7,66,10.4,315,0.004,0.028
KXHIGHCHI,2022-01-31,30.1,18.6,20.2,986.8,90,16.0,168,0.0,0.0
KXHIGHCHI,2022-02-01,42.9,28.6,30.5,981.8,97,18.5,208,0.205,0.11
KXHIGHCHI,2022-02-02,33.0,21.1,20.4,991.0,100,24.3,356,0.657,4.63
KXHIGHCHI,2022-02-03,25.5,22.7,17.4,996.9,100,24.1,32,0.098,0.689
KXHIGHCHI,2022-02-04,22.5,13.4,12.5,994.5,92,15.3,282,0.012,0.083
KXHIGHCHI,2022-02-05,13.6,1.0,1.6,995.9,19,19.7,228,0.0,0.0
KXHIGHCHI,2022-02-06,27.0,14.4,15.2,988.5,28,18.6,207,0.0,0.0
KXHIGHCHI,2022-02-07,26.1,8.5,15.1,988.8,65,13.7,263,0.0,0.0
KXHIGHCHI,2022-02-08,35.9,3.7,15.5,981.9,59,16.9,197,0.0,0.0
KXHIGHCHI,2022-02-09,39.0,29.5,29.4,974.7,65,15.2,248,0.004,0.0
KXHIGHCHI,2022-02-10,31.8,23.5,22.2,979.5,87,18.1,250,0.008,0.055
KXHIGHCHI,2022-02-11,42.7,27.5,30.1,971.3,86,25.0,243,0.122,0.827
KXHIGHCHI,2022-02-12,27.1,12.0,5.0,992.1,54,20.8,314,0.012,0.083
KXHIGHCHI,2022-02-13,17.7,8.1,0.9,992.9,81,10.7,297,0.0,0.0
KXHIGHCHI,2022-02-14,27.5,12.3,3.8,993.3,71,8.8,218,0.0,0.0
KXHIGHCHI,2022-02-15,37.6,17.4,18.0,993.9,86,21.0,144,0.0,0.0
KXHIGHCHI,2022-02-16,55.5,40.2,39.4,979.0,99,26.5,205,0.575,0.0
KXHIGHCHI,2022-02-17,42.9,19.1,24.1,981.8,100,28.3,359,0.803,1.929
KXHIGHCHI,2022-02-18,29.1,0.6,6.9,985.4,32,27.5,232,0.004,0.028
KXHIGHCHI,2022-02-19,30.4,6.5,2.0,993.1,18,25.1,279,0.012,0.083
KXHIGHCHI,2022-02-20,50.5,13.7,21.1,982.4,38,25.7,209,0.0,0.0
KXHIGHCHI,2022-02-21,52.2,28.0,34.8,981.7,71,13.5,71,0.0,0.0
KXHIGHCHI,2022-02-22,52.7,24.0,35.4,977.2,100,18.3,307,0.504,0.0
KXHIGHCHI,2022-02-23,25.0,17.1,9.6,997.6,86,17.3,337,0.004,0.028
KXHIGHCHI,2022-02-24,27.9,24.0,17.1,994.9,100,15.2,67,0.102,0.717
KXHIGHCHI,2022-02-25,27.0,21.2,18.8,995.5,99,13.0,347,0.122,0.854
KXHIGHCHI,2022-02-26,34.4,8.7,10.5,998.1,10,15.3,237,0.0,0.0
KXHIGHCHI,2022-02-27,42.6,25.1,19.0,991.1,8,17.1,253,0.0,0.0
KXHIGHCHI,2022-02-28,53.7,24.8,27.4,986.8,57,20.1,194,0.0,0.0
KXHIGHCHI,2022-03-01,45.6,32.6,32.5,983.4,81,12.4,285,0.0,0.0
KXHIGHCHI,2022-03-02,53.9,28.6,31.6,986.1,66,16.1,61,0.02,0.0
KXHIGHCHI,2022-03-03,33.6,27.2,20.8,996.2,91,16.9,33,0.0,0.0
KXHIGHCHI,2022-03-04,37.3,24.8,23.3,995.8,84,14.0,98,0.0,0.0
KXHIGHCHI,2022-03-05,67.9,35.9,40.7,980.6,70,26.8,180,0.224,0.0
