ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHDEN,2022-01-01,16.4,-6.2,2.2,831.4,69,10.7,44,0.13,0.909
KXHIGHDEN,2022-01-02,44.2,-2.3,3.7,836.3,3,13.3,226,0.0,0.0
KXHIGHDEN,2022-01-03,46.0,5.6,10.1,832.0,80,10.2,195,0.0,0.0
KXHIGHDEN,2022-01-04,43.8,13.0,13.0,826.4,84,17.4,250,0.0,0.0
KXHIGHDEN,2022-01-05,35.6,2.8,11.2,832.3,90,19.7,5,0.319,2.232
KXHIGHDEN,2022-01-06,16.3,1.8,1.2,834.2,98,8.4,90,0.126,0.882
KXHIGHDEN,2022-01-07,43.4,14.5,20.8,821.5,83,10.5,206,0.0,0.0
KXHIGHDEN,2022-01-08,41.3,15.2,20.9,826.6,74,9.7,217,0.008,0.055
KXHIGHDEN,2022-01-09,21.5,1.0,7.5,842.6,28,8.2,204,0.0,0.0
KXHIGHDEN,2022-01-10,46.2,7.6,10.9,843.7,1,10.1,208,0.0,0.0
KXHIGHDEN,2022-01-11,43.3,13.5,11.8,838.1,52,10.9,181,0.0,0.0
KXHIGHDEN,2022-01-12,51.1,16.0,18.9,838.8,78,9.2,167,0.0,0.0
KXHIGHDEN,2022-01-13,58.1,27.5,22.9,838.6,74,9.8,189,0.0,0.0
KXHIGHDEN,2022-01-14,36.3,16.0,22.9,837.7,64,12.5,345,0.055,0.331
KXHIGHDEN,2022-01-15,45.5,5.6,11.7,840.7,15,11.0,188,0.0,0.0
KXHIGHDEN,2022-01-16,48.4,19.5,17.1,835.1,66,8.7,208,0.0,0.0
KXHIGHDEN,2022-01-17,56.3,12.8,16.6,830.2,75,8.8,200,0.0,0.0
KXHIGHDEN,2022-01-18,54.8,26.1,16.4,829.8,98,7.3,205,0.0,0.0
KXHIGHDEN,2022-01-19,27.6,19.0,16.6,841.7,85,9.8,26,0.02,0.138
KXHIGHDEN,2022-01-20,40.5,10.3,10.3,841.6,29,7.3,90,0.0,0.0
KXHIGHDEN,2022-01-21,37.1,22.0,18.9,837.7,94,8.6,179,0.035,0.248
KXHIGHDEN,2022-01-22,40.0,20.0,18.0,842.4,35,7.0,266,0.0,0.0
KXHIGHDEN,2022-01-23,52.2,19.9,13.0,836.7,15,9.0,207,0.0,0.0
KXHIGHDEN,2022-01-24,46.0,24.0,13.9,832.5,37,13.1,143,0.0,0.0
KXHIGHDEN,2022-01-25,29.1,14.7,19.5,839.3,83,11.6,342,0.327,2.287
KXHIGHDEN,2022-01-26,37.1,-0.5,4.9,833.7,28,8.8,199,0.0,0.0
KXHIGHDEN,2022-01-27,27.1,1.1,12.2,842.3,69,9.1,267,0.134,0.937
KXHIGHDEN,2022-01-28,40.2,0.6,6.7,842.3,0,12.8,212,0.0,0.0
KXHIGHDEN,2022-01-29,52.1,13.4,11.4,836.1,11,12.4,174,0.0,0.0
KXHIGHDEN,2022-01-30,46.2,9.0,8.2,832.2,2,9.2,211,0.0,0.0
KXHIGHDEN,2022-01-31,52.2,8.4,9.2,825.4,35,10.5,187,0.0,0.0
KXHIGHDEN,2022-02-01,32.6,17.2,13.8,833.2,87,11.6,60,0.165,1.157
KXHIGHDEN,2022-02-02,20.6,-1.5,8.2,838.1,99,13.2,0,0.201,1.406
KXHIGHDEN,2022-02-03,12.8,-18.0,-8.5,837.8,32,8.4,239,0.0,0.0
KXHIGHDEN,2022-02-04,34.1,-4.4,1.5,839.6,3,9.3,182,0.0,0.0
KXHIGHDEN,2022-02-05,37.9,8.4,11.3,833.8,51,15.4,149,0.0,0.0
KXHIGHDEN,2022-02-06,32.9,12.8,15.1,842.0,31,11.2,218,0.004,0.028
KXHIGHDEN,2022-02-07,46.0,13.2,12.9,839.6,0,12.5,203,0.0,0.0
KXHIGHDEN,2022-02-08,45.9,19.4,16.0,836.1,23,10.8,165,0.0,0.0
KXHIGHDEN,2022-02-09,47.8,17.1,17.9,835.7,73,9.8,169,0.0,0.0
KXHIGHDEN,2022-02-10,51.9,19.4,22.8,834.3,72,10.1,233,0.0,0.0
KXHIGHDEN,2022-02-11,37.0,21.8,21.1,837.9,78,11.1,65,0.15,1.047
KXHIGHDEN,2022-02-12,40.2,0.7,9.9,842.6,57,8.4,186,0.016,0.11
KXHIGHDEN,2022-02-13,46.1,9.7,13.3,837.8,17,10.1,173,0.0,0.0
KXHIGHDEN,2022-02-14,53.7,8.5,15.8,833.7,38,9.0,203,0.0,0.0
KXHIGHDEN,2022-02-15,51.5,18.9,15.9,824.6,76,8.1,239,0.0,0.0
KXHIGHDEN,2022-02-16,37.6,20.8,19.6,829.4,68,12.9,359,0.185,1.295
KXHIGHDEN,2022-02-17,33.5,11.9,12.6,838.0,40,10.4,148,0.043,0.303
KXHIGHDEN,2022-02-18,40.3,12.1,14.2,836.4,24,8.2,184,0.0,0.0
KXHIGHDEN,2022-02-19,54.6,10.3,14.6,834.6,0,9.0,177,0.0,0.0
KXHIGHDEN,2022-02-20,56.1,21.6,16.7,827.8,48,13.9,200,0.0,0.0
KXHIGHDEN,2022-02-21,53.6,11.9,12.9,825.0,90,20.4,338,0.02,0.138
KXHIGHDEN,2022-02-22,10.1,-0.8,-7.5,838.7,100,11.3,25,0.165,1.157
KXHIGHDEN,2022-02-23,10.3,0.3,-5.4,838.5,85,6.9,9,0.067,0.469
KXHIGHDEN,2022-02-24,20.5,-3.8,-0.7,834.7,55,5.8,7,0.024,0.165
KXHIGHDEN,2022-02-25,23.6,0.7,4.3,840.7,65,9.7,43,0.004,0.028
KXHIGHDEN,2022-02-26,34.4,-3.9,1.4,839.6,2,8.9,237,0.0,0.0
KXHIGHDEN,2022-02-27,57.3,5.5,7.6,839.8,21,9.3,197,0.0,0.0
KXHIGHDEN,2022-02-28,62.4,24.6,15.8,840.8,40,9.6,225,0.0,0.0
KXHIGHDEN,2022-03-01,66.2,29.3,22.8,840.2,3,8.6,209,0.0,0.0
KXHIGHDEN,2022-03-02,64.5,30.7,27.3,839.3,49,8.2,236,0.0,0.0
KXHIGHDEN,2022-03-03,66.4,27.8,27.5,836.2,72,9.0,213,0.0,0.0
KXHIGHDEN,2022-03-04,63.6,28.0,24.9,828.5,58,15.8,207,0.0,0.0
KXHIGHDEN,2022-03-05,44.2,26.2,25.4,831.1,99,11.3,20,0.181,1.213
KXHIGHDEN,2022-03-06,26.1,19.0,14.0,838.3,99,11.9,21,0.154,1.102
KXHIGHDEN,2022-03-07,31.4,15.6,7.0,841.3,54,5.7,239,0.004,0.028
KXHIGHDEN,2022-03-08,38.4,14.8,2.1,834.3,14,8.4,233,0.0,0.0
KXHIGHDEN,2022-03-09,21.4,8.3,7.2,834.0,86,13.5,351,0.087,0.579
KXHIGHDEN,2022-03-10,17.7,-0.8,-0.4,836.1,70,7.3,75,0.0,0.0
KXHIGHDEN,2022-03-11,32.6,-7.3,-3.3,837.1,14,8.2,179,0.0,0.0
KXHIGHDEN,2022-03-12,56.9,13.8,15.3,835.8,70,11.0,174,0.0,0.0
KXHIGHDEN,2022-03-13,59.6,21.4,23.0,830.5,58,11.7,263,0.004,0.0
KXHIGHDEN,2022-03-14,51.8,26.9,22.2,839.5,38,10.7,322,0.0,0.0
KXHIGHDEN,2022-03-15,66.8,24.2,17.9,837.8,42,7.4,185,0.0,0.0
KXHIGHDEN,2022-03-16,51.3,31.5,28.4,833.4,99,10.8,345,0.256,0.799
KXHIGHDEN,2022-03-17,35.6,26.4,29.1,838.7,100,13.4,343,0.551,3.362
KXHIGHDEN,2022-03-18,45.6,4.0,15.0,834.4,37,9.2,206,0.004,0.028
KXHIGHDEN,2022-03-19,55.4,13.5,19.9,834.4,58,10.4,170,0.0,0.0
KXHIGHDEN,2022-03-20,61.1,21.9,22.2,829.0,89,14.0,207,0.0,0.0
KXHIGHDEN,2022-03-21,39.4,31.6,23.6,835.9,100,13.8,1,0.083,0.579
KXHIGHDEN,2022-03-22,43.0,24.1,15.2,840.0,79,23.2,347,0.008,0.083
KXHIGHDEN,2022-03-23,53.0,23.5,13.1,838.1,17,25.3,335,0.0,0.0
KXHIGHDEN,2022-03-24,64.8,31.3,23.3,836.9,20,13.7,286,0.0,0.0
KXHIGHDEN,2022-03-25,59.5,32.5,30.2,840.6,48,7.1,30,0.0,0.0
KXHIGHDEN,2022-03-26,74.2,31.8,28.9,835.7,63,12.4,216,0.0,0.0
KXHIGHDEN,2022-03-27,68.9,32.7,35.1,835.1,88,11.2,6,0.0,0.0
KXHIGHDEN,2022-03-28,73.6,35.5,26.0,830.0,81,9.9,203,0.0,0.0
KXHIGHDEN,2022-03-29,51.7,37.1,34.7,824.0,99,20.9,37,0.236,0.0
KXHIGHDEN,2022-03-30,50.1,29.3,20.8,831.0,76,19.4,42,0.008,0.055
KXHIGHDEN,2022-03-31,61.2,29.4,19.2,829.9,36,8.0,212,0.0,0.0
KXHIGHDEN,2022-04-01,57.5,33.3,27.0,832.5,67,8.1,58,0.016,0.0
KXHIGHDEN,2022-04-02,67.1,28.4,25.9,835.1,78,6.0,58,0.0,0.0
KXHIGHDEN,2022-04-03,52.2,33.8,27.6,835.2,91,7.7,132,0.0,0.0
KXHIGHDEN,2022-04-04,68.8,31.4,23.9,829.9,73,11.9,203,0.0,0.0
KXHIGHDEN,2022-04-05,57.0,35.6,22.7,825.9,72,31.9,311,0.047,0.11
KXHIGHDEN,2022-04-06,47.8,28.1,4.4,840.8,29,20.1,301,0.0,0.0
KXHIGHDEN,2022-04-07,55.3,26.4,10.9,845.1,6,14.6,6,0.0,0.0
KXHIGHDEN,2022-04-08,66.2,24.9,18.6,841.7,1,6.3,164,0.0,0.0
KXHIGHDEN,2022-04-09,74.7,37.5,22.4,829.5,76,20.6,198,0.0,0.0
KXHIGHDEN,2022-04-10,55.7,37.7,18.6,828.3,64,16.1,321,0.008,0.0
KXHIGHDEN,2022-04-11,65.9,29.0,15.9,825.2,76,17.7,223,0.0,0.0
KXHIGHDEN,2022-04-12,58.1,33.4,16.7,819.7,59,19.6,254,0.031,0.11
KXHIGHDEN,2022-04-13,42.5,20.1,3.0,831.8,59,20.4,300,0.0,0.0
KXHIGHDEN,2022-04-14,58.5,23.9,9.6,832.7,69,18.6,250,0.0,0.0
KXHIGHDEN,2022-04-15,62.2,33.1,20.1,831.7,59,15.7,53,0.028,0.0
KXHIGHDEN,2022-04-16,58.1,27.1,23.5,836.1,78,10.2,14,0.004,0.0
KXHIGHDEN,2022-04-17,67.2,32.8,26.4,837.2,45,15.1,313,0.0,0.0
KXHIGHDEN,2022-04-18,59.8,30.4,24.0,843.1,10,10.5,7,0.0,0.0
KXHIGHDEN,2022-04-19,79.2,34.2,25.1,829.1,81,12.6,209,0.0,0.0
KXHIGHDEN,2022-04-20,70.7,41.8,27.3,831.7,30,18.8,67,0.0,0.0
KXHIGHDEN,2022-04-21,82.3,39.9,30.6,835.1,18,18.4,248,0.0,0.0
KXHIGHDEN,2022-04-22,83.7,48.7,21.3,826.8,41,23.2,210,0.0,0.0
KXHIGHDEN,2022-04-23,59.4,43.4,20.1,827.9,87,16.8,293,0.0,0.0
KXHIGHDEN,2022-04-24,55.2,38.8,24.5,839.6,70,13.0,3,0.02,0.0
KXHIGHDEN,2022-04-25,56.1,34.2,21.6,845.5,54,8.3,64,0.028,0.083
KXHIGHDEN,2022-04-26,74.3,32.5,20.6,840.1,52,14.4,184,0.0,0.0
KXHIGHDEN,2022-04-27,76.9,41.5,29.4,835.1,72,11.1,173,0.0,0.0
KXHIGHDEN,2022-04-28,76.0,41.2,28.4,832.5,69,14.1,292,0.0,0.0
KXHIGHDEN,2022-04-29,65.9,41.5,20.9,829.6,29,24.2,295,0.004,0.0
KXHIGHDEN,2022-04-30,64.8,40.9,22.1,837.9,11,8.9,43,0.0,0.0
KXHIGHDEN,2022-05-01,64.0,37.9,27.6,835.4,74,16.8,346,0.0,0.0
KXHIGHDEN,2022-05-02,45.6,35.2,34.3,836.0,95,12.2,21,0.244,0.055
KXHIGHDEN,2022-05-03,59.5,32.5,35.8,833.7,83,11.2,3,0.035,0.0
KXHIGHDEN,2022-05-04,52.0,39.3,39.9,836.2,99,12.7,351,0.724,0.331
KXHIGHDEN,2022-05-05,67.1,35.1,36.6,837.2,46,10.5,7,0.012,0.0
KXHIGHDEN,2022-05-06,80.5,40.6,34.6,834.5,89,12.5,93,0.0,0.0
KXHIGHDEN,2022-05-07,84.9,43.7,33.6,829.2,40,20.0,214,0.0,0.0
KXHIGHDEN,2022-05-08,78.5,47.0,36.8,825.8,37,11.9,130,0.0,0.0
KXHIGHDEN,2022-05-09,77.7,42.9,37.2,826.5,40,21.0,24,0.0,0.0
KXHIGHDEN,2022-05-10,70.0,39.2,28.9,837.7,13,15.0,20,0.0,0.0
KXHIGHDEN,2022-05-11,86.8,39.8,27.8,835.1,27,16.4,210,0.0,0.0
KXHIGHDEN,2022-05-12,70.2,46.8,28.2,835.0,21,15.7,281,0.0,0.0
KXHIGHDEN,2022-05-13,75.7,38.8,17.8,839.2,39,12.9,254,0.0,0.0
KXHIGHDEN,2022-05-14,80.2,43.1,24.0,840.8,83,12.7,12,0.0,0.0
KXHIGHDEN,2022-05-15,77.9,47.1,36.4,843.4,47,10.7,52,0.0,0.0
KXHIGHDEN,2022-05-16,84.5,46.4,34.8,838.7,75,9.2,210,0.0,0.0
KXHIGHDEN,2022-05-17,84.0,51.3,34.1,837.5,52,15.1,340,0.004,0.0
KXHIGHDEN,2022-05-18,79.7,50.5,38.0,840.3,47,6.1,231,0.0,0.0
KXHIGHDEN,2022-05-19,87.5,47.9,28.9,829.5,85,17.1,252,0.0,0.0
KXHIGHDEN,2022-05-20,46.7,32.5,32.7,832.9,93,12.4,60,0.709,2.811
KXHIGHDEN,2022-05-21,44.6,29.3,28.1,842.7,86,5.5,94,0.244,1.709
KXHIGHDEN,2022-05-22,55.2,28.1,31.8,842.0,93,7.8,139,0.0,0.0
KXHIGHDEN,2022-05-23,60.3,38.2,36.3,838.4,76,11.8,3,0.051,0.0
KXHIGHDEN,2022-05-24,54.2,43.0,38.7,838.2,96,8.1,11,0.063,0.0
KXHIGHDEN,2022-05-25,67.5,35.6,34.5,838.5,4,10.5,322,0.0,0.0
KXHIGHDEN,2022-05-26,79.8,41.4,35.1,840.4,20,7.9,137,0.0,0.0
KXHIGHDEN,2022-05-27,86.9,47.6,37.7,838.0,55,10.3,232,0.004,0.0
KXHIGHDEN,2022-05-28,86.1,48.8,33.5,830.6,90,14.4,223,0.0,0.0
KXHIGHDEN,2022-05-29,74.1,47.8,39.7,826.1,76,15.7,243,0.177,0.0
KXHIGHDEN,2022-05-30,67.0,46.2,31.0,828.8,77,15.9,297,0.047,0.0
KXHIGHDEN,2022-05-31,64.4,44.4,35.1,839.6,80,15.9,2,0.657,0.0
KXHIGHDEN,2022-06-01,59.9,41.2,41.5,844.6,79,12.2,348,0.169,0.0
KXHIGHDEN,2022-06-02,69.4,41.0,45.8,840.9,40,7.3,307,0.039,0.0
KXHIGHDEN,2022-06-03,74.6,45.6,47.6,837.6,71,11.2,279,0.0,0.0
KXHIGHDEN,2022-06-04,82.2,46.5,42.4,835.6,62,15.5,283,0.016,0.0
KXHIGHDEN,2022-06-05,81.3,53.1,44.1,834.6,67,12.1,281,0.0,0.0
KXHIGHDEN,2022-06-06,79.2,52.1,46.3,837.0,48,7.5,257,0.016,0.0
KXHIGHDEN,2022-06-07,76.6,52.1,48.8,840.2,35,12.1,346,0.024,0.0
KXHIGHDEN,2022-06-08,81.1,51.7,44.0,843.7,34,11.2,22,0.0,0.0
KXHIGHDEN,2022-06-09,87.3,53.4,44.8,840.4,82,17.5,328,0.004,0.0
KXHIGHDEN,2022-06-10,93.5,54.2,44.7,841.2,44,16.6,292,0.0,0.0
KXHIGHDEN,2022-06-11,96.4,57.1,41.7,838.7,18,10.1,226,0.0,0.0
KXHIGHDEN,2022-06-12,93.5,58.8,42.7,835.6,38,13.9,221,0.0,0.0
KXHIGHDEN,2022-06-13,96.6,64.4,32.6,830.9,9,19.3,214,0.0,0.0
KXHIGHDEN,2022-06-14,82.2,57.7,37.1,835.3,9,17.1,51,0.0,0.0
KXHIGHDEN,2022-06-15,89.4,52.3,32.6,840.0,1,12.7,73,0.0,0.0
KXHIGHDEN,2022-06-16,91.6,55.5,38.1,843.8,9,17.2,29,0.0,0.0
KXHIGHDEN,2022-06-17,96.3,60.0,48.6,842.0,33,17.2,219,0.004,0.0
KXHIGHDEN,2022-06-18,92.7,65.9,45.5,840.4,79,14.8,192,0.016,0.0
KXHIGHDEN,2022-06-19,90.6,69.4,43.8,839.9,96,16.0,198,0.0,0.0
KXHIGHDEN,2022-06-20,89.8,61.9,31.8,841.0,49,18.1,228,0.0,0.0
KXHIGHDEN,2022-06-21,81.4,54.1,28.9,848.8,51,15.8,138,0.0,0.0
KXHIGHDEN,2022-06-22,83.8,51.1,36.4,846.6,84,11.2,287,0.0,0.0
