ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHLAX,2022-01-01,59.2,38.6,39.4,1008.1,24,6.9,5,0.0,0.0
KXHIGHLAX,2022-01-02,60.3,38.5,34.9,1013.5,0,5.9,11,0.0,0.0
KXHIGHLAX,2022-01-03,60.8,42.5,33.6,1012.0,18,7.8,323,0.0,0.0
KXHIGHLAX,2022-01-04,57.9,40.4,39.5,1012.6,52,6.8,82,0.0,0.0
KXHIGHLAX,2022-01-05,64.1,44.1,41.2,1008.0,3,5.6,75,0.0,0.0
KXHIGHLAX,2022-01-06,68.3,47.3,43.6,1004.1,9,5.9,169,0.0,0.0
KXHIGHLAX,2022-01-07,62.4,46.0,48.5,1003.0,43,6.7,119,0.0,0.0
KXHIGHLAX,2022-01-08,60.7,48.7,48.9,1006.9,80,4.6,26,0.0,0.0
KXHIGHLAX,2022-01-09,68.7,40.0,39.6,1013.0,39,5.1,4,0.0,0.0
KXHIGHLAX,2022-01-10,70.6,42.3,38.6,1015.1,98,6.6,16,0.0,0.0
KXHIGHLAX,2022-01-11,70.9,41.5,36.8,1013.1,4,6.7,15,0.0,0.0
KXHIGHLAX,2022-01-12,72.8,46.8,38.1,1012.3,67,5.6,19,0.0,0.0
KXHIGHLAX,2022-01-13,68.4,53.9,41.2,1011.5,99,7.1,60,0.0,0.0
KXHIGHLAX,2022-01-14,72.9,50.6,41.9,1008.8,89,5.7,13,0.0,0.0
KXHIGHLAX,2022-01-15,64.6,49.0,43.1,1010.2,98,8.3,344,0.146,0.0
KXHIGHLAX,2022-01-16,72.0,51.4,45.9,1007.6,88,6.8,65,0.0,0.0
KXHIGHLAX,2022-01-17,63.2,54.0,53.2,1007.4,94,7.6,109,0.398,0.0
KXHIGHLAX,2022-01-18,64.6,51.3,52.9,1007.7,49,9.8,256,0.059,0.0
KXHIGHLAX,2022-01-19,64.7,48.4,51.3,1010.4,44,6.1,337,0.0,0.0
KXHIGHLAX,2022-01-20,72.6,44.8,41.5,1012.2,0,7.5,357,0.0,0.0
KXHIGHLAX,2022-01-21,69.6,45.9,38.1,1006.4,6,7.5,77,0.0,0.0
KXHIGHLAX,2022-01-22,70.3,47.1,28.9,1006.5,4,14.7,311,0.0,0.0
KXHIGHLAX,2022-01-23,73.9,44.0,34.1,1009.9,0,10.6,319,0.0,0.0
KXHIGHLAX,2022-01-24,71.7,45.5,37.1,1007.3,0,7.5,84,0.0,0.0
KXHIGHLAX,2022-01-25,67.8,48.9,43.4,1005.1,27,5.6,126,0.0,0.0
KXHIGHLAX,2022-01-26,70.2,40.8,29.6,1008.6,32,6.4,25,0.0,0.0
KXHIGHLAX,2022-01-27,70.8,41.0,25.5,1010.9,0,6.4,12,0.0,0.0
KXHIGHLAX,2022-01-28,73.5,42.7,21.6,1012.6,69,7.9,18,0.0,0.0
