ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHMIA,2022-01-01,80.6,73.1,68.0,1018.6,33,14.7,155,0.043,0.0
KXHIGHMIA,2022-01-02,81.9,74.4,67.2,1017.9,27,16.1,178,0.0,0.0
KXHIGHMIA,2022-01-03,81.9,67.3,65.6,1018.4,31,12.3,256,0.059,0.0
KXHIGHMIA,2022-01-04,76.8,63.0,57.4,1019.7,61,12.1,35,0.0,0.0
KXHIGHMIA,2022-01-05,78.7,69.2,65.9,1016.1,30,8.9,163,0.094,0.0
KXHIGHMIA,2022-01-06,78.4,61.1,61.6,1016.4,47,8.2,282,0.0,0.0
KXHIGHMIA,2022-01-07,76.3,68.0,68.2,1019.1,69,7.5,176,0.193,0.0
KXHIGHMIA,2022-01-08,78.3,70.6,66.6,1024.4,44,16.6,65,0.102,0.0
KXHIGHMIA,2022-01-09,75.7,71.2,67.3,1025.1,88,16.2,94,0.488,0.0
KXHIGHMIA,2022-01-10,76.2,66.5,67.2,1021.8,85,9.3,68,0.531,0.0
KXHIGHMIA,2022-01-11,72.1,65.3,64.4,1022.0,74,15.3,10,0.177,0.0
KXHIGHMIA,2022-01-12,73.9,65.2,61.2,1020.3,74,15.3,55,0.213,0.0
KXHIGHMIA,2022-01-13,74.2,64.0,60.4,1015.0,59,11.3,327,0.055,0.0
KXHIGHMIA,2022-01-14,71.6,58.1,51.3,1014.9,1,12.2,317,0.0,0.0
KXHIGHMIA,2022-01-15,72.6,55.4,49.4,1017.1,2,10.4,195,0.0,0.0
KXHIGHMIA,2022-01-16,75.7,63.6,61.8,1012.3,70,24.2,200,0.228,0.0
KXHIGHMIA,2022-01-17,72.3,59.0,53.4,1015.0,20,17.1,285,0.0,0.0
KXHIGHMIA,2022-01-18,65.8,52.7,47.2,1020.9,2,11.1,350,0.0,0.0
KXHIGHMIA,2022-01-19,72.9,54.6,53.9,1021.8,53,12.3,103,0.004,0.0
KXHIGHMIA,2022-01-20,75.7,68.1,65.0,1019.3,66,13.0,143,0.22,0.0
KXHIGHMIA,2022-01-21,76.7,67.0,68.2,1017.7,78,7.4,203,0.705,0.0
KXHIGHMIA,2022-01-22,75.3,64.3,66.6,1018.2,100,9.7,336,0.425,0.0
KXHIGHMIA,2022-01-23,69.2,52.8,56.5,1017.1,53,11.8,324,0.189,0.0
KXHIGHMIA,2022-01-24,62.2,42.8,41.4,1016.7,12,11.1,333,0.0,0.0
KXHIGHMIA,2022-01-25,72.5,51.0,50.4,1016.3,70,8.9,59,0.0,0.0
KXHIGHMIA,2022-01-26,77.0,69.0,66.4,1015.9,75,14.8,197,1.067,0.0
KXHIGHMIA,2022-01-27,76.5,64.9,66.7,1017.1,69,8.6,337,0.102,0.0
KXHIGHMIA,2022-01-28,76.7,62.4,61.6,1015.1,89,12.2,298,0.008,0.0
KXHIGHMIA,2022-01-29,65.2,48.3,39.0,1018.3,59,21.7,312,0.004,0.0
KXHIGHMIA,2022-01-30,60.3,40.1,27.6,1023.6,2,13.9,338,0.0,0.0
KXHIGHMIA,2022-01-31,68.5,46.1,41.0,1022.5,31,13.4,359,0.0,0.0
KXHIGHMIA,2022-02-01,74.3,58.4,49.8,1020.8,82,16.3,88,0.0,0.0
KXHIGHMIA,2022-02-02,77.7,68.9,56.4,1019.6,30,16.6,107,0.004,0.0
KXHIGHMIA,2022-02-03,78.4,71.3,62.4,1020.4,11,14.8,118,0.0,0.0
KXHIGHMIA,2022-02-04,79.5,72.6,65.2,1021.2,11,14.0,137,0.0,0.0
KXHIGHMIA,2022-02-05,77.4,68.6,65.7,1020.3,49,7.3,126,0.091,0.0
KXHIGHMIA,2022-02-06,78.7,66.0,65.0,1019.4,48,8.3,151,0.004,0.0
KXHIGHMIA,2022-02-07,79.3,65.4,65.3,1018.8,22,10.3,177,0.004,0.0
KXHIGHMIA,2022-02-08,78.3,65.0,64.5,1016.8,60,9.2,21,0.071,0.0
KXHIGHMIA,2022-02-09,67.7,62.7,61.7,1015.8,72,12.5,342,0.783,0.0
KXHIGHMIA,2022-02-10,74.9,57.6,57.4,1017.1,8,12.5,7,0.0,0.0
KXHIGHMIA,2022-02-11,77.7,62.3,63.3,1017.3,49,7.1,83,0.228,0.0
KXHIGHMIA,2022-02-12,79.2,65.7,67.4,1017.9,50,8.7,86,0.106,0.0
KXHIGHMIA,2022-02-13,72.0,66.3,65.6,1017.2,83,13.2,301,0.827,0.0
KXHIGHMIA,2022-02-14,68.7,53.5,49.3,1023.0,24,18.3,347,0.0,0.0
KXHIGHMIA,2022-02-15,73.1,58.3,54.7,1026.0,96,21.2,66,0.012,0.0
KXHIGHMIA,2022-02-16,78.1,69.3,61.4,1025.6,76,19.0,86,0.295,0.0
KXHIGHMIA,2022-02-17,78.9,71.7,68.0,1022.1,29,16.6,119,0.051,0.0
KXHIGHMIA,2022-02-18,78.5,72.8,70.6,1019.5,30,12.4,172,0.071,0.0
KXHIGHMIA,2022-02-19,80.4,69.6,69.8,1020.3,63,7.7,283,0.693,0.0
KXHIGHMIA,2022-02-20,76.6,69.8,65.6,1022.7,84,14.5,49,0.071,0.0
KXHIGHMIA,2022-02-21,76.4,69.5,64.9,1023.2,65,11.6,76,0.098,0.0
KXHIGHMIA,2022-02-22,78.3,72.1,66.4,1023.0,33,14.5,92,0.047,0.0
