ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHNY,2022-01-01,53.2,45.8,49.3,1005.7,100,8.0,168,0.685,0.0
KXHIGHNY,2022-01-02,56.9,37.2,45.9,1001.3,100,16.5,315,0.705,0.0
KXHIGHNY,2022-01-03,36.0,24.7,13.9,1015.8,88,19.2,359,0.075,0.524
KXHIGHNY,2022-01-04,33.5,20.6,10.9,1024.6,26,13.3,292,0.0,0.0
KXHIGHNY,2022-01-05,45.0,28.6,32.0,1011.7,89,14.3,217,0.012,0.0
KXHIGHNY,2022-01-06,39.8,32.2,23.2,1007.9,82,12.3,268,0.0,0.0
KXHIGHNY,2022-01-07,31.9,22.2,21.4,1008.9,55,15.8,314,0.354,2.48
KXHIGHNY,2022-01-08,27.8,16.3,13.7,1029.3,5,12.9,276,0.0,0.0
KXHIGHNY,2022-01-09,39.5,23.4,29.0,1020.5,95,14.9,221,0.197,0.0
KXHIGHNY,2022-01-10,39.7,25.2,14.8,1016.4,33,16.3,295,0.0,0.0
KXHIGHNY,2022-01-11,24.8,16.8,-1.1,1027.3,9,17.4,317,0.0,0.0
KXHIGHNY,2022-01-12,40.7,19.0,14.0,1020.1,58,13.7,214,0.0,0.0
KXHIGHNY,2022-01-13,44.9,26.4,26.3,1012.5,88,6.2,226,0.0,0.0
KXHIGHNY,2022-01-14,41.5,24.3,27.6,1006.5,86,22.6,358,0.0,0.0
KXHIGHNY,2022-01-15,23.0,12.5,-4.9,1020.3,45,14.2,344,0.0,0.0
KXHIGHNY,2022-01-16,36.0,8.6,6.5,1022.1,57,18.6,33,0.181,0.744
KXHIGHNY,2022-01-17,48.9,32.7,33.2,987.1,94,33.6,188,1.409,0.055
KXHIGHNY,2022-01-18,36.0,23.3,16.5,1007.3,46,19.5,294,0.0,0.0
KXHIGHNY,2022-01-19,46.1,24.5,26.0,1015.1,80,15.4,210,0.0,0.0
KXHIGHNY,2022-01-20,41.9,22.7,24.1,1017.2,84,14.7,315,0.28,0.689
KXHIGHNY,2022-01-21,23.1,11.9,0.7,1029.8,87,14.5,3,0.0,0.0
KXHIGHNY,2022-01-22,29.8,10.6,4.3,1024.5,42,12.3,2,0.0,0.0
KXHIGHNY,2022-01-23,37.4,21.5,10.3,1010.0,65,8.9,243,0.012,0.083
KXHIGHNY,2022-01-24,32.9,27.2,21.8,1008.2,93,9.4,278,0.008,0.055
KXHIGHNY,2022-01-25,44.0,25.6,24.9,1010.8,64,10.6,270,0.0,0.0
KXHIGHNY,2022-01-26,27.0,18.4,5.8,1023.7,0,13.4,330,0.0,0.0
KXHIGHNY,2022-01-27,32.1,15.6,7.5,1026.1,16,11.6,177,0.0,0.0
KXHIGHNY,2022-01-28,33.6,27.0,21.4,1016.8,100,12.2,262,0.098,0.689
KXHIGHNY,2022-01-29,29.1,9.6,9.1,1004.0,98,27.3,337,0.732,5.154
KXHIGHNY,2022-01-30,21.3,7.7,3.5,1012.2,26,18.0,289,0.0,0.0
KXHIGHNY,2022-01-31,26.3,1.0,5.3,1023.8,36,8.3,22,0.0,0.0
KXHIGHNY,2022-02-01,29.6,8.1,13.0,1030.2,34,7.7,31,0.0,0.0
KXHIGHNY,2022-02-02,38.8,19.4,28.2,1027.2,96,6.9,88,0.0,0.0
KXHIGHNY,2022-02-03,49.3,36.5,41.0,1020.2,100,9.7,193,0.492,0.0
KXHIGHNY,2022-02-04,53.4,28.7,37.7,1010.0,100,18.0,313,0.945,0.028
KXHIGHNY,2022-02-05,29.2,20.1,10.0,1020.7,43,17.3,322,0.016,0.11
KXHIGHNY,2022-02-06,29.8,16.5,8.9,1032.2,32,10.4,76,0.0,0.0
KXHIGHNY,2022-02-07,37.0,24.0,29.0,1022.3,97,9.0,7,0.181,0.193
