ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHPHIL,2022-01-01,55.2,48.0,52.0,1006.1,100,7.8,148,0.736,0.0
KXHIGHPHIL,2022-01-02,62.5,39.7,49.2,1003.1,100,13.5,296,0.48,0.0
KXHIGHPHIL,2022-01-03,38.3,24.4,16.0,1016.9,83,15.3,358,0.268,1.874
KXHIGHPHIL,2022-01-04,34.3,20.8,12.1,1026.6,34,11.3,295,0.0,0.0
KXHIGHPHIL,2022-01-05,44.3,24.0,30.1,1012.9,89,14.3,207,0.008,0.0
KXHIGHPHIL,2022-01-06,40.1,31.4,21.2,1010.2,83,11.5,279,0.0,0.0
KXHIGHPHIL,2022-01-07,32.6,21.9,18.3,1012.1,51,16.1,304,0.307,2.15
KXHIGHPHIL,2022-01-08,29.3,15.8,11.0,1031.7,0,11.1,275,0.0,0.0
KXHIGHPHIL,2022-01-09,43.7,24.1,29.5,1022.1,88,14.8,217,0.39,0.0
KXHIGHPHIL,2022-01-10,42.4,23.6,12.9,1019.5,36,14.9,296,0.0,0.0
KXHIGHPHIL,2022-01-11,24.5,17.6,0.2,1029.6,2,14.0,312,0.0,0.0
KXHIGHPHIL,2022-01-12,41.5,19.0,13.3,1021.7,57,13.8,206,0.0,0.0
KXHIGHPHIL,2022-01-13,46.8,26.6,23.7,1013.3,94,5.3,43,0.0,0.0
KXHIGHPHIL,2022-01-14,46.2,25.2,24.7,1008.1,56,16.8,344,0.0,0.0
KXHIGHPHIL,2022-01-15,24.2,13.7,-8.1,1022.3,42,15.5,343,0.0,0.0
KXHIGHPHIL,2022-01-16,40.3,11.4,5.4,1021.5,65,20.1,47,0.244,0.799
KXHIGHPHIL,2022-01-17,47.4,31.9,30.4,988.4,93,20.9,226,0.992,0.0
KXHIGHPHIL,2022-01-18,38.3,26.6,18.3,1010.7,46,19.1,284,0.0,0.0
KXHIGHPHIL,2022-01-19,47.2,24.4,25.0,1016.7,63,15.3,210,0.0,0.0
KXHIGHPHIL,2022-01-20,41.9,22.8,25.0,1019.0,80,12.3,325,0.366,0.22
KXHIGHPHIL,2022-01-21,27.2,14.8,1.3,1030.6,92,12.4,10,0.0,0.0
KXHIGHPHIL,2022-01-22,32.3,14.5,-2.0,1025.6,39,9.6,14,0.0,0.0
KXHIGHPHIL,2022-01-23,38.9,21.0,10.2,1011.8,68,7.7,229,0.004,0.028
KXHIGHPHIL,2022-01-24,36.1,24.2,20.0,1009.5,50,8.4,265,0.0,0.0
KXHIGHPHIL,2022-01-25,45.5,26.1,25.1,1012.4,70,10.8,271,0.0,0.0
KXHIGHPHIL,2022-01-26,29.9,19.1,8.6,1025.4,6,10.7,335,0.0,0.0
KXHIGHPHIL,2022-01-27,33.7,17.0,5.7,1027.3,22,8.1,193,0.0,0.0
KXHIGHPHIL,2022-01-28,35.2,27.6,22.6,1017.6,100,9.8,60,0.13,0.909
KXHIGHPHIL,2022-01-29,30.2,12.1,11.4,1007.0,92,18.7,333,0.48,3.362
KXHIGHPHIL,2022-01-30,26.7,5.7,3.5,1015.4,32,14.5,290,0.0,0.0
KXHIGHPHIL,2022-01-31,29.8,1.3,7.9,1024.4,43,7.5,42,0.0,0.0
KXHIGHPHIL,2022-02-01,36.7,11.2,16.3,1030.6,41,6.8,53,0.0,0.0
KXHIGHPHIL,2022-02-02,43.8,17.8,26.4,1028.0,96,6.8,78,0.0,0.0
KXHIGHPHIL,2022-02-03,53.9,35.8,42.9,1021.0,100,14.5,196,0.319,0.0
KXHIGHPHIL,2022-02-04,57.7,30.2,43.5,1011.0,100,18.2,252,0.736,0.055
KXHIGHPHIL,2022-02-05,31.8,21.4,9.2,1023.2,38,16.3,322,0.012,0.083
KXHIGHPHIL,2022-02-06,36.0,18.0,8.5,1032.8,12,7.7,97,0.0,0.0
KXHIGHPHIL,2022-02-07,40.0,29.0,29.4,1022.9,99,7.4,11,0.138,0.0
KXHIGHPHIL,2022-02-08,43.5,27.7,26.6,1013.7,33,14.0,292,0.079,0.0
KXHIGHPHIL,2022-02-09,50.3,23.7,22.7,1015.3,1,10.4,196,0.0,0.0
KXHIGHPHIL,2022-02-10,54.0,33.5,29.8,1010.1,38,19.7,248,0.0,0.0
KXHIGHPHIL,2022-02-11,58.9,26.7,29.2,1012.4,14,15.2,191,0.0,0.0
KXHIGHPHIL,2022-02-12,57.4,42.5,32.5,1012.7,78,14.2,256,0.0,0.0
KXHIGHPHIL,2022-02-13,42.1,29.4,25.8,1017.5,100,9.7,353,0.248,1.598
KXHIGHPHIL,2022-02-14,28.1,16.8,4.2,1020.7,20,15.4,314,0.0,0.0
KXHIGHPHIL,2022-02-15,34.3,18.9,4.2,1034.5,9,7.0,286,0.0,0.0
KXHIGHPHIL,2022-02-16,50.1,22.8,22.8,1034.3,64,12.8,173,0.0,0.0
KXHIGHPHIL,2022-02-17,64.1,43.9,45.7,1018.0,100,17.2,200,0.189,0.0
KXHIGHPHIL,2022-02-18,60.5,29.1,32.6,1006.3,54,22.6,268,0.35,0.0
KXHIGHPHIL,2022-02-19,41.5,23.6,14.3,1016.1,22,21.7,267,0.028,0.193
KXHIGHPHIL,2022-02-20,36.8,20.0,8.9,1028.4,19,12.9,240,0.0,0.0
KXHIGHPHIL,2022-02-21,55.7,28.3,25.9,1024.7,17,9.6,202,0.0,0.0
KXHIGHPHIL,2022-02-22,60.9,37.2,47.6,1020.4,97,19.7,187,0.165,0.0
KXHIGHPHIL,2022-02-23,67.7,44.0,48.5,1015.1,92,16.3,253,0.008,0.0
KXHIGHPHIL,2022-02-24,41.7,30.6,17.8,1027.7,99,10.5,29,0.083,0.22
KXHIGHPHIL,2022-02-25,50.4,32.5,30.0,1018.6,81,19.1,313,0.803,0.0
KXHIGHPHIL,2022-02-26,41.9,25.8,16.2,1027.1,85,10.0,307,0.0,0.0
KXHIGHPHIL,2022-02-27,48.7,25.2,20.0,1016.6,29,16.2,260,0.0,0.0
KXHIGHPHIL,2022-02-28,39.7,26.4,13.1,1021.7,22,11.2,348,0.0,0.0
KXHIGHPHIL,2022-03-01,51.2,27.0,27.5,1018.3,78,12.1,181,0.0,0.0
KXHIGHPHIL,2022-03-02,54.6,35.6,31.4,1013.5,36,9.2,289,0.004,0.0
KXHIGHPHIL,2022-03-03,46.1,30.0,23.6,1015.8,49,13.6,308,0.039,0.0
KXHIGHPHIL,2022-03-04,39.8,20.2,11.4,1030.8,42,8.5,286,0.0,0.0
KXHIGHPHIL,2022-03-05,50.9,27.0,26.8,1028.9,96,9.3,155,0.0,0.0
KXHIGHPHIL,2022-03-06,67.4,39.6,52.2,1016.4,99,17.0,220,0.327,0.0
KXHIGHPHIL,2022-03-07,74.8,55.5,55.6,1006.5,97,23.6,222,0.047,0.0
KXHIGHPHIL,2022-03-08,53.8,37.0,25.9,1016.2,86,20.1,313,0.0,0.0
KXHIGHPHIL,2022-03-09,41.6,36.0,34.5,1014.7,100,11.8,51,0.618,0.248
KXHIGHPHIL,2022-03-10,51.5,29.0,32.1,1018.5,85,6.7,340,0.0,0.0
KXHIGHPHIL,2022-03-11,57.7,33.2,35.1,1015.2,36,8.6,186,0.0,0.0
KXHIGHPHIL,2022-03-12,45.0,23.5,27.6,998.9,87,23.5,311,0.591,2.039
KXHIGHPHIL,2022-03-13,37.8,20.9,10.4,1019.8,48,15.9,258,0.0,0.0
KXHIGHPHIL,2022-03-14,57.2,28.9,28.1,1026.3,58,11.6,221,0.0,0.0
KXHIGHPHIL,2022-03-15,65.1,35.9,35.5,1021.5,67,8.9,222,0.0,0.0
KXHIGHPHIL,2022-03-16,68.8,37.5,40.8,1019.5,26,10.4,218,0.0,0.0
KXHIGHPHIL,2022-03-17,60.3,42.5,48.6,1013.2,97,9.9,42,0.154,0.0
KXHIGHPHIL,2022-03-18,71.2,48.2,51.6,1013.4,80,8.8,218,0.0,0.0
KXHIGHPHIL,2022-03-19,73.9,51.3,53.3,1006.8,43,16.8,207,0.0,0.0
KXHIGHPHIL,2022-03-20,60.3,48.6,39.0,1008.5,65,16.7,291,0.0,0.0
KXHIGHPHIL,2022-03-21,63.4,39.3,30.3,1017.0,24,16.9,294,0.0,0.0
KXHIGHPHIL,2022-03-22,59.5,43.3,29.6,1019.4,83,9.2,338,0.0,0.0
KXHIGHPHIL,2022-03-23,53.0,38.4,30.7,1019.3,96,12.9,76,0.165,0.0
KXHIGHPHIL,2022-03-24,55.3,43.9,46.9,1008.6,100,13.6,54,0.724,0.0
KXHIGHPHIL,2022-03-25,60.0,42.9,39.7,1001.9,77,14.5,276,0.161,0.0
KXHIGHPHIL,2022-03-26,53.7,39.7,32.3,998.0,70,16.8,261,0.154,0.028
KXHIGHPHIL,2022-03-27,44.9,30.6,21.1,1004.2,58,17.4,287,0.0,0.0
KXHIGHPHIL,2022-03-28,33.5,21.9,4.1,1012.8,35,18.8,298,0.02,0.138
KXHIGHPHIL,2022-03-29,41.5,22.8,9.8,1019.9,4,14.8,310,0.0,0.0
KXHIGHPHIL,2022-03-30,49.5,25.0,20.6,1019.8,75,9.3,146,0.02,0.0
KXHIGHPHIL,2022-03-31,68.4,46.4,53.2,1003.3,98,19.5,195,0.803,0.0
KXHIGHPHIL,2022-04-01,59.5,42.9,37.6,1002.7,53,19.8,275,0.26,0.0
KXHIGHPHIL,2022-04-02,53.5,33.6,25.9,1015.9,50,11.4,293,0.0,0.0
KXHIGHPHIL,2022-04-03,56.3,40.1,36.9,1008.1,73,15.2,284,0.26,0.0
KXHIGHPHIL,2022-04-04,55.6,34.9,28.7,1013.8,63,11.8,297,0.0,0.0
KXHIGHPHIL,2022-04-05,57.9,39.8,40.0,1014.0,91,9.6,110,0.157,0.0
KXHIGHPHIL,2022-04-06,57.9,46.9,47.7,1006.1,100,18.7,51,1.433,0.0
KXHIGHPHIL,2022-04-07,56.9,45.8,48.1,1003.5,99,14.0,84,1.748,0.0
KXHIGHPHIL,2022-04-08,62.0,42.9,39.7,1001.5,30,11.7,258,0.02,0.0
KXHIGHPHIL,2022-04-09,56.0,43.1,37.8,1002.3,61,11.8,278,0.504,0.0
KXHIGHPHIL,2022-04-10,50.6,38.0,28.0,1008.5,57,17.7,301,0.004,0.0
KXHIGHPHIL,2022-04-11,60.2,34.4,32.5,1017.2,54,10.5,250,0.0,0.0
KXHIGHPHIL,2022-04-12,70.4,45.0,45.8,1014.9,49,9.8,289,0.051,0.0
KXHIGHPHIL,2022-04-13,79.1,49.1,54.4,1012.7,67,10.0,176,0.0,0.0
KXHIGHPHIL,2022-04-14,81.1,56.9,55.3,1007.4,88,15.9,241,0.209,0.0
KXHIGHPHIL,2022-04-15,67.2,46.0,34.7,1017.2,19,14.5,239,0.0,0.0
KXHIGHPHIL,2022-04-16,72.9,50.5,41.8,1011.7,79,15.8,230,0.181,0.0
KXHIGHPHIL,2022-04-17,51.6,39.8,30.9,1018.3,32,14.7,322,0.071,0.0
KXHIGHPHIL,2022-04-18,50.0,33.8,30.4,1021.0,79,21.5,77,0.657,0.0
KXHIGHPHIL,2022-04-19,52.7,38.9,30.9,1007.3,50,20.0,284,0.539,0.0
KXHIGHPHIL,2022-04-20,57.7,37.0,30.5,1025.3,16,12.5,283,0.0,0.0
KXHIGHPHIL,2022-04-21,62.6,38.9,39.7,1028.0,87,13.8,190,0.02,0.0
KXHIGHPHIL,2022-04-22,67.8,44.2,43.3,1026.3,51,10.9,307,0.0,0.0
KXHIGHPHIL,2022-04-23,63.2,46.3,38.3,1025.2,76,8.5,84,0.0,0.0
KXHIGHPHIL,2022-04-24,69.8,47.3,43.0,1020.3,21,10.6,92,0.0,0.0
KXHIGHPHIL,2022-04-25,63.3,46.4,43.5,1020.2,92,11.3,86,0.016,0.0
KXHIGHPHIL,2022-04-26,69.5,54.1,53.6,1014.8,100,8.6,4,0.311,0.0
KXHIGHPHIL,2022-04-27,56.1,42.7,32.4,1014.2,56,17.2,301,0.0,0.0
KXHIGHPHIL,2022-04-28,55.7,36.4,20.8,1016.8,16,18.0,321,0.0,0.0
KXHIGHPHIL,2022-04-29,61.2,36.8,19.4,1018.3,6,13.8,320,0.0,0.0
KXHIGHPHIL,2022-04-30,66.4,37.8,26.0,1018.2,24,10.3,326,0.0,0.0
KXHIGHPHIL,2022-05-01,71.0,39.0,40.1,1016.9,84,10.1,205,0.0,0.0
KXHIGHPHIL,2022-05-02,75.7,49.5,51.6,1014.0,66,10.3,17,0.0,0.0
KXHIGHPHIL,2022-05-03,71.5,48.7,50.1,1017.5,83,11.6,94,0.0,0.0
KXHIGHPHIL,2022-05-04,72.6,50.3,53.4,1012.9,84,7.1,111,0.094,0.0
KXHIGHPHIL,2022-05-05,71.6,53.4,50.0,1015.6,82,9.1,324,0.0,0.0
KXHIGHPHIL,2022-05-06,58.9,48.9,49.8,1010.7,100,12.4,95,1.012,0.0
KXHIGHPHIL,2022-05-07,51.3,44.7,44.9,1005.8,100,22.0,53,1.094,0.0
KXHIGHPHIL,2022-05-08,54.5,42.6,35.4,1015.7,96,17.6,44,0.181,0.0
KXHIGHPHIL,2022-05-09,66.1,43.6,32.0,1020.6,15,13.8,39,0.0,0.0
KXHIGHPHIL,2022-05-10,67.8,46.8,31.1,1023.9,20,14.1,47,0.0,0.0
KXHIGHPHIL,2022-05-11,67.6,48.9,42.3,1022.4,42,13.0,51,0.0,0.0
KXHIGHPHIL,2022-05-12,71.8,52.0,56.0,1022.7,70,11.0,65,0.0,0.0
KXHIGHPHIL,2022-05-13,74.0,58.7,61.9,1021.2,98,11.0,79,0.13,0.0
KXHIGHPHIL,2022-05-14,71.2,62.0,63.9,1015.4,100,8.5,112,0.39,0.0
KXHIGHPHIL,2022-05-15,78.8,61.8,62.4,1009.7,97,8.8,225,0.016,0.0
KXHIGHPHIL,2022-05-16,76.6,60.3,62.2,1003.8,68,16.5,230,0.35,0.0
KXHIGHPHIL,2022-05-17,76.3,55.0,47.9,1007.2,11,20.0,282,0.0,0.0
KXHIGHPHIL,2022-05-18,72.3,50.8,45.2,1012.7,61,9.3,290,0.0,0.0
KXHIGHPHIL,2022-05-19,77.8,56.7,56.6,1005.7,74,10.3,246,0.52,0.0
KXHIGHPHIL,2022-05-20,84.1,56.9,63.3,1010.0,79,11.8,139,0.409,0.0
KXHIGHPHIL,2022-05-21,92.3,67.6,67.6,1013.3,55,10.7,235,0.0,0.0
KXHIGHPHIL,2022-05-22,86.7,70.7,68.8,1014.4,58,12.0,234,0.28,0.0
KXHIGHPHIL,2022-05-23,73.5,57.9,53.0,1019.3,99,12.4,351,0.106,0.0
KXHIGHPHIL,2022-05-24,66.6,58.3,48.8,1022.4,99,11.7,98,0.0,0.0
KXHIGHPHIL,2022-05-25,72.4,53.7,48.3,1025.2,96,11.0,88,0.0,0.0
KXHIGHPHIL,2022-05-26,74.8,51.9,55.0,1021.6,98,11.5,153,0.016,0.0
KXHIGHPHIL,2022-05-27,77.4,65.6,66.1,1010.8,100,15.3,184,0.551,0.0
KXHIGHPHIL,2022-05-28,76.4,64.3,62.1,1006.2,66,12.3,272,0.638,0.0
KXHIGHPHIL,2022-05-29,84.6,59.1,55.8,1014.7,33,10.5,350,0.0,0.0
KXHIGHPHIL,2022-05-30,87.5,62.3,63.2,1016.7,39,12.7,210,0.0,0.0
KXHIGHPHIL,2022-05-31,93.7,68.2,64.3,1013.2,46,9.7,276,0.0,0.0
KXHIGHPHIL,2022-06-01,87.4,65.0,63.6,1010.1,93,11.1,95,0.0,0.0
KXHIGHPHIL,2022-06-02,81.8,63.8,66.1,1005.3,92,7.7,238,0.449,0.0
KXHIGHPHIL,2022-06-03,81.3,65.1,59.2,1005.7,91,10.3,320,0.067,0.0
KXHIGHPHIL,2022-06-04,84.6,58.2,49.9,1009.4,15,9.3,309,0.0,0.0
KXHIGHPHIL,2022-06-05,77.4,57.3,42.8,1013.0,32,7.8,45,0.0,0.0
KXHIGHPHIL,2022-06-06,80.5,58.6,48.1,1015.1,25,10.8,206,0.0,0.0
KXHIGHPHIL,2022-06-07,79.1,58.9,58.0,1013.8,87,17.2,179,0.067,0.0
KXHIGHPHIL,2022-06-08,87.3,67.1,63.0,1009.3,61,11.5,228,0.031,0.0
KXHIGHPHIL,2022-06-09,83.3,67.1,60.9,1003.3,66,16.2,260,0.909,0.0
KXHIGHPHIL,2022-06-10,80.6,59.8,50.3,1009.0,55,11.2,283,0.0,0.0
KXHIGHPHIL,2022-06-11,74.2,62.0,54.2,1011.3,69,7.2,263,0.0,0.0
KXHIGHPHIL,2022-06-12,79.3,61.0,64.0,1011.8,84,11.2,175,0.323,0.0
KXHIGHPHIL,2022-06-13,87.4,65.7,68.0,1010.5,54,9.7,242,0.079,0.0
