ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTATL,2022-01-01,73.8,66.7,65.6,975.0,90,18.4,208,0.11,0.0
KXHIGHTATL,2022-01-02,68.5,55.3,59.4,972.9,100,19.3,208,1.114,0.0
KXHIGHTATL,2022-01-03,55.7,30.1,30.7,981.2,50,26.2,314,0.327,0.055
KXHIGHTATL,2022-01-04,48.1,27.0,27.8,987.8,16,11.6,103,0.0,0.0
KXHIGHTATL,2022-01-05,56.4,41.3,39.6,980.1,54,12.3,228,0.0,0.0
KXHIGHTATL,2022-01-06,60.8,35.1,41.6,976.2,49,18.4,267,0.15,0.0
KXHIGHTATL,2022-01-07,38.8,24.2,19.4,985.2,50,17.6,319,0.0,0.0
KXHIGHTATL,2022-01-08,47.9,26.3,23.5,992.3,12,13.0,92,0.0,0.0
KXHIGHTATL,2022-01-09,62.3,37.8,44.0,988.3,100,13.0,132,0.594,0.0
KXHIGHTATL,2022-01-10,50.5,34.4,24.9,989.6,38,15.4,330,0.0,0.0
KXHIGHTATL,2022-01-11,46.8,29.6,20.2,993.3,0,14.7,9,0.0,0.0
KXHIGHTATL,2022-01-12,50.5,27.1,27.4,988.6,34,6.4,168,0.0,0.0
KXHIGHTATL,2022-01-13,55.0,33.4,33.6,977.9,63,11.4,263,0.0,0.0
KXHIGHTATL,2022-01-14,51.7,35.5,35.8,977.2,45,10.0,318,0.0,0.0
KXHIGHTATL,2022-01-15,48.2,37.0,34.9,979.0,100,15.7,76,0.051,0.0
KXHIGHTATL,2022-01-16,39.8,31.3,32.6,967.0,98,21.4,76,1.185,1.681
KXHIGHTATL,2022-01-17,39.2,29.3,27.5,974.0,68,18.1,286,0.0,0.0
KXHIGHTATL,2022-01-18,50.0,26.7,30.3,983.4,24,10.7,288,0.0,0.0
KXHIGHTATL,2022-01-19,58.1,32.1,33.5,983.7,76,11.7,178,0.0,0.0
KXHIGHTATL,2022-01-20,50.2,32.5,37.9,981.6,100,13.3,288,0.339,0.0
KXHIGHTATL,2022-01-21,39.1,32.3,27.8,986.6,100,11.2,5,0.012,0.0
KXHIGHTATL,2022-01-22,41.9,28.7,26.6,988.1,58,6.7,351,0.0,0.0
KXHIGHTATL,2022-01-23,47.5,23.6,23.6,980.9,11,10.7,285,0.0,0.0
KXHIGHTATL,2022-01-24,54.9,28.5,29.9,976.5,28,8.9,252,0.0,0.0
KXHIGHTATL,2022-01-25,57.4,42.5,37.5,978.1,76,8.2,267,0.0,0.0
KXHIGHTATL,2022-01-26,48.5,28.3,25.9,985.5,16,13.2,328,0.0,0.0
KXHIGHTATL,2022-01-27,48.7,29.3,27.5,987.6,23,10.1,90,0.0,0.0
KXHIGHTATL,2022-01-28,47.3,30.2,27.2,980.7,82,18.2,310,0.0,0.0
KXHIGHTATL,2022-01-29,35.1,24.1,12.7,983.2,20,17.4,311,0.0,0.0
KXHIGHTATL,2022-01-30,51.9,24.3,19.3,980.8,5,13.8,238,0.0,0.0
KXHIGHTATL,2022-01-31,51.9,31.1,31.1,982.2,75,6.2,296,0.0,0.0
KXHIGHTATL,2022-02-01,55.0,32.2,31.6,986.1,11,13.4,90,0.0,0.0
KXHIGHTATL,2022-02-02,54.0,40.1,36.1,985.1,99,17.6,95,0.098,0.0
KXHIGHTATL,2022-02-03,64.8,47.0,55.4,979.7,100,17.6,150,2.244,0.0
KXHIGHTATL,2022-02-04,63.1,36.3,46.8,981.3,99,18.1,285,1.992,0.0
KXHIGHTATL,2022-02-05,43.7,26.6,19.7,989.7,7,17.2,327,0.0,0.0
KXHIGHTATL,2022-02-06,47.0,28.7,23.3,989.2,12,12.9,82,0.0,0.0
KXHIGHTATL,2022-02-07,51.1,39.4,30.8,984.9,100,8.5,347,0.0,0.0
KXHIGHTATL,2022-02-08,52.0,31.7,27.9,983.5,36,11.4,323,0.0,0.0
KXHIGHTATL,2022-02-09,58.0,29.8,30.9,980.6,0,11.0,253,0.0,0.0
KXHIGHTATL,2022-02-10,62.4,35.2,33.2,980.5,2,11.5,252,0.0,0.0
KXHIGHTATL,2022-02-11,63.6,40.0,36.9,979.7,10,12.2,218,0.0,0.0
KXHIGHTATL,2022-02-12,63.5,43.3,41.9,981.2,9,12.5,281,0.0,0.0
KXHIGHTATL,2022-02-13,44.5,35.4,21.8,983.0,48,16.9,313,0.008,0.0
KXHIGHTATL,2022-02-14,52.9,28.0,23.9,987.8,0,10.6,296,0.0,0.0
KXHIGHTATL,2022-02-15,57.8,32.5,31.7,993.1,10,10.1,109,0.0,0.0
KXHIGHTATL,2022-02-16,65.8,40.7,41.2,991.8,56,14.5,130,0.012,0.0
KXHIGHTATL,2022-02-17,72.3,53.2,55.0,981.9,100,23.6,171,0.043,0.0
KXHIGHTATL,2022-02-18,65.4,32.6,38.6,980.6,57,20.0,305,0.346,0.0
KXHIGHTATL,2022-02-19,53.2,27.7,24.1,987.4,0,12.3,320,0.0,0.0
KXHIGHTATL,2022-02-20,56.3,30.5,26.9,990.1,18,10.0,93,0.0,0.0
KXHIGHTATL,2022-02-21,58.9,40.3,43.4,987.5,97,9.9,123,0.28,0.0
KXHIGHTATL,2022-02-22,72.7,52.2,55.3,985.6,95,13.8,169,0.142,0.0
KXHIGHTATL,2022-02-23,71.6,60.2,60.0,984.8,80,14.1,220,0.547,0.0
KXHIGHTATL,2022-02-24,72.9,60.3,60.1,984.5,77,9.5,220,0.047,0.0
KXHIGHTATL,2022-02-25,62.6,43.7,51.7,986.2,48,14.9,278,0.094,0.0
KXHIGHTATL,2022-02-26,60.5,36.6,34.1,989.4,87,12.3,327,0.0,0.0
KXHIGHTATL,2022-02-27,54.0,44.9,44.1,984.1,93,8.9,358,0.335,0.0
KXHIGHTATL,2022-02-28,59.0,42.9,38.2,983.9,38,7.3,358,0.0,0.0
KXHIGHTATL,2022-03-01,63.4,36.1,34.3,983.4,32,6.8,304,0.0,0.0
KXHIGHTATL,2022-03-02,71.6,42.8,38.9,983.1,0,7.9,295,0.0,0.0
KXHIGHTATL,2022-03-03,73.8,46.8,41.9,983.5,0,7.6,280,0.0,0.0
KXHIGHTATL,2022-03-04,69.9,46.8,44.4,987.3,17,12.4,77,0.0,0.0
KXHIGHTATL,2022-03-05,74.0,47.2,46.4,988.7,59,12.5,126,0.0,0.0
KXHIGHTATL,2022-03-06,77.9,54.7,54.4,986.6,26,13.4,176,0.0,0.0
KXHIGHTATL,2022-03-07,75.9,55.1,57.2,980.9,50,21.8,214,0.433,0.0
