ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTBOS,2022-01-01,52.2,41.4,46.5,1008.8,100,6.4,175,0.087,0.0
KXHIGHTBOS,2022-01-02,46.3,32.8,40.5,1002.5,100,14.4,334,0.244,0.0
KXHIGHTBOS,2022-01-03,30.3,21.6,11.1,1018.3,100,13.9,350,0.0,0.0
KXHIGHTBOS,2022-01-04,32.3,14.4,3.2,1024.9,5,11.4,284,0.0,0.0
KXHIGHTBOS,2022-01-05,48.0,24.1,34.2,1013.9,91,16.4,204,0.252,0.0
KXHIGHTBOS,2022-01-06,39.5,29.1,26.1,1007.4,75,13.9,266,0.0,0.0
KXHIGHTBOS,2022-01-07,30.4,23.3,22.3,1007.5,82,16.5,314,0.539,3.776
KXHIGHTBOS,2022-01-08,26.8,9.8,7.0,1028.2,11,10.9,290,0.0,0.0
KXHIGHTBOS,2022-01-09,41.1,7.9,25.2,1020.0,91,18.9,220,0.114,0.0
KXHIGHTBOS,2022-01-10,38.5,21.2,13.9,1014.7,57,13.5,285,0.0,0.0
KXHIGHTBOS,2022-01-11,21.3,8.2,-7.5,1027.3,11,16.1,319,0.004,0.028
KXHIGHTBOS,2022-01-12,41.3,10.4,9.1,1021.4,82,16.8,217,0.0,0.0
KXHIGHTBOS,2022-01-13,44.8,26.4,24.3,1015.3,89,6.7,190,0.0,0.0
KXHIGHTBOS,2022-01-14,40.2,16.6,25.2,1008.1,92,19.3,344,0.004,0.0
KXHIGHTBOS,2022-01-15,12.7,1.3,-17.0,1019.4,26,18.5,319,0.0,0.0
KXHIGHTBOS,2022-01-16,30.0,5.5,-5.2,1026.6,40,10.3,355,0.0,0.0
KXHIGHTBOS,2022-01-17,46.7,31.7,34.0,993.4,91,33.6,148,1.094,0.331
KXHIGHTBOS,2022-01-18,34.4,19.7,10.9,1002.9,25,20.0,286,0.0,0.0
KXHIGHTBOS,2022-01-19,45.9,17.0,16.7,1016.2,80,20.7,219,0.0,0.0
KXHIGHTBOS,2022-01-20,38.2,19.7,23.4,1017.6,96,13.1,303,0.173,0.386
