ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTDAL,2022-01-01,74.1,28.5,51.9,990.9,76,21.8,326,0.984,0.0
KXHIGHTDAL,2022-01-02,37.2,19.2,13.4,1011.9,34,21.4,326,0.0,0.0
KXHIGHTDAL,2022-01-03,50.8,26.8,23.5,1014.5,15,11.2,179,0.0,0.0
KXHIGHTDAL,2022-01-04,59.1,35.2,26.5,1003.1,18,18.7,178,0.0,0.0
KXHIGHTDAL,2022-01-05,57.6,36.8,37.0,998.0,15,13.3,51,0.0,0.0
KXHIGHTDAL,2022-01-06,42.2,29.7,20.9,1004.1,51,18.4,353,0.0,0.0
KXHIGHTDAL,2022-01-07,47.2,21.8,22.5,1007.7,17,11.4,114,0.0,0.0
KXHIGHTDAL,2022-01-08,62.5,45.6,48.9,1000.2,95,13.1,163,0.071,0.0
KXHIGHTDAL,2022-01-09,61.5,44.1,43.7,1008.5,79,20.0,336,0.008,0.0
KXHIGHTDAL,2022-01-10,51.6,33.2,24.1,1021.5,59,13.8,0,0.0,0.0
KXHIGHTDAL,2022-01-11,56.1,32.2,25.7,1017.5,45,11.7,214,0.016,0.0
KXHIGHTDAL,2022-01-12,60.3,39.6,32.6,1010.0,41,9.8,214,0.0,0.0
KXHIGHTDAL,2022-01-13,68.6,38.7,35.2,1004.8,19,8.2,277,0.0,0.0
KXHIGHTDAL,2022-01-14,73.8,41.7,35.5,996.7,78,15.0,160,0.004,0.0
KXHIGHTDAL,2022-01-15,58.7,30.8,21.3,1003.6,47,28.7,325,0.0,0.0
KXHIGHTDAL,2022-01-16,50.5,29.1,23.9,1004.7,11,16.3,314,0.0,0.0
KXHIGHTDAL,2022-01-17,60.4,30.8,28.7,1004.2,9,9.9,158,0.0,0.0
KXHIGHTDAL,2022-01-18,71.3,47.6,40.5,997.1,39,21.5,180,0.0,0.0
KXHIGHTDAL,2022-01-19,64.7,36.5,43.2,998.6,45,22.0,287,0.051,0.0
KXHIGHTDAL,2022-01-20,35.2,24.9,8.6,1015.7,76,20.8,360,0.0,0.0
KXHIGHTDAL,2022-01-21,39.4,20.5,9.1,1015.3,24,8.5,32,0.0,0.0
KXHIGHTDAL,2022-01-22,47.9,25.0,18.1,1015.4,0,6.3,97,0.0,0.0
KXHIGHTDAL,2022-01-23,62.2,31.7,26.6,1007.1,0,10.2,246,0.0,0.0
KXHIGHTDAL,2022-01-24,56.6,43.5,40.7,998.1,84,9.9,229,0.169,0.0
KXHIGHTDAL,2022-01-25,56.8,39.2,37.1,1003.3,24,13.5,42,0.0,0.0
KXHIGHTDAL,2022-01-26,46.8,31.5,19.4,1012.1,24,13.5,48,0.0,0.0
KXHIGHTDAL,2022-01-27,52.8,39.1,27.4,1010.1,64,12.3,12,0.024,0.165
KXHIGHTDAL,2022-01-28,54.5,32.6,26.7,1015.7,2,14.1,330,0.0,0.0
KXHIGHTDAL,2022-01-29,65.6,32.8,23.3,1009.9,0,13.5,231,0.0,0.0
KXHIGHTDAL,2022-01-30,68.1,43.8,24.4,1003.6,42,11.2,226,0.0,0.0
KXHIGHTDAL,2022-01-31,64.1,48.8,47.1,999.9,88,13.4,170,0.02,0.0
KXHIGHTDAL,2022-02-01,70.9,53.0,53.0,995.6,87,13.0,153,0.039,0.0
KXHIGHTDAL,2022-02-02,56.9,33.6,41.9,997.5,99,17.1,345,0.831,0.0
KXHIGHTDAL,2022-02-03,33.0,21.3,20.2,1007.5,100,18.6,337,0.61,0.799
KXHIGHTDAL,2022-02-04,35.9,21.2,15.4,1019.0,56,16.6,334,0.0,0.0
KXHIGHTDAL,2022-02-05,44.6,18.0,18.6,1017.0,0,9.8,204,0.0,0.0
KXHIGHTDAL,2022-02-06,54.0,29.3,23.8,1008.2,0,10.0,179,0.0,0.0
KXHIGHTDAL,2022-02-07,55.8,32.8,28.5,1012.6,4,13.7,337,0.0,0.0
KXHIGHTDAL,2022-02-08,64.4,36.4,26.9,1007.4,1,13.0,212,0.0,0.0
KXHIGHTDAL,2022-02-09,66.3,37.0,30.0,1003.6,3,10.2,248,0.0,0.0
KXHIGHTDAL,2022-02-10,68.8,37.0,27.7,1002.6,16,8.4,231,0.0,0.0
KXHIGHTDAL,2022-02-11,75.7,50.8,34.5,997.3,1,16.0,206,0.0,0.0
KXHIGHTDAL,2022-02-12,56.6,33.3,22.0,1012.0,58,21.0,12,0.035,0.138
