ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTDC,2022-01-01,63.2,52.3,55.7,1003.6,100,10.2,190,0.882,0.0
KXHIGHTDC,2022-01-02,65.4,47.7,52.0,1002.5,100,14.7,283,0.48,0.0
KXHIGHTDC,2022-01-03,46.1,22.2,24.3,1015.4,68,15.7,353,0.882,5.787
KXHIGHTDC,2022-01-04,32.8,13.5,18.9,1025.6,22,10.6,266,0.0,0.0
KXHIGHTDC,2022-01-05,42.2,23.2,29.6,1011.0,98,11.0,195,0.0,0.0
KXHIGHTDC,2022-01-06,39.2,32.8,25.3,1009.2,90,9.6,318,0.0,0.0
KXHIGHTDC,2022-01-07,34.3,15.6,17.3,1013.9,30,13.1,308,0.22,1.543
KXHIGHTDC,2022-01-08,31.3,12.8,13.3,1031.2,5,9.4,262,0.0,0.0
KXHIGHTDC,2022-01-09,47.5,28.0,30.4,1020.5,86,13.4,208,0.35,0.0
KXHIGHTDC,2022-01-10,43.4,25.5,14.2,1020.2,44,15.5,308,0.0,0.0
KXHIGHTDC,2022-01-11,27.7,20.4,7.0,1029.1,4,9.9,314,0.0,0.0
KXHIGHTDC,2022-01-12,46.4,22.5,15.0,1019.9,50,11.3,196,0.0,0.0
KXHIGHTDC,2022-01-13,47.9,27.5,28.3,1011.1,97,4.8,11,0.0,0.0
KXHIGHTDC,2022-01-14,45.8,31.7,28.5,1008.0,55,15.2,335,0.004,0.0
KXHIGHTDC,2022-01-15,33.8,19.5,4.2,1021.3,57,10.6,358,0.0,0.0
KXHIGHTDC,2022-01-16,38.1,15.5,8.0,1016.9,83,24.1,44,0.839,1.654
KXHIGHTDC,2022-01-17,45.4,30.9,25.6,988.7,94,22.0,253,0.492,0.331
KXHIGHTDC,2022-01-18,38.0,26.7,20.0,1012.4,57,15.1,286,0.0,0.0
KXHIGHTDC,2022-01-19,50.1,25.2,26.3,1015.3,93,12.2,201,0.0,0.0
KXHIGHTDC,2022-01-20,45.2,25.7,29.0,1018.1,95,10.5,327,0.433,0.0
KXHIGHTDC,2022-01-21,27.0,15.6,5.0,1028.9,93,11.0,358,0.0,0.0
KXHIGHTDC,2022-01-22,33.3,16.0,0.2,1024.2,29,6.5,327,0.0,0.0
KXHIGHTDC,2022-01-23,40.6,22.4,9.1,1010.5,83,6.6,225,0.0,0.0
KXHIGHTDC,2022-01-24,41.3,24.5,22.5,1007.9,56,9.9,245,0.0,0.0
KXHIGHTDC,2022-01-25,46.8,29.7,24.7,1011.2,66,11.3,308,0.0,0.0
KXHIGHTDC,2022-01-26,31.9,19.9,10.0,1024.5,10,10.0,335,0.0,0.0
KXHIGHTDC,2022-01-27,35.3,17.8,10.9,1025.5,28,7.1,185,0.004,0.028
KXHIGHTDC,2022-01-28,37.9,27.7,25.2,1015.2,100,8.8,56,0.138,0.854
KXHIGHTDC,2022-01-29,31.1,19.7,7.7,1008.9,66,16.6,326,0.028,0.193
KXHIGHTDC,2022-01-30,31.8,15.4,7.6,1014.8,47,13.9,286,0.0,0.0
KXHIGHTDC,2022-01-31,36.1,21.6,17.3,1021.3,47,7.2,64,0.0,0.0
KXHIGHTDC,2022-02-01,41.1,21.6,21.8,1028.0,32,7.4,85,0.0,0.0
KXHIGHTDC,2022-02-02,49.7,26.1,31.3,1025.6,71,7.1,149,0.0,0.0
KXHIGHTDC,2022-02-03,57.1,40.2,45.5,1018.6,100,15.1,185,0.65,0.0
KXHIGHTDC,2022-02-04,60.0,34.7,44.9,1010.2,100,15.3,268,0.744,0.0
KXHIGHTDC,2022-02-05,32.5,22.8,14.1,1023.4,35,15.0,324,0.0,0.0
KXHIGHTDC,2022-02-06,36.8,20.9,10.6,1030.4,12,6.1,98,0.0,0.0
KXHIGHTDC,2022-02-07,42.2,29.4,28.8,1020.9,97,6.1,12,0.287,0.165
KXHIGHTDC,2022-02-08,44.1,29.1,25.4,1013.9,19,11.4,310,0.0,0.0
KXHIGHTDC,2022-02-09,52.5,25.4,25.8,1012.9,1,8.8,157,0.0,0.0
KXHIGHTDC,2022-02-10,56.8,32.4,29.6,1009.0,32,15.6,250,0.0,0.0
KXHIGHTDC,2022-02-11,62.4,28.0,30.2,1010.5,4,13.5,195,0.0,0.0
KXHIGHTDC,2022-02-12,58.7,43.0,34.6,1011.9,75,13.3,267,0.0,0.0
KXHIGHTDC,2022-02-13,45.1,24.8,26.2,1016.4,81,9.4,2,0.201,0.827
KXHIGHTDC,2022-02-14,31.3,21.0,10.1,1020.3,36,11.3,311,0.0,0.0
KXHIGHTDC,2022-02-15,39.4,20.1,10.4,1032.7,26,5.6,207,0.0,0.0
KXHIGHTDC,2022-02-16,51.8,26.4,28.0,1031.4,72,10.1,170,0.0,0.0
KXHIGHTDC,2022-02-17,66.2,44.4,46.4,1015.7,100,18.3,194,0.0,0.0
KXHIGHTDC,2022-02-18,63.0,29.4,33.8,1007.1,52,20.8,281,0.118,0.0
KXHIGHTDC,2022-02-19,45.8,24.3,16.5,1016.4,15,21.4,280,0.0,0.0
KXHIGHTDC,2022-02-20,40.4,19.6,11.0,1027.1,8,9.2,190,0.0,0.0
KXHIGHTDC,2022-02-21,59.9,30.7,26.5,1022.5,26,10.5,195,0.0,0.0
KXHIGHTDC,2022-02-22,65.8,44.7,51.5,1017.6,93,19.4,194,0.11,0.0
KXHIGHTDC,2022-02-23,70.4,44.4,48.7,1014.7,84,17.0,259,0.004,0.0
KXHIGHTDC,2022-02-24,41.3,32.6,25.6,1025.3,100,10.5,40,0.315,0.028
KXHIGHTDC,2022-02-25,53.5,33.3,32.5,1017.6,84,15.5,292,0.618,0.0
KXHIGHTDC,2022-02-26,44.0,28.8,20.6,1026.3,91,11.5,312,0.0,0.0
KXHIGHTDC,2022-02-27,52.1,30.6,22.5,1016.9,41,11.9,280,0.0,0.0
KXHIGHTDC,2022-02-28,47.1,30.9,22.5,1019.4,29,11.0,346,0.0,0.0
KXHIGHTDC,2022-03-01,55.8,30.6,31.9,1016.0,67,9.6,186,0.0,0.0
KXHIGHTDC,2022-03-02,60.3,37.2,37.6,1012.4,35,8.9,291,0.0,0.0
KXHIGHTDC,2022-03-03,53.3,35.8,28.6,1014.8,60,14.4,312,0.0,0.0
KXHIGHTDC,2022-03-04,43.5,23.4,16.7,1029.0,44,10.1,45,0.0,0.0
KXHIGHTDC,2022-03-05,58.5,32.3,34.3,1025.6,73,10.5,142,0.0,0.0
KXHIGHTDC,2022-03-06,74.9,46.9,55.4,1015.6,100,16.5,217,0.425,0.0
KXHIGHTDC,2022-03-07,76.6,57.8,55.8,1006.3,98,22.3,219,0.165,0.0
KXHIGHTDC,2022-03-08,55.0,40.5,29.4,1015.9,93,18.0,323,0.0,0.0
KXHIGHTDC,2022-03-09,45.0,38.3,37.7,1012.0,100,9.6,59,0.465,0.0
KXHIGHTDC,2022-03-10,50.5,33.0,33.5,1017.1,90,5.5,42,0.0,0.0
KXHIGHTDC,2022-03-11,59.1,34.0,38.4,1012.7,18,9.9,164,0.0,0.0
KXHIGHTDC,2022-03-12,45.8,23.2,27.0,1000.5,87,20.7,305,0.61,2.508
KXHIGHTDC,2022-03-13,43.7,19.0,12.1,1020.0,26,13.2,243,0.0,0.0
KXHIGHTDC,2022-03-14,59.5,26.5,28.3,1025.0,46,8.5,202,0.0,0.0
KXHIGHTDC,2022-03-15,69.2,37.6,36.6,1020.1,37,7.8,211,0.0,0.0
KXHIGHTDC,2022-03-16,69.5,38.9,39.3,1017.4,71,10.1,135,0.0,0.0
KXHIGHTDC,2022-03-17,60.5,48.6,50.4,1010.9,88,8.6,21,0.382,0.0
KXHIGHTDC,2022-03-18,72.6,44.6,50.8,1011.6,76,11.9,178,0.0,0.0
KXHIGHTDC,2022-03-19,73.7,55.5,53.4,1004.8,39,15.9,206,0.004,0.0
KXHIGHTDC,2022-03-20,58.3,47.6,36.1,1009.9,60,18.8,299,0.0,0.0
KXHIGHTDC,2022-03-21,67.4,40.9,33.6,1017.6,16,13.6,291,0.0,0.0
KXHIGHTDC,2022-03-22,63.5,43.9,39.5,1017.7,84,6.7,45,0.0,0.0
KXHIGHTDC,2022-03-23,54.4,44.1,41.7,1014.0,99,11.5,86,0.602,0.0
KXHIGHTDC,2022-03-24,63.3,51.0,54.9,1005.3,100,11.9,89,0.606,0.0
KXHIGHTDC,2022-03-25,61.7,44.7,39.0,1001.6,72,12.1,287,0.0,0.0
KXHIGHTDC,2022-03-26,51.9,39.7,29.1,999.1,66,16.4,273,0.02,0.0
KXHIGHTDC,2022-03-27,43.4,32.2,19.9,1006.1,59,17.1,295,0.0,0.0
KXHIGHTDC,2022-03-28,36.6,25.2,11.0,1013.5,54,20.6,308,0.008,0.055
KXHIGHTDC,2022-03-29,44.3,22.3,13.6,1020.5,24,11.6,309,0.0,0.0
KXHIGHTDC,2022-03-30,58.9,29.5,29.7,1016.6,89,11.4,139,0.004,0.0
KXHIGHTDC,2022-03-31,71.6,49.9,56.5,1000.3,86,22.9,189,0.142,0.0
KXHIGHTDC,2022-04-01,60.3,42.6,35.2,1004.3,56,20.3,291,0.165,0.0
KXHIGHTDC,2022-04-02,54.4,34.3,28.5,1015.2,38,9.2,292,0.0,0.0
KXHIGHTDC,2022-04-03,56.9,42.5,34.5,1007.4,54,17.8,299,0.028,0.0
KXHIGHTDC,2022-04-04,57.2,33.6,30.1,1013.8,62,10.3,300,0.0,0.0
KXHIGHTDC,2022-04-05,54.0,44.5,44.6,1010.5,100,12.2,92,0.752,0.0
KXHIGHTDC,2022-04-06,62.7,50.1,50.9,1002.7,97,11.5,49,0.362,0.0
KXHIGHTDC,2022-04-07,54.0,47.8,48.5,1000.8,99,12.3,37,0.602,0.0
KXHIGHTDC,2022-04-08,61.6,40.9,39.3,1001.3,40,11.6,256,0.106,0.0
