ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTHOU,2022-01-01,83.5,71.2,69.8,1003.5,92,21.6,203,0.063,0.0
KXHIGHTHOU,2022-01-02,71.2,31.7,27.1,1020.2,38,22.2,331,0.028,0.0
KXHIGHTHOU,2022-01-03,50.1,30.4,23.8,1029.1,0,9.6,345,0.0,0.0
KXHIGHTHOU,2022-01-04,65.8,37.1,38.5,1020.2,34,11.8,185,0.0,0.0
KXHIGHTHOU,2022-01-05,74.5,51.0,56.0,1011.3,12,13.2,203,0.0,0.0
KXHIGHTHOU,2022-01-06,67.6,48.6,50.9,1012.6,48,14.4,325,0.0,0.0
KXHIGHTHOU,2022-01-07,54.8,38.0,38.1,1020.0,37,10.9,69,0.0,0.0
KXHIGHTHOU,2022-01-08,72.7,50.1,60.5,1015.1,99,20.7,149,1.866,0.0
KXHIGHTHOU,2022-01-09,70.9,54.5,60.5,1019.2,96,21.0,273,1.457,0.0
KXHIGHTHOU,2022-01-10,57.4,47.3,34.0,1029.9,60,17.0,14,0.0,0.0
KXHIGHTHOU,2022-01-11,55.8,40.5,29.6,1030.8,65,10.2,40,0.004,0.0
KXHIGHTHOU,2022-01-12,56.9,46.9,41.5,1024.7,79,6.0,64,0.0,0.0
KXHIGHTHOU,2022-01-13,67.7,44.1,45.3,1019.2,1,7.2,269,0.0,0.0
KXHIGHTHOU,2022-01-14,71.4,42.5,47.6,1012.5,36,9.9,216,0.0,0.0
KXHIGHTHOU,2022-01-15,60.4,38.1,34.2,1013.3,56,24.4,313,0.024,0.0
KXHIGHTHOU,2022-01-16,53.4,33.4,27.4,1017.9,0,17.6,304,0.0,0.0
KXHIGHTHOU,2022-01-17,62.2,33.2,35.6,1018.6,0,9.0,125,0.0,0.0
KXHIGHTHOU,2022-01-18,71.6,46.7,49.9,1015.2,49,17.3,171,0.0,0.0
KXHIGHTHOU,2022-01-19,68.0,59.4,60.4,1012.0,82,10.3,199,1.409,0.0
KXHIGHTHOU,2022-01-20,60.9,37.8,34.7,1021.5,99,20.3,351,0.13,0.0
KXHIGHTHOU,2022-01-21,48.7,36.6,23.2,1025.7,61,13.0,10,0.024,0.0
KXHIGHTHOU,2022-01-22,51.6,31.2,24.5,1027.5,3,9.3,36,0.0,0.0
KXHIGHTHOU,2022-01-23,54.3,38.0,28.9,1022.5,90,6.5,312,0.0,0.0
KXHIGHTHOU,2022-01-24,54.7,48.4,43.8,1012.6,100,11.5,54,0.709,0.0
KXHIGHTHOU,2022-01-25,60.4,42.7,47.2,1014.1,71,11.0,5,0.004,0.0
KXHIGHTHOU,2022-01-26,54.1,39.4,37.8,1022.7,41,11.2,44,0.0,0.0
KXHIGHTHOU,2022-01-27,57.8,40.2,35.8,1022.4,71,9.0,42,0.0,0.0
KXHIGHTHOU,2022-01-28,55.6,44.4,29.3,1026.7,47,12.4,357,0.0,0.0
KXHIGHTHOU,2022-01-29,59.1,33.1,30.9,1026.6,2,9.6,233,0.0,0.0
KXHIGHTHOU,2022-01-30,65.8,41.0,40.6,1020.4,7,8.9,218,0.0,0.0
KXHIGHTHOU,2022-01-31,66.1,56.7,54.7,1014.1,99,15.3,120,1.181,0.0
KXHIGHTHOU,2022-02-01,68.3,56.8,56.9,1007.8,92,16.2,61,0.496,0.0
KXHIGHTHOU,2022-02-02,73.2,51.3,59.7,1007.7,94,13.3,137,0.177,0.0
KXHIGHTHOU,2022-02-03,62.5,30.4,37.5,1014.5,100,21.1,336,0.823,0.0
KXHIGHTHOU,2022-02-04,42.1,26.1,20.7,1029.5,73,16.2,337,0.0,0.0
KXHIGHTHOU,2022-02-05,47.8,26.3,23.4,1031.3,0,10.1,356,0.0,0.0
KXHIGHTHOU,2022-02-06,56.0,28.9,33.3,1022.7,33,8.0,136,0.0,0.0
KXHIGHTHOU,2022-02-07,59.9,42.1,36.4,1024.2,40,11.1,348,0.0,0.0
KXHIGHTHOU,2022-02-08,59.9,34.2,30.5,1023.2,0,9.6,353,0.0,0.0
KXHIGHTHOU,2022-02-09,66.0,36.3,39.2,1018.8,0,8.8,228,0.0,0.0
KXHIGHTHOU,2022-02-10,67.6,38.6,41.8,1017.5,59,7.4,215,0.0,0.0
KXHIGHTHOU,2022-02-11,70.0,40.9,46.8,1014.1,1,10.4,194,0.0,0.0
KXHIGHTHOU,2022-02-12,60.6,41.6,45.9,1019.5,55,23.3,7,0.303,0.0
KXHIGHTHOU,2022-02-13,57.2,30.4,22.4,1029.0,0,12.0,335,0.0,0.0
KXHIGHTHOU,2022-02-14,64.3,36.0,36.1,1025.8,25,10.2,193,0.0,0.0
KXHIGHTHOU,2022-02-15,68.2,45.0,50.2,1021.7,55,15.7,136,0.0,0.0
KXHIGHTHOU,2022-02-16,74.5,59.5,61.3,1014.2,89,23.4,159,0.102,0.0
KXHIGHTHOU,2022-02-17,77.9,43.6,56.7,1010.9,58,20.1,254,0.335,0.0
KXHIGHTHOU,2022-02-18,56.8,35.8,30.4,1023.4,31,18.6,356,0.0,0.0
KXHIGHTHOU,2022-02-19,62.1,38.2,35.9,1026.2,39,7.4,61,0.0,0.0
KXHIGHTHOU,2022-02-20,68.4,44.3,49.0,1020.6,71,11.4,133,0.031,0.0
KXHIGHTHOU,2022-02-21,78.3,59.3,65.9,1012.7,88,22.1,186,0.035,0.0
KXHIGHTHOU,2022-02-22,79.0,68.4,67.6,1012.3,86,18.4,187,0.091,0.0
KXHIGHTHOU,2022-02-23,69.4,39.0,49.0,1018.4,99,14.0,356,0.185,0.0
KXHIGHTHOU,2022-02-24,56.8,40.1,41.8,1018.4,99,13.5,342,0.043,0.0
KXHIGHTHOU,2022-02-25,47.8,36.8,35.9,1025.2,100,15.9,8,0.157,0.0
KXHIGHTHOU,2022-02-26,46.4,39.7,40.1,1024.6,100,12.1,13,0.177,0.0
KXHIGHTHOU,2022-02-27,58.0,40.7,38.6,1024.7,59,14.0,347,0.024,0.0
KXHIGHTHOU,2022-02-28,60.7,34.5,33.0,1024.5,24,7.9,351,0.0,0.0
KXHIGHTHOU,2022-03-01,65.6,35.6,38.1,1021.4,43,7.8,234,0.0,0.0
KXHIGHTHOU,2022-03-02,67.7,40.6,42.3,1020.5,78,9.1,150,0.0,0.0
KXHIGHTHOU,2022-03-03,72.8,50.6,54.2,1019.6,82,11.7,139,0.0,0.0
KXHIGHTHOU,2022-03-04,71.9,57.8,60.0,1018.3,90,15.7,140,0.083,0.0
KXHIGHTHOU,2022-03-05,77.8,62.8,65.0,1014.4,70,20.4,165,0.055,0.0
KXHIGHTHOU,2022-03-06,80.1,67.6,68.0,1012.9,94,21.9,161,0.024,0.0
KXHIGHTHOU,2022-03-07,71.4,51.9,50.5,1016.0,93,18.9,5,0.102,0.0
KXHIGHTHOU,2022-03-08,50.5,45.2,42.3,1014.4,99,12.5,1,0.929,0.0
KXHIGHTHOU,2022-03-09,57.7,39.7,41.1,1014.2,58,13.2,14,0.008,0.0
KXHIGHTHOU,2022-03-10,67.3,41.2,45.9,1012.5,6,9.4,95,0.0,0.0
KXHIGHTHOU,2022-03-11,64.3,39.0,48.0,1012.1,97,22.8,346,0.106,0.0
KXHIGHTHOU,2022-03-12,54.2,33.2,25.0,1027.4,5,22.6,359,0.0,0.0
KXHIGHTHOU,2022-03-13,61.8,34.1,36.8,1025.0,44,14.0,143,0.0,0.0
KXHIGHTHOU,2022-03-14,74.4,55.0,57.6,1016.8,69,19.0,162,0.311,0.0
KXHIGHTHOU,2022-03-15,70.9,55.0,50.4,1016.6,14,14.5,307,0.165,0.0
KXHIGHTHOU,2022-03-16,73.5,48.8,51.5,1014.4,6,12.4,189,0.0,0.0
KXHIGHTHOU,2022-03-17,75.6,52.7,59.4,1008.0,62,20.5,157,0.091,0.0
KXHIGHTHOU,2022-03-18,68.5,55.1,50.2,1011.6,21,18.4,303,0.0,0.0
KXHIGHTHOU,2022-03-19,70.6,46.8,42.4,1019.9,7,6.8,49,0.0,0.0
KXHIGHTHOU,2022-03-20,70.0,44.2,46.4,1020.1,19,18.1,120,0.0,0.0
KXHIGHTHOU,2022-03-21,75.2,62.5,65.5,1008.9,100,28.1,145,0.35,0.0
KXHIGHTHOU,2022-03-22,72.2,54.2,54.6,1005.0,49,22.1,273,1.528,0.0
KXHIGHTHOU,2022-03-23,65.4,46.6,35.5,1013.3,22,13.2,296,0.0,0.0
KXHIGHTHOU,2022-03-24,65.0,49.8,36.4,1014.1,4,16.3,264,0.0,0.0
KXHIGHTHOU,2022-03-25,76.6,46.1,42.8,1016.7,0,7.4,240,0.0,0.0
KXHIGHTHOU,2022-03-26,80.9,51.2,55.1,1016.1,0,12.1,192,0.0,0.0
KXHIGHTHOU,2022-03-27,81.5,59.7,59.1,1014.3,16,14.7,199,0.0,0.0
KXHIGHTHOU,2022-03-28,80.5,62.9,60.5,1014.6,69,15.9,183,0.0,0.0
KXHIGHTHOU,2022-03-29,81.1,66.7,65.6,1009.0,99,22.8,167,0.063,0.0
KXHIGHTHOU,2022-03-30,81.4,63.5,58.2,1000.5,54,22.1,211,1.169,0.0
KXHIGHTHOU,2022-03-31,72.9,50.4,43.7,1009.0,14,11.0,16,0.0,0.0
KXHIGHTHOU,2022-04-01,74.6,52.9,46.3,1013.0,43,13.8,104,0.0,0.0
KXHIGHTHOU,2022-04-02,82.5,60.2,60.6,1012.4,43,8.4,80,0.012,0.0
KXHIGHTHOU,2022-04-03,80.3,57.7,57.2,1012.2,18,15.7,127,0.0,0.0
KXHIGHTHOU,2022-04-04,78.1,64.6,66.6,1006.4,96,17.6,137,0.189,0.0
KXHIGHTHOU,2022-04-05,87.1,68.4,68.9,1001.9,71,12.2,188,0.012,0.0
KXHIGHTHOU,2022-04-06,81.1,66.9,59.5,1004.6,48,18.8,314,0.012,0.0
KXHIGHTHOU,2022-04-07,73.8,55.5,29.7,1017.6,0,18.2,338,0.0,0.0
