ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTLV,2022-01-01,45.8,32.0,10.2,948.3,1,21.9,334,0.0,0.0
KXHIGHTLV,2022-01-02,46.2,24.9,11.6,955.7,0,6.6,247,0.0,0.0
KXHIGHTLV,2022-01-03,47.6,26.7,8.6,950.7,43,7.5,270,0.0,0.0
KXHIGHTLV,2022-01-04,53.6,30.9,15.6,949.9,54,6.9,283,0.0,0.0
KXHIGHTLV,2022-01-05,55.0,30.2,20.7,948.3,3,6.3,340,0.0,0.0
KXHIGHTLV,2022-01-06,61.2,36.6,26.0,945.0,8,6.1,307,0.0,0.0
KXHIGHTLV,2022-01-07,64.0,33.7,32.1,938.9,45,9.1,303,0.0,0.0
KXHIGHTLV,2022-01-08,64.2,44.0,25.6,943.2,12,13.9,305,0.0,0.0
KXHIGHTLV,2022-01-09,60.6,35.8,20.4,955.8,0,12.5,2,0.0,0.0
KXHIGHTLV,2022-01-10,60.4,38.7,17.8,958.8,55,8.4,284,0.0,0.0
KXHIGHTLV,2022-01-11,62.0,37.7,13.2,956.6,32,8.1,284,0.0,0.0
KXHIGHTLV,2022-01-12,64.1,45.0,16.1,955.5,33,6.4,237,0.0,0.0
KXHIGHTLV,2022-01-13,61.5,44.4,22.4,951.0,98,6.9,295,0.0,0.0
KXHIGHTLV,2022-01-14,66.3,40.5,23.4,950.8,51,14.6,3,0.0,0.0
KXHIGHTLV,2022-01-15,61.0,39.8,17.9,953.6,91,6.9,255,0.0,0.0
KXHIGHTLV,2022-01-16,61.3,39.6,11.2,948.8,92,5.1,286,0.0,0.0
KXHIGHTLV,2022-01-17,59.6,42.3,16.8,945.6,84,4.8,286,0.0,0.0
KXHIGHTLV,2022-01-18,59.3,43.7,33.4,944.8,56,6.5,5,0.008,0.0
KXHIGHTLV,2022-01-19,63.8,40.0,32.3,948.3,11,6.5,290,0.0,0.0
KXHIGHTLV,2022-01-20,62.1,38.6,22.6,953.2,4,9.6,349,0.0,0.0
KXHIGHTLV,2022-01-21,62.1,38.7,22.3,946.9,39,20.3,4,0.004,0.0
KXHIGHTLV,2022-01-22,62.7,45.1,19.4,949.0,4,16.9,353,0.0,0.0
KXHIGHTLV,2022-01-23,63.2,45.1,16.2,951.2,0,13.7,342,0.0,0.0
KXHIGHTLV,2022-01-24,65.2,38.4,19.7,945.5,0,6.2,176,0.0,0.0
KXHIGHTLV,2022-01-25,61.2,41.9,17.4,944.1,0,20.0,343,0.0,0.0
KXHIGHTLV,2022-01-26,56.0,36.6,15.2,950.6,0,11.6,333,0.0,0.0
KXHIGHTLV,2022-01-27,62.9,32.4,11.4,952.8,0,19.7,47,0.0,0.0
KXHIGHTLV,2022-01-28,60.6,39.7,1.8,957.8,32,12.2,60,0.0,0.0
KXHIGHTLV,2022-01-29,62.5,41.2,3.0,950.8,70,6.1,256,0.0,0.0
KXHIGHTLV,2022-01-30,65.5,43.2,5.7,947.6,11,5.7,196,0.0,0.0
KXHIGHTLV,2022-01-31,59.1,39.5,9.4,945.4,80,4.9,322,0.0,0.0
KXHIGHTLV,2022-02-01,59.9,42.8,10.0,940.1,51,14.6,344,0.0,0.0
KXHIGHTLV,2022-02-02,49.8,35.7,1.6,946.2,0,17.9,344,0.0,0.0
KXHIGHTLV,2022-02-03,52.7,30.0,5.3,953.2,0,8.2,45,0.0,0.0
KXHIGHTLV,2022-02-04,56.0,35.9,11.6,959.0,0,7.1,12,0.0,0.0
KXHIGHTLV,2022-02-05,62.5,38.0,11.1,953.5,10,6.8,262,0.0,0.0
KXHIGHTLV,2022-02-06,66.0,41.3,11.3,953.5,0,13.8,28,0.0,0.0
KXHIGHTLV,2022-02-07,66.0,41.2,14.1,956.3,0,7.7,290,0.0,0.0
KXHIGHTLV,2022-02-08,75.5,44.0,15.2,952.9,4,8.3,355,0.0,0.0
KXHIGHTLV,2022-02-09,76.4,48.6,14.7,950.7,14,13.4,358,0.0,0.0
KXHIGHTLV,2022-02-10,74.4,52.6,26.9,950.9,0,14.2,341,0.0,0.0
KXHIGHTLV,2022-02-11,77.8,52.6,25.6,947.9,0,7.4,48,0.0,0.0
KXHIGHTLV,2022-02-12,72.9,47.2,14.7,952.4,0,9.0,13,0.0,0.0
KXHIGHTLV,2022-02-13,71.7,47.5,8.1,952.8,0,6.7,266,0.0,0.0
KXHIGHTLV,2022-02-14,69.6,43.0,9.1,945.4,54,12.3,118,0.0,0.0
KXHIGHTLV,2022-02-15,64.9,52.2,20.3,933.5,48,23.9,202,0.016,0.0
KXHIGHTLV,2022-02-16,65.2,48.4,17.4,939.4,6,23.1,323,0.0,0.0
KXHIGHTLV,2022-02-17,61.2,42.7,11.2,952.7,0,17.2,336,0.0,0.0
KXHIGHTLV,2022-02-18,67.1,38.7,10.3,952.4,6,7.2,296,0.0,0.0
KXHIGHTLV,2022-02-19,69.6,44.6,17.0,948.8,0,5.5,230,0.0,0.0
KXHIGHTLV,2022-02-20,74.6,46.5,14.7,940.7,43,17.3,216,0.0,0.0
KXHIGHTLV,2022-02-21,68.5,54.0,20.3,932.4,34,30.5,222,0.0,0.0
KXHIGHTLV,2022-02-22,59.6,38.8,20.6,935.4,29,29.2,217,0.012,0.0
KXHIGHTLV,2022-02-23,51.5,36.3,15.5,938.7,37,18.8,286,0.0,0.0
KXHIGHTLV,2022-02-24,51.8,28.8,8.5,950.0,0,9.1,3,0.0,0.0
KXHIGHTLV,2022-02-25,55.8,31.4,6.3,950.9,2,13.0,15,0.0,0.0
KXHIGHTLV,2022-02-26,56.3,34.1,4.2,955.9,20,13.8,17,0.0,0.0
KXHIGHTLV,2022-02-27,63.5,36.1,5.9,956.0,48,7.1,266,0.0,0.0
KXHIGHTLV,2022-02-28,75.4,42.0,7.1,952.2,6,10.7,84,0.0,0.0
KXHIGHTLV,2022-03-01,78.4,47.5,12.2,949.5,0,6.7,236,0.0,0.0
KXHIGHTLV,2022-03-02,78.6,51.0,13.9,946.9,32,5.8,286,0.0,0.0
KXHIGHTLV,2022-03-03,80.9,55.8,12.4,940.4,83,12.9,144,0.0,0.0
KXHIGHTLV,2022-03-04,66.1,54.1,25.6,936.3,55,18.3,200,0.004,0.0
KXHIGHTLV,2022-03-05,57.0,45.7,20.0,938.5,47,25.4,224,0.035,0.0
KXHIGHTLV,2022-03-06,61.6,38.3,21.5,945.6,47,16.2,287,0.0,0.0
KXHIGHTLV,2022-03-07,59.2,42.0,9.0,951.3,8,21.1,338,0.0,0.0
KXHIGHTLV,2022-03-08,61.2,40.3,10.5,948.3,14,11.6,11,0.0,0.0
KXHIGHTLV,2022-03-09,70.5,42.3,16.0,939.5,23,11.1,255,0.0,0.0
KXHIGHTLV,2022-03-10,58.3,43.5,12.9,942.7,30,23.9,337,0.012,0.0
KXHIGHTLV,2022-03-11,62.3,32.0,-0.9,954.7,0,11.4,4,0.0,0.0
KXHIGHTLV,2022-03-12,69.0,42.3,7.0,951.1,0,5.2,53,0.0,0.0
KXHIGHTLV,2022-03-13,72.9,44.5,11.5,943.3,31,9.4,270,0.0,0.0
KXHIGHTLV,2022-03-14,71.8,51.0,19.0,950.9,28,14.1,30,0.0,0.0
KXHIGHTLV,2022-03-15,78.5,50.7,19.8,947.9,53,11.2,3,0.0,0.0
KXHIGHTLV,2022-03-16,76.2,56.0,27.0,943.2,31,24.4,319,0.0,0.0
KXHIGHTLV,2022-03-17,70.2,47.8,14.9,947.6,33,16.4,22,0.0,0.0
KXHIGHTLV,2022-03-18,74.8,46.0,11.4,946.1,2,7.3,317,0.0,0.0
KXHIGHTLV,2022-03-19,79.8,52.2,15.3,940.9,87,21.5,225,0.0,0.0
KXHIGHTLV,2022-03-20,71.2,51.7,19.1,938.4,28,23.9,307,0.047,0.0
KXHIGHTLV,2022-03-21,72.1,45.5,12.3,947.4,65,13.9,343,0.0,0.0
KXHIGHTLV,2022-03-22,75.7,51.6,25.6,950.3,8,13.2,67,0.0,0.0
KXHIGHTLV,2022-03-23,75.8,54.4,18.6,951.4,0,12.7,73,0.0,0.0
KXHIGHTLV,2022-03-24,83.8,51.0,16.7,947.3,3,5.6,214,0.0,0.0
KXHIGHTLV,2022-03-25,89.7,61.9,21.7,945.4,24,10.0,94,0.0,0.0
KXHIGHTLV,2022-03-26,93.0,65.2,18.9,940.8,42,15.0,186,0.0,0.0
KXHIGHTLV,2022-03-27,89.2,65.0,14.5,937.2,46,20.0,179,0.0,0.0
KXHIGHTLV,2022-03-28,80.1,56.7,24.3,934.4,71,24.8,191,0.197,0.0
KXHIGHTLV,2022-03-29,74.4,49.8,40.8,936.7,50,16.9,312,0.114,0.0
KXHIGHTLV,2022-03-30,77.4,56.8,29.5,941.1,40,18.6,327,0.0,0.0
KXHIGHTLV,2022-03-31,78.4,56.3,32.4,937.0,80,13.6,125,0.0,0.0
KXHIGHTLV,2022-04-01,80.2,57.3,28.7,940.1,20,9.3,6,0.0,0.0
KXHIGHTLV,2022-04-02,86.1,61.9,27.9,941.6,37,12.8,156,0.0,0.0
