ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTMIN,2022-01-01,0.2,-16.0,-15.0,991.2,78,9.2,327,0.0,0.0
KXHIGHTMIN,2022-01-02,1.9,-20.8,-17.8,993.4,1,7.9,244,0.0,0.0
KXHIGHTMIN,2022-01-03,28.7,-0.8,3.1,987.9,56,10.4,174,0.0,0.0
KXHIGHTMIN,2022-01-04,34.5,8.4,18.2,973.0,100,10.6,125,0.0,0.0
KXHIGHTMIN,2022-01-05,26.4,4.1,6.6,978.1,100,13.8,307,0.134,0.937
KXHIGHTMIN,2022-01-06,3.3,-18.8,-11.5,993.4,70,9.1,311,0.024,0.165
KXHIGHTMIN,2022-01-07,8.9,-24.3,-16.3,991.7,49,15.2,175,0.012,0.083
KXHIGHTMIN,2022-01-08,29.0,8.7,12.1,979.6,100,15.0,189,0.0,0.0
KXHIGHTMIN,2022-01-09,10.0,-6.9,-8.1,999.3,29,14.4,284,0.008,0.055
KXHIGHTMIN,2022-01-10,0.6,-19.1,-16.9,1003.9,17,10.0,305,0.0,0.0
KXHIGHTMIN,2022-01-11,35.7,-4.6,10.9,986.4,43,11.7,213,0.0,0.0
KXHIGHTMIN,2022-01-12,36.5,24.4,24.9,983.3,75,8.7,331,0.008,0.055
KXHIGHTMIN,2022-01-13,34.1,18.1,22.9,985.2,69,9.6,315,0.02,0.11
KXHIGHTMIN,2022-01-14,24.8,10.8,11.2,993.7,100,10.9,59,0.283,1.957
KXHIGHTMIN,2022-01-15,12.3,-6.2,-4.3,999.7,18,9.3,89,0.0,0.0
KXHIGHTMIN,2022-01-16,27.1,2.8,9.9,981.2,98,8.7,219,0.012,0.083
KXHIGHTMIN,2022-01-17,30.3,9.5,18.5,980.8,93,8.2,254,0.008,0.055
KXHIGHTMIN,2022-01-18,40.5,13.0,22.2,973.2,55,14.7,226,0.008,0.028
KXHIGHTMIN,2022-01-19,10.3,-4.8,-5.4,994.7,24,14.6,308,0.0,0.0
KXHIGHTMIN,2022-01-20,-0.5,-18.8,-16.8,1006.3,0,8.9,277,0.0,0.0
KXHIGHTMIN,2022-01-21,20.0,-17.8,-7.6,994.6,51,14.7,178,0.035,0.248
KXHIGHTMIN,2022-01-22,26.6,6.8,5.5,989.2,81,12.1,295,0.091,0.634
KXHIGHTMIN,2022-01-23,6.5,-13.7,-6.8,986.2,66,8.6,320,0.035,0.248
KXHIGHTMIN,2022-01-24,9.9,-1.9,-0.7,980.6,36,12.0,338,0.004,0.028
KXHIGHTMIN,2022-01-25,0.0,-19.6,-16.3,996.6,0,9.2,302,0.0,0.0
KXHIGHTMIN,2022-01-26,25.2,-24.0,-7.4,989.3,66,15.9,197,0.0,0.0
