ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTNOLA,2022-01-01,80.8,72.8,71.2,1007.8,42,25.0,194,0.102,0.0
KXHIGHTNOLA,2022-01-02,73.5,37.7,57.3,1011.6,87,25.6,287,0.248,0.0
KXHIGHTNOLA,2022-01-03,49.3,37.1,31.4,1025.6,29,22.1,345,0.0,0.0
KXHIGHTNOLA,2022-01-04,57.1,39.4,39.5,1022.0,25,10.1,90,0.0,0.0
KXHIGHTNOLA,2022-01-05,66.3,46.7,51.4,1014.3,69,7.5,128,0.0,0.0
KXHIGHTNOLA,2022-01-06,74.6,47.8,57.0,1012.2,24,20.0,269,0.039,0.0
KXHIGHTNOLA,2022-01-07,51.7,41.5,38.2,1021.0,6,14.7,54,0.0,0.0
KXHIGHTNOLA,2022-01-08,70.0,50.0,55.5,1021.1,89,16.9,110,0.063,0.0
KXHIGHTNOLA,2022-01-09,79.1,64.1,66.2,1019.8,93,16.1,167,0.031,0.0
KXHIGHTNOLA,2022-01-10,63.5,48.5,40.5,1026.6,77,19.1,15,0.012,0.0
KXHIGHTNOLA,2022-01-11,54.5,44.0,30.9,1029.5,32,16.4,34,0.0,0.0
KXHIGHTNOLA,2022-01-12,53.8,44.6,37.4,1024.1,70,9.8,32,0.0,0.0
KXHIGHTNOLA,2022-01-13,64.2,43.6,42.7,1017.5,10,10.8,271,0.0,0.0
KXHIGHTNOLA,2022-01-14,65.0,46.4,48.3,1013.6,27,7.9,103,0.0,0.0
KXHIGHTNOLA,2022-01-15,65.8,42.8,52.3,1008.6,90,24.3,262,0.315,0.0
KXHIGHTNOLA,2022-01-16,49.5,36.2,31.1,1011.1,60,25.1,294,0.0,0.0
KXHIGHTNOLA,2022-01-17,54.9,41.1,37.1,1017.3,0,12.3,296,0.0,0.0
KXHIGHTNOLA,2022-01-18,63.0,38.1,42.7,1019.0,29,9.2,132,0.0,0.0
KXHIGHTNOLA,2022-01-19,72.1,50.4,54.6,1015.6,76,13.6,161,0.004,0.0
KXHIGHTNOLA,2022-01-20,62.9,41.2,48.3,1017.3,92,19.0,359,0.205,0.0
KXHIGHTNOLA,2022-01-21,41.9,36.4,28.9,1022.8,100,16.8,15,0.24,0.0
KXHIGHTNOLA,2022-01-22,45.2,32.7,25.3,1025.5,12,15.0,13,0.0,0.0
KXHIGHTNOLA,2022-01-23,48.5,31.4,28.8,1021.2,10,8.4,337,0.0,0.0
KXHIGHTNOLA,2022-01-24,57.1,36.4,38.3,1014.4,79,9.8,225,0.449,0.0
KXHIGHTNOLA,2022-01-25,52.4,47.9,47.9,1012.4,81,13.8,38,0.606,0.0
KXHIGHTNOLA,2022-01-26,51.8,41.5,35.9,1021.1,39,15.0,16,0.0,0.0
KXHIGHTNOLA,2022-01-27,55.4,39.1,34.9,1021.3,22,10.1,27,0.0,0.0
KXHIGHTNOLA,2022-01-28,53.0,43.7,32.0,1021.9,58,17.3,331,0.0,0.0
KXHIGHTNOLA,2022-01-29,45.7,36.6,23.3,1025.6,0,13.9,341,0.0,0.0
KXHIGHTNOLA,2022-01-30,63.7,38.5,37.0,1021.2,4,12.6,231,0.0,0.0
KXHIGHTNOLA,2022-01-31,66.2,42.3,46.0,1018.2,74,11.8,147,0.008,0.0
KXHIGHTNOLA,2022-02-01,68.0,55.8,56.6,1013.3,100,18.2,129,0.512,0.0
KXHIGHTNOLA,2022-02-02,67.1,61.2,63.3,1010.7,99,15.0,155,1.039,0.0
