ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTOKC,2022-01-01,58.4,13.1,26.1,965.9,85,20.7,335,0.268,0.22
KXHIGHTOKC,2022-01-02,30.6,13.9,2.9,983.2,26,20.7,332,0.0,0.0
KXHIGHTOKC,2022-01-03,50.7,23.2,13.5,982.4,0,14.2,194,0.0,0.0
KXHIGHTOKC,2022-01-04,54.4,35.4,22.3,970.0,60,21.3,191,0.0,0.0
KXHIGHTOKC,2022-01-05,42.6,29.8,20.0,973.4,60,15.3,23,0.0,0.0
KXHIGHTOKC,2022-01-06,28.7,16.5,2.9,979.8,84,19.7,7,0.0,0.0
KXHIGHTOKC,2022-01-07,37.2,12.5,9.6,977.8,54,17.8,150,0.0,0.0
KXHIGHTOKC,2022-01-08,57.6,33.2,45.1,968.0,78,21.1,178,0.004,0.0
KXHIGHTOKC,2022-01-09,51.0,30.6,24.2,984.8,81,19.9,360,0.004,0.0
KXHIGHTOKC,2022-01-10,50.5,22.2,11.7,992.7,0,7.3,263,0.0,0.0
KXHIGHTOKC,2022-01-11,55.4,33.1,19.0,985.7,11,16.0,201,0.0,0.0
KXHIGHTOKC,2022-01-12,60.6,36.3,28.6,979.0,36,14.1,235,0.0,0.0
KXHIGHTOKC,2022-01-13,64.0,40.2,27.3,976.2,42,14.0,326,0.0,0.0
KXHIGHTOKC,2022-01-14,63.6,38.9,33.3,968.9,90,27.5,139,0.0,0.0
KXHIGHTOKC,2022-01-15,37.1,23.2,16.0,978.1,87,27.1,343,0.028,0.138
KXHIGHTOKC,2022-01-16,47.5,21.9,15.1,975.5,17,11.7,304,0.0,0.0
KXHIGHTOKC,2022-01-17,56.8,27.2,22.6,974.3,8,11.4,214,0.0,0.0
KXHIGHTOKC,2022-01-18,65.3,41.4,28.7,965.8,63,14.3,171,0.0,0.0
KXHIGHTOKC,2022-01-19,44.6,22.2,22.8,974.3,65,21.7,6,0.004,0.0
KXHIGHTOKC,2022-01-20,24.3,16.1,-5.3,990.5,73,18.8,10,0.0,0.0
KXHIGHTOKC,2022-01-21,37.0,12.8,-2.4,985.8,10,7.5,130,0.0,0.0
KXHIGHTOKC,2022-01-22,47.1,22.5,6.8,985.0,18,8.9,225,0.0,0.0
KXHIGHTOKC,2022-01-23,54.2,32.5,21.8,976.9,1,11.5,260,0.0,0.0
KXHIGHTOKC,2022-01-24,61.6,34.6,25.4,968.1,3,15.0,292,0.0,0.0
KXHIGHTOKC,2022-01-25,45.4,27.1,16.2,979.3,64,15.0,37,0.0,0.0
KXHIGHTOKC,2022-01-26,34.2,22.8,4.0,985.0,95,13.0,41,0.063,0.441
KXHIGHTOKC,2022-01-27,43.7,28.3,22.8,981.8,58,10.1,288,0.0,0.0
KXHIGHTOKC,2022-01-28,47.6,27.0,18.9,986.7,7,11.9,321,0.0,0.0
KXHIGHTOKC,2022-01-29,61.1,29.1,12.6,977.9,0,13.8,236,0.0,0.0
KXHIGHTOKC,2022-01-30,62.6,30.6,18.8,974.1,0,7.9,17,0.0,0.0
KXHIGHTOKC,2022-01-31,69.0,39.0,32.5,969.3,12,17.3,183,0.0,0.0
KXHIGHTOKC,2022-02-01,63.2,49.4,48.4,966.6,91,17.8,172,0.059,0.0
KXHIGHTOKC,2022-02-02,44.2,19.1,23.3,974.4,100,19.0,11,0.409,1.929
KXHIGHTOKC,2022-02-03,18.3,12.3,10.0,982.4,100,19.5,1,0.374,2.618
KXHIGHTOKC,2022-02-04,22.5,8.0,9.3,989.8,28,13.9,325,0.024,0.165
