ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTPHX,2022-01-01,54.5,38.8,33.2,976.2,13,17.1,291,0.024,0.0
KXHIGHTPHX,2022-01-02,56.2,33.4,27.9,985.6,6,12.4,45,0.0,0.0
KXHIGHTPHX,2022-01-03,61.0,36.0,31.4,981.3,2,8.1,105,0.0,0.0
KXHIGHTPHX,2022-01-04,60.4,35.6,36.2,981.1,12,6.0,113,0.0,0.0
KXHIGHTPHX,2022-01-05,62.3,35.3,36.6,978.6,0,5.3,126,0.0,0.0
KXHIGHTPHX,2022-01-06,63.0,37.8,38.8,975.7,38,6.0,108,0.0,0.0
KXHIGHTPHX,2022-01-07,66.2,39.5,41.4,972.8,12,6.5,120,0.0,0.0
KXHIGHTPHX,2022-01-08,65.8,43.4,42.2,975.1,57,6.6,104,0.0,0.0
KXHIGHTPHX,2022-01-09,71.8,42.2,36.5,984.1,14,13.6,61,0.0,0.0
KXHIGHTPHX,2022-01-10,70.9,48.1,31.4,986.8,21,18.2,73,0.0,0.0
KXHIGHTPHX,2022-01-11,70.2,49.0,28.6,985.3,73,13.6,66,0.0,0.0
KXHIGHTPHX,2022-01-12,71.2,43.3,22.3,984.6,91,9.9,75,0.0,0.0
KXHIGHTPHX,2022-01-13,70.7,41.0,27.3,982.0,95,7.8,118,0.0,0.0
KXHIGHTPHX,2022-01-14,72.2,46.0,32.9,979.0,62,5.7,125,0.0,0.0
KXHIGHTPHX,2022-01-15,71.7,46.0,22.0,982.1,95,11.1,69,0.0,0.0
KXHIGHTPHX,2022-01-16,72.1,43.0,19.9,978.6,91,11.6,84,0.0,0.0
KXHIGHTPHX,2022-01-17,69.5,44.0,26.0,977.3,53,6.9,113,0.0,0.0
KXHIGHTPHX,2022-01-18,68.3,47.2,35.5,976.2,27,8.1,103,0.02,0.0
KXHIGHTPHX,2022-01-19,68.0,44.9,40.8,978.3,14,5.4,111,0.0,0.0
KXHIGHTPHX,2022-01-20,69.7,43.2,34.0,981.3,0,7.0,49,0.0,0.0
KXHIGHTPHX,2022-01-21,68.0,42.3,29.2,976.0,17,9.1,98,0.0,0.0
KXHIGHTPHX,2022-01-22,67.3,49.1,34.2,974.6,70,16.6,66,0.051,0.0
KXHIGHTPHX,2022-01-23,68.4,47.0,37.3,978.6,7,10.8,57,0.0,0.0
KXHIGHTPHX,2022-01-24,66.1,41.4,36.3,976.3,0,5.7,153,0.0,0.0
KXHIGHTPHX,2022-01-25,67.3,40.0,32.3,974.4,17,9.0,173,0.0,0.0
KXHIGHTPHX,2022-01-26,66.3,39.0,24.7,978.9,3,13.9,341,0.0,0.0
KXHIGHTPHX,2022-01-27,66.7,36.8,23.4,981.1,10,10.9,52,0.0,0.0
KXHIGHTPHX,2022-01-28,70.5,48.4,13.6,985.8,54,20.3,67,0.0,0.0
KXHIGHTPHX,2022-01-29,73.2,47.8,17.6,980.0,53,13.7,70,0.0,0.0
KXHIGHTPHX,2022-01-30,71.8,50.1,24.9,977.5,28,8.2,257,0.012,0.0
KXHIGHTPHX,2022-01-31,70.5,41.8,20.4,977.2,51,7.3,186,0.0,0.0
KXHIGHTPHX,2022-02-01,66.9,44.2,20.5,970.2,92,6.8,115,0.0,0.0
KXHIGHTPHX,2022-02-02,60.3,45.3,8.6,969.1,19,14.7,270,0.0,0.0
KXHIGHTPHX,2022-02-03,56.1,33.8,1.2,981.3,0,10.0,15,0.0,0.0
KXHIGHTPHX,2022-02-04,64.3,38.1,3.6,988.2,0,14.8,70,0.0,0.0
KXHIGHTPHX,2022-02-05,66.7,39.8,8.3,983.0,5,11.5,67,0.0,0.0
KXHIGHTPHX,2022-02-06,71.5,37.6,11.9,981.0,1,17.7,34,0.0,0.0
KXHIGHTPHX,2022-02-07,70.8,49.6,14.3,985.8,0,18.9,60,0.0,0.0
KXHIGHTPHX,2022-02-08,74.3,43.8,16.6,981.3,0,8.7,54,0.0,0.0
KXHIGHTPHX,2022-02-09,77.6,46.0,14.8,977.5,0,9.6,42,0.0,0.0
KXHIGHTPHX,2022-02-10,80.4,51.6,19.8,977.0,11,11.0,44,0.0,0.0
