ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTSEA,2022-01-01,35.1,17.8,20.8,1013.6,94,11.0,158,0.0,0.0
KXHIGHTSEA,2022-01-02,39.7,29.8,28.3,1000.2,100,14.6,149,1.232,6.091
KXHIGHTSEA,2022-01-03,38.8,34.2,33.2,991.0,77,18.1,168,0.949,3.665
KXHIGHTSEA,2022-01-04,41.5,34.3,34.0,1004.8,75,19.0,181,0.098,0.303
KXHIGHTSEA,2022-01-05,39.8,34.3,35.6,1010.9,100,6.5,47,0.299,0.634
KXHIGHTSEA,2022-01-06,49.0,34.9,42.0,995.4,100,23.6,176,1.795,0.496
KXHIGHTSEA,2022-01-07,47.7,38.6,39.7,990.4,89,25.3,200,1.138,0.0
KXHIGHTSEA,2022-01-08,44.4,33.1,34.6,1012.7,77,12.9,178,0.004,0.0
KXHIGHTSEA,2022-01-09,47.8,30.6,31.1,1016.7,62,7.9,93,0.0,0.0
KXHIGHTSEA,2022-01-10,43.5,33.3,34.0,1017.7,100,13.8,146,0.201,0.0
KXHIGHTSEA,2022-01-11,51.1,42.8,45.1,1013.7,100,14.7,168,1.126,0.0
KXHIGHTSEA,2022-01-12,55.1,44.3,49.5,1010.9,99,14.7,183,0.236,0.0
KXHIGHTSEA,2022-01-13,54.0,40.5,44.2,1012.8,63,8.5,142,0.228,0.0
KXHIGHTSEA,2022-01-14,48.4,37.8,40.5,1022.1,96,7.3,141,0.0,0.0
KXHIGHTSEA,2022-01-15,46.0,37.9,37.8,1018.9,100,5.7,21,0.0,0.0
KXHIGHTSEA,2022-01-16,44.5,37.0,39.4,1014.7,100,5.6,15,0.0,0.0
KXHIGHTSEA,2022-01-17,49.3,34.6,38.2,1008.2,87,13.2,169,0.091,0.0
KXHIGHTSEA,2022-01-18,48.0,44.9,43.6,1010.2,98,13.8,188,0.031,0.0
KXHIGHTSEA,2022-01-19,50.3,39.6,43.2,1016.3,100,9.6,163,0.087,0.0
KXHIGHTSEA,2022-01-20,53.2,42.9,46.6,1015.2,88,18.7,186,0.409,0.0
KXHIGHTSEA,2022-01-21,47.0,37.9,40.2,1027.1,82,5.1,354,0.0,0.0
KXHIGHTSEA,2022-01-22,45.7,37.3,36.8,1024.9,78,10.2,26,0.0,0.0
KXHIGHTSEA,2022-01-23,45.8,33.4,34.5,1019.7,98,5.4,26,0.0,0.0
KXHIGHTSEA,2022-01-24,44.8,30.7,32.6,1017.0,80,8.1,34,0.0,0.0
KXHIGHTSEA,2022-01-25,44.7,28.7,31.5,1017.3,87,5.4,19,0.0,0.0
KXHIGHTSEA,2022-01-26,45.3,30.0,33.1,1016.4,60,6.9,26,0.0,0.0
KXHIGHTSEA,2022-01-27,49.9,29.6,28.9,1019.4,43,8.3,70,0.0,0.0
KXHIGHTSEA,2022-01-28,47.4,29.5,26.7,1018.0,80,9.5,155,0.0,0.0
KXHIGHTSEA,2022-01-29,45.8,29.0,30.0,1014.6,85,7.0,164,0.0,0.0
KXHIGHTSEA,2022-01-30,51.0,40.0,37.1,1007.6,87,23.2,191,0.24,0.0
KXHIGHTSEA,2022-01-31,44.7,34.6,35.4,1014.1,45,9.6,186,0.071,0.083
KXHIGHTSEA,2022-02-01,42.7,35.2,34.3,1018.5,81,8.1,145,0.024,0.0
KXHIGHTSEA,2022-02-02,42.1,33.4,33.2,1018.6,97,8.5,155,0.012,0.0
KXHIGHTSEA,2022-02-03,46.4,41.5,41.6,1019.6,100,11.9,173,0.075,0.0
KXHIGHTSEA,2022-02-04,47.9,40.3,40.3,1019.5,100,23.2,185,0.031,0.0
KXHIGHTSEA,2022-02-05,47.6,37.0,40.6,1025.7,95,9.5,196,0.008,0.0
KXHIGHTSEA,2022-02-06,47.4,33.3,36.7,1020.0,63,10.1,78,0.0,0.0
KXHIGHTSEA,2022-02-07,51.3,40.5,40.9,1019.6,94,23.3,189,0.047,0.0
KXHIGHTSEA,2022-02-08,46.5,39.6,40.6,1027.0,98,8.4,180,0.0,0.0
KXHIGHTSEA,2022-02-09,49.8,38.4,40.1,1026.6,93,5.5,65,0.0,0.0
KXHIGHTSEA,2022-02-10,48.6,37.3,40.2,1023.5,74,7.0,356,0.0,0.0
KXHIGHTSEA,2022-02-11,48.3,39.5,39.6,1021.9,84,14.1,5,0.0,0.0
KXHIGHTSEA,2022-02-12,50.8,36.6,36.7,1017.6,29,9.6,21,0.0,0.0
KXHIGHTSEA,2022-02-13,53.8,30.8,34.0,1012.4,46,11.3,151,0.0,0.0
KXHIGHTSEA,2022-02-14,47.2,38.5,41.0,1004.9,77,13.6,195,0.173,0.0
KXHIGHTSEA,2022-02-15,47.7,40.6,40.3,1013.3,98,7.1,200,0.0,0.0
