ticker,date,temperature_2m_max,temperature_2m_min,dewpoint_2m_mean,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max,wind_direction_10m_dominant,precipitation_sum,snowfall_sum
KXHIGHTSFO,2022-01-01,48.7,38.6,37.1,1020.2,24,11.1,12,0.0,0.0
KXHIGHTSFO,2022-01-02,49.8,37.9,39.3,1022.8,42,9.8,42,0.0,0.0
KXHIGHTSFO,2022-01-03,53.9,44.9,46.9,1020.8,86,19.7,168,0.059,0.0
KXHIGHTSFO,2022-01-04,54.9,49.3,51.6,1024.2,93,14.5,236,0.169,0.0
KXHIGHTSFO,2022-01-05,55.9,50.1,51.6,1023.6,100,8.1,229,0.0,0.0
KXHIGHTSFO,2022-01-06,52.8,48.6,50.0,1017.3,94,7.7,303,0.0,0.0
KXHIGHTSFO,2022-01-07,54.1,46.5,48.8,1013.3,64,15.0,213,0.055,0.0
KXHIGHTSFO,2022-01-08,53.6,44.0,45.7,1018.5,55,11.0,46,0.0,0.0
KXHIGHTSFO,2022-01-09,55.1,44.2,44.6,1023.2,43,15.2,46,0.0,0.0
KXHIGHTSFO,2022-01-10,59.0,45.3,45.4,1027.7,46,10.9,28,0.0,0.0
KXHIGHTSFO,2022-01-11,58.9,44.5,43.7,1026.3,73,10.1,17,0.0,0.0
KXHIGHTSFO,2022-01-12,55.6,44.2,46.2,1023.1,61,13.6,19,0.0,0.0
KXHIGHTSFO,2022-01-13,57.2,46.8,48.8,1022.8,96,7.8,340,0.0,0.0
KXHIGHTSFO,2022-01-14,55.2,44.1,47.0,1020.9,74,11.1,353,0.0,0.0
KXHIGHTSFO,2022-01-15,60.1,49.0,43.6,1020.6,100,13.3,45,0.0,0.0
KXHIGHTSFO,2022-01-16,56.7,48.4,47.3,1018.1,56,10.3,18,0.0,0.0
KXHIGHTSFO,2022-01-17,57.5,45.2,45.2,1016.2,42,9.5,15,0.0,0.0
KXHIGHTSFO,2022-01-18,52.8,45.8,47.0,1018.6,42,11.5,275,0.0,0.0
KXHIGHTSFO,2022-01-19,51.8,46.0,47.5,1022.1,91,10.1,200,0.0,0.0
KXHIGHTSFO,2022-01-20,61.1,45.8,47.3,1024.3,48,8.1,355,0.0,0.0
KXHIGHTSFO,2022-01-21,66.0,45.3,44.1,1020.3,91,23.2,12,0.0,0.0
KXHIGHTSFO,2022-01-22,65.1,47.8,38.7,1018.0,53,21.4,42,0.0,0.0
KXHIGHTSFO,2022-01-23,59.4,44.2,43.7,1022.3,0,9.3,26,0.0,0.0
KXHIGHTSFO,2022-01-24,53.1,46.0,46.1,1019.6,1,10.5,235,0.0,0.0
KXHIGHTSFO,2022-01-25,54.0,45.5,47.0,1016.3,50,10.3,256,0.0,0.0
KXHIGHTSFO,2022-01-26,58.3,44.1,45.8,1018.8,27,10.6,47,0.0,0.0
KXHIGHTSFO,2022-01-27,60.0,43.2,41.4,1021.6,6,13.0,45,0.0,0.0
KXHIGHTSFO,2022-01-28,60.9,44.2,43.5,1023.4,85,10.9,40,0.0,0.0
KXHIGHTSFO,2022-01-29,59.9,45.5,44.0,1021.4,39,9.9,6,0.0,0.0
KXHIGHTSFO,2022-01-30,51.7,44.6,46.1,1021.7,48,9.3,249,0.0,0.0
KXHIGHTSFO,2022-01-31,55.3,46.0,47.3,1020.2,85,10.3,300,0.0,0.0
KXHIGHTSFO,2022-02-01,59.5,41.1,33.8,1016.0,2,19.9,351,0.0,0.0
KXHIGHTSFO,2022-02-02,60.1,47.8,32.7,1019.6,6,23.4,3,0.0,0.0
KXHIGHTSFO,2022-02-03,55.4,45.4,43.4,1022.5,54,11.1,296,0.0,0.0
KXHIGHTSFO,2022-02-04,60.2,44.4,42.2,1027.4,10,10.1,23,0.0,0.0
KXHIGHTSFO,2022-02-05,57.7,44.6,45.2,1024.6,50,9.8,300,0.0,0.0
KXHIGHTSFO,2022-02-06,62.8,42.5,44.8,1023.1,10,10.8,336,0.0,0.0
KXHIGHTSFO,2022-02-07,64.8,44.0,46.1,1024.7,10,10.5,17,0.0,0.0
KXHIGHTSFO,2022-02-08,62.7,45.9,47.8,1023.3,20,10.3,301,0.0,0.0
KXHIGHTSFO,2022-02-09,68.5,46.2,43.0,1020.6,24,12.4,36,0.0,0.0
KXHIGHTSFO,2022-02-10,70.6,51.0,45.7,1019.1,0,12.5,19,0.0,0.0
KXHIGHTSFO,2022-02-11,71.7,50.2,49.6,1016.9,15,10.1,6,0.0,0.0
KXHIGHTSFO,2022-02-12,69.8,50.6,50.5,1018.1,45,10.6,33,0.0,0.0
KXHIGHTSFO,2022-02-13,68.1,46.2,50.7,1021.0,33,13.0,317,0.0,0.0
KXHIGHTSFO,2022-02-14,54.5,50.1,47.9,1018.3,84,21.0,267,0.0,0.0
KXHIGHTSFO,2022-02-15,58.7,45.4,39.2,1013.5,0,24.2,311,0.0,0.0
KXHIGHTSFO,2022-02-16,64.7,47.2,42.1,1015.6,0,16.1,318,0.0,0.0
KXHIGHTSFO,2022-02-17,64.0,45.8,39.8,1022.9,1,14.1,5,0.0,0.0
KXHIGHTSFO,2022-02-18,63.3,49.5,46.2,1023.1,34,9.1,298,0.0,0.0
KXHIGHTSFO,2022-02-19,64.7,45.0,45.8,1018.6,8,13.0,338,0.0,0.0
KXHIGHTSFO,2022-02-20,54.8,48.6,46.5,1013.2,68,22.4,260,0.0,0.0
KXHIGHTSFO,2022-02-21,54.0,44.3,38.0,1013.6,15,23.8,301,0.071,0.0
KXHIGHTSFO,2022-02-22,50.4,41.9,36.0,1012.8,34,20.5,297,0.083,0.0
KXHIGHTSFO,2022-02-23,52.5,41.4,30.8,1017.6,1,17.5,330,0.0,0.0
KXHIGHTSFO,2022-02-24,50.2,40.1,38.5,1024.0,34,14.1,265,0.0,0.0
KXHIGHTSFO,2022-02-25,55.7,39.9,39.8,1023.8,9,14.0,298,0.0,0.0
KXHIGHTSFO,2022-02-26,57.3,41.2,40.7,1025.7,87,6.9,25,0.0,0.0
KXHIGHTSFO,2022-02-27,63.2,45.1,42.9,1026.8,13,11.9,336,0.0,0.0
KXHIGHTSFO,2022-02-28,63.0,46.1,45.4,1023.7,14,14.0,292,0.0,0.0
KXHIGHTSFO,2022-03-01,55.8,47.8,49.0,1021.1,94,11.2,242,0.0,0.0
KXHIGHTSFO,2022-03-02,55.3,50.4,51.1,1017.2,100,16.7,254,0.0,0.0
KXHIGHTSFO,2022-03-03,55.4,49.6,49.1,1011.4,100,10.0,264,0.161,0.0
KXHIGHTSFO,2022-03-04,55.2,46.3,44.7,1013.1,54,30.5,284,0.087,0.0
KXHIGHTSFO,2022-03-05,54.1,44.1,38.7,1017.6,15,20.2,297,0.0,0.0
