date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHAUS,77.2,,,,77.0
2022-01-02,KXHIGHAUS,46.7,,,,42.8
2022-01-03,KXHIGHAUS,56.8,,,,50.1
2022-01-04,KXHIGHAUS,66.2,,,,58.3
2022-01-05,KXHIGHAUS,73.5,,,,64.1
2022-01-06,KXHIGHAUS,54.8,,,,52.9
2022-01-07,KXHIGHAUS,40.1,,,,46.7
2022-01-08,KXHIGHAUS,61.4,,,,63.8
2022-01-09,KXHIGHAUS,62.4,,,,59.2
2022-01-10,KXHIGHAUS,57.8,,,,50.8
2022-01-11,KXHIGHAUS,50.4,,,,50.4
2022-01-12,KXHIGHAUS,64.3,,,,58.3
2022-01-13,KXHIGHAUS,76.0,,,,66.6
2022-01-14,KXHIGHAUS,77.7,,,,69.3
2022-01-15,KXHIGHAUS,61.5,,,,61.4
2022-01-16,KXHIGHAUS,63.4,,,,55.7
2022-01-17,KXHIGHAUS,68.5,,,,60.9
2022-01-18,KXHIGHAUS,73.9,,,,66.5
2022-01-19,KXHIGHAUS,78.0,,,,70.5
2022-01-20,KXHIGHAUS,46.0,,,,46.7
2022-01-21,KXHIGHAUS,48.0,,,,42.9
2022-01-22,KXHIGHAUS,55.0,,,,48.2
2022-01-23,KXHIGHAUS,58.4,,,,55.1
2022-01-24,KXHIGHAUS,53.4,,,,52.6
2022-01-25,KXHIGHAUS,52.6,,,,52.6
2022-01-26,KXHIGHAUS,53.8,,,,51.1
2022-01-27,KXHIGHAUS,59.7,,,,56.6
2022-01-28,KXHIGHAUS,59.3,,,,53.1
2022-01-29,KXHIGHAUS,67.4,,,,60.8
2022-01-30,KXHIGHAUS,69.3,,,,62.2
2022-01-31,KXHIGHAUS,57.7,,,,59.8
2022-02-01,KXHIGHAUS,64.1,,,,66.4
2022-02-02,KXHIGHAUS,57.6,,,,60.6
2022-02-03,KXHIGHAUS,37.7,,,,35.4
2022-02-04,KXHIGHAUS,40.3,,,,36.3
2022-02-05,KXHIGHAUS,50.1,,,,46.4
2022-02-06,KXHIGHAUS,57.5,,,,54.3
2022-02-07,KXHIGHAUS,59.6,,,,55.9
2022-02-08,KXHIGHAUS,66.2,,,,61.7
2022-02-09,KXHIGHAUS,74.0,,,,66.1
2022-02-10,KXHIGHAUS,73.3,,,,67.6
2022-02-11,KXHIGHAUS,75.6,,,,69.2
2022-02-12,KXHIGHAUS,57.3,,,,60.3
2022-02-13,KXHIGHAUS,65.5,,,,61.4
2022-02-14,KXHIGHAUS,69.4,,,,63.5
2022-02-15,KXHIGHAUS,73.7,,,,67.5
2022-02-16,KXHIGHAUS,73.2,,,,70.2
2022-02-17,KXHIGHAUS,71.1,,,,69.8
2022-02-18,KXHIGHAUS,58.2,,,,52.3
2022-02-19,KXHIGHAUS,65.1,,,,60.8
2022-02-20,KXHIGHAUS,69.6,,,,66.4
2022-02-21,KXHIGHAUS,84.6,,,,76.4
2022-02-22,KXHIGHAUS,85.0,,,,75.0
2022-02-23,KXHIGHAUS,49.9,,,,47.5
2022-02-24,KXHIGHAUS,35.5,,,,36.5
2022-02-25,KXHIGHAUS,37.3,,,,36.9
2022-02-26,KXHIGHAUS,40.1,,,,40.7
2022-02-27,KXHIGHAUS,60.4,,,,54.6
2022-02-28,KXHIGHAUS,66.8,,,,62.5
2022-03-01,KXHIGHAUS,72.5,,,,67.0
2022-03-02,KXHIGHAUS,74.6,,,,68.8
2022-03-03,KXHIGHAUS,78.6,,,,72.0
2022-03-04,KXHIGHAUS,76.6,,,,72.5
2022-03-05,KXHIGHAUS,80.1,,,,73.8
2022-03-06,KXHIGHAUS,79.4,,,,76.0
2022-03-07,KXHIGHAUS,71.9,,,,71.1
2022-03-08,KXHIGHAUS,52.9,,,,47.7
2022-03-09,KXHIGHAUS,61.7,,,,56.4
2022-03-10,KXHIGHAUS,73.2,,,,67.1
2022-03-11,KXHIGHAUS,63.3,,,,61.3
2022-03-12,KXHIGHAUS,57.5,,,,53.7
2022-03-13,KXHIGHAUS,67.0,,,,61.3
2022-03-14,KXHIGHAUS,81.3,,,,72.8
2022-03-15,KXHIGHAUS,76.8,,,,69.4
2022-03-16,KXHIGHAUS,82.4,,,,75.7
2022-03-17,KXHIGHAUS,69.3,,,,72.1
2022-03-18,KXHIGHAUS,73.8,,,,66.6
2022-03-19,KXHIGHAUS,79.0,,,,73.0
2022-03-20,KXHIGHAUS,78.5,,,,73.0
2022-03-21,KXHIGHAUS,77.7,,,,73.2
2022-03-22,KXHIGHAUS,67.6,,,,67.8
2022-03-23,KXHIGHAUS,70.1,,,,64.9
2022-03-24,KXHIGHAUS,75.9,,,,70.8
2022-03-25,KXHIGHAUS,86.1,,,,79.7
2022-03-26,KXHIGHAUS,90.5,,,,82.8
2022-03-27,KXHIGHAUS,87.3,,,,81.3
2022-03-28,KXHIGHAUS,85.5,,,,79.5
2022-03-29,KXHIGHAUS,79.4,,,,77.6
2022-03-30,KXHIGHAUS,80.6,,,,75.6
2022-03-31,KXHIGHAUS,76.1,,,,71.4
2022-04-01,KXHIGHAUS,81.5,,,,77.1
