date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHCHI,37.1,,,,37.1
2022-01-02,KXHIGHCHI,27.6,,,,28.7
2022-01-03,KXHIGHCHI,21.2,,,,27.1
2022-01-04,KXHIGHCHI,31.1,,,,35.2
2022-01-05,KXHIGHCHI,30.8,,,,35.1
2022-01-06,KXHIGHCHI,13.9,,,,18.0
2022-01-07,KXHIGHCHI,14.0,,,,15.7
2022-01-08,KXHIGHCHI,32.0,,,,34.2
2022-01-09,KXHIGHCHI,32.4,,,,34.8
2022-01-10,KXHIGHCHI,15.8,,,,17.2
2022-01-11,KXHIGHCHI,32.2,,,,37.6
2022-01-12,KXHIGHCHI,39.2,,,,38.0
2022-01-13,KXHIGHCHI,36.5,,,,36.5
2022-01-14,KXHIGHCHI,33.8,,,,35.7
2022-01-15,KXHIGHCHI,24.3,,,,26.7
2022-01-16,KXHIGHCHI,25.4,,,,26.7
2022-01-17,KXHIGHCHI,27.2,,,,28.1
2022-01-18,KXHIGHCHI,39.7,,,,40.3
2022-01-19,KXHIGHCHI,38.9,,,,40.3
2022-01-20,KXHIGHCHI,17.6,,,,18.3
2022-01-21,KXHIGHCHI,23.1,,,,24.0
2022-01-22,KXHIGHCHI,30.3,,,,30.5
2022-01-23,KXHIGHCHI,22.3,,,,25.9
2022-01-24,KXHIGHCHI,25.0,,,,24.9
2022-01-25,KXHIGHCHI,12.3,,,,18.9
2022-01-26,KXHIGHCHI,9.2,,,,17.5
2022-01-27,KXHIGHCHI,29.1,,,,32.2
2022-01-28,KXHIGHCHI,26.7,,,,28.9
2022-01-29,KXHIGHCHI,19.8,,,,25.3
2022-01-30,KXHIGHCHI,28.2,,,,29.5
2022-01-31,KXHIGHCHI,31.0,,,,31.9
2022-02-01,KXHIGHCHI,44.7,,,,42.0
2022-02-02,KXHIGHCHI,33.3,,,,33.0
2022-02-03,KXHIGHCHI,24.0,,,,24.2
2022-02-04,KXHIGHCHI,24.9,,,,22.1
2022-02-05,KXHIGHCHI,18.0,,,,19.3
2022-02-06,KXHIGHCHI,32.3,,,,30.2
2022-02-07,KXHIGHCHI,29.1,,,,29.5
2022-02-08,KXHIGHCHI,37.2,,,,37.4
2022-02-09,KXHIGHCHI,39.9,,,,37.6
2022-02-10,KXHIGHCHI,32.8,,,,32.6
2022-02-11,KXHIGHCHI,42.0,,,,41.1
2022-02-12,KXHIGHCHI,29.0,,,,28.9
2022-02-13,KXHIGHCHI,17.5,,,,15.9
2022-02-14,KXHIGHCHI,24.2,,,,22.9
2022-02-15,KXHIGHCHI,36.4,,,,39.0
2022-02-16,KXHIGHCHI,52.6,,,,48.3
2022-02-17,KXHIGHCHI,47.6,,,,37.2
2022-02-18,KXHIGHCHI,27.5,,,,31.2
2022-02-19,KXHIGHCHI,28.1,,,,30.3
2022-02-20,KXHIGHCHI,46.3,,,,42.6
2022-02-21,KXHIGHCHI,45.2,,,,43.5
2022-02-22,KXHIGHCHI,44.7,,,,43.8
2022-02-23,KXHIGHCHI,25.2,,,,24.3
2022-02-24,KXHIGHCHI,25.8,,,,25.1
2022-02-25,KXHIGHCHI,27.0,,,,26.0
2022-02-26,KXHIGHCHI,30.8,,,,30.1
2022-02-27,KXHIGHCHI,42.0,,,,34.9
2022-02-28,KXHIGHCHI,51.5,,,,40.0
2022-03-01,KXHIGHCHI,45.3,,,,39.7
2022-03-02,KXHIGHCHI,57.3,,,,37.6
2022-03-03,KXHIGHCHI,33.1,,,,33.3
2022-03-04,KXHIGHCHI,36.2,,,,35.1
2022-03-05,KXHIGHCHI,67.6,,,,53.9
2022-03-06,KXHIGHCHI,60.0,,,,53.2
2022-03-07,KXHIGHCHI,35.7,,,,35.0
2022-03-08,KXHIGHCHI,37.4,,,,33.6
2022-03-09,KXHIGHCHI,41.5,,,,35.7
2022-03-10,KXHIGHCHI,29.2,,,,29.5
2022-03-11,KXHIGHCHI,31.0,,,,28.5
2022-03-12,KXHIGHCHI,21.8,,,,21.8
2022-03-13,KXHIGHCHI,49.6,,,,39.8
2022-03-14,KXHIGHCHI,62.7,,,,47.8
2022-03-15,KXHIGHCHI,42.7,,,,35.5
2022-03-16,KXHIGHCHI,67.9,,,,53.7
2022-03-17,KXHIGHCHI,66.4,,,,51.5
2022-03-18,KXHIGHCHI,43.2,,,,39.4
2022-03-19,KXHIGHCHI,40.5,,,,40.2
2022-03-20,KXHIGHCHI,55.4,,,,47.7
2022-03-21,KXHIGHCHI,74.5,,,,56.9
2022-03-22,KXHIGHCHI,49.3,,,,49.2
2022-03-23,KXHIGHCHI,53.6,,,,48.0
2022-03-24,KXHIGHCHI,44.7,,,,42.9
2022-03-25,KXHIGHCHI,44.1,,,,42.0
2022-03-26,KXHIGHCHI,31.5,,,,34.5
2022-03-27,KXHIGHCHI,28.1,,,,27.6
2022-03-28,KXHIGHCHI,29.0,,,,27.7
2022-03-29,KXHIGHCHI,40.1,,,,40.2
2022-03-30,KXHIGHCHI,59.5,,,,52.3
2022-03-31,KXHIGHCHI,54.9,,,,49.3
2022-04-01,KXHIGHCHI,36.4,,,,35.9
2022-04-02,KXHIGHCHI,38.6,,,,37.5
2022-04-03,KXHIGHCHI,41.5,,,,38.2
2022-04-04,KXHIGHCHI,51.3,,,,46.0
2022-04-05,KXHIGHCHI,47.6,,,,45.6
2022-04-06,KXHIGHCHI,54.9,,,,49.2
2022-04-07,KXHIGHCHI,43.0,,,,43.4
2022-04-08,KXHIGHCHI,38.2,,,,39.7
