date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHDEN,15.5,,,,19.8
2022-01-02,KXHIGHDEN,44.9,,,,36.7
2022-01-03,KXHIGHDEN,54.3,,,,42.8
2022-01-04,KXHIGHDEN,51.1,,,,45.5
2022-01-05,KXHIGHDEN,34.4,,,,44.9
2022-01-06,KXHIGHDEN,20.3,,,,35.2
2022-01-07,KXHIGHDEN,60.9,,,,48.2
2022-01-08,KXHIGHDEN,44.1,,,,44.0
2022-01-09,KXHIGHDEN,36.6,,,,37.3
2022-01-10,KXHIGHDEN,58.1,,,,42.8
2022-01-11,KXHIGHDEN,58.4,,,,44.0
2022-01-12,KXHIGHDEN,59.4,,,,44.2
2022-01-13,KXHIGHDEN,65.6,,,,48.7
2022-01-14,KXHIGHDEN,43.5,,,,38.9
2022-01-15,KXHIGHDEN,50.2,,,,41.3
2022-01-16,KXHIGHDEN,59.0,,,,45.1
2022-01-17,KXHIGHDEN,61.0,,,,46.5
2022-01-18,KXHIGHDEN,55.0,,,,45.9
2022-01-19,KXHIGHDEN,31.3,,,,32.5
2022-01-20,KXHIGHDEN,39.3,,,,35.0
2022-01-21,KXHIGHDEN,33.9,,,,36.0
2022-01-22,KXHIGHDEN,45.2,,,,39.3
2022-01-23,KXHIGHDEN,52.5,,,,43.3
2022-01-24,KXHIGHDEN,45.7,,,,39.8
2022-01-25,KXHIGHDEN,31.9,,,,32.0
2022-01-26,KXHIGHDEN,40.9,,,,35.8
2022-01-27,KXHIGHDEN,29.1,,,,30.0
2022-01-28,KXHIGHDEN,47.8,,,,39.8
2022-01-29,KXHIGHDEN,59.2,,,,45.8
2022-01-30,KXHIGHDEN,57.5,,,,45.0
2022-01-31,KXHIGHDEN,62.4,,,,47.7
2022-02-01,KXHIGHDEN,32.5,,,,32.1
2022-02-02,KXHIGHDEN,20.6,,,,24.4
2022-02-03,KXHIGHDEN,23.0,,,,22.5
2022-02-04,KXHIGHDEN,42.8,,,,36.8
2022-02-05,KXHIGHDEN,51.1,,,,44.9
2022-02-06,KXHIGHDEN,39.1,,,,32.3
2022-02-07,KXHIGHDEN,54.8,,,,43.1
2022-02-08,KXHIGHDEN,52.8,,,,43.5
2022-02-09,KXHIGHDEN,54.8,,,,46.7
2022-02-10,KXHIGHDEN,61.2,,,,52.9
2022-02-11,KXHIGHDEN,48.4,,,,44.9
2022-02-12,KXHIGHDEN,42.6,,,,40.7
2022-02-13,KXHIGHDEN,56.9,,,,49.6
2022-02-14,KXHIGHDEN,57.6,,,,50.4
2022-02-15,KXHIGHDEN,56.5,,,,53.3
2022-02-16,KXHIGHDEN,37.0,,,,36.9
2022-02-17,KXHIGHDEN,33.1,,,,35.9
2022-02-18,KXHIGHDEN,44.6,,,,44.8
2022-02-19,KXHIGHDEN,59.2,,,,53.9
2022-02-20,KXHIGHDEN,64.4,,,,55.6
2022-02-21,KXHIGHDEN,53.4,,,,51.1
2022-02-22,KXHIGHDEN,10.1,,,,9.7
2022-02-23,KXHIGHDEN,11.5,,,,16.0
2022-02-24,KXHIGHDEN,25.0,,,,26.8
2022-02-25,KXHIGHDEN,27.7,,,,26.3
2022-02-26,KXHIGHDEN,40.2,,,,34.7
2022-02-27,KXHIGHDEN,59.9,,,,48.4
2022-02-28,KXHIGHDEN,64.7,,,,53.4
2022-03-01,KXHIGHDEN,71.7,,,,58.2
2022-03-02,KXHIGHDEN,70.7,,,,63.6
2022-03-03,KXHIGHDEN,73.0,,,,63.9
2022-03-04,KXHIGHDEN,67.1,,,,60.4
2022-03-05,KXHIGHDEN,46.6,,,,39.9
2022-03-06,KXHIGHDEN,24.4,,,,26.0
2022-03-07,KXHIGHDEN,31.3,,,,27.3
2022-03-08,KXHIGHDEN,40.3,,,,34.1
2022-03-09,KXHIGHDEN,27.4,,,,28.9
2022-03-10,KXHIGHDEN,21.9,,,,21.3
2022-03-11,KXHIGHDEN,37.5,,,,33.5
2022-03-12,KXHIGHDEN,60.1,,,,54.5
2022-03-13,KXHIGHDEN,64.7,,,,58.0
2022-03-14,KXHIGHDEN,55.7,,,,49.9
2022-03-15,KXHIGHDEN,72.0,,,,64.1
2022-03-16,KXHIGHDEN,54.4,,,,50.2
2022-03-17,KXHIGHDEN,35.8,,,,35.9
2022-03-18,KXHIGHDEN,52.9,,,,50.3
2022-03-19,KXHIGHDEN,61.0,,,,56.5
2022-03-20,KXHIGHDEN,65.5,,,,62.4
2022-03-21,KXHIGHDEN,45.8,,,,39.9
2022-03-22,KXHIGHDEN,43.0,,,,39.1
2022-03-23,KXHIGHDEN,55.9,,,,49.4
2022-03-24,KXHIGHDEN,67.5,,,,62.9
2022-03-25,KXHIGHDEN,64.0,,,,61.2
2022-03-26,KXHIGHDEN,77.2,,,,72.9
2022-03-27,KXHIGHDEN,70.7,,,,69.9
2022-03-28,KXHIGHDEN,78.6,,,,73.4
2022-03-29,KXHIGHDEN,57.1,,,,48.6
2022-03-30,KXHIGHDEN,47.5,,,,44.3
2022-03-31,KXHIGHDEN,64.9,,,,58.0
2022-04-01,KXHIGHDEN,58.2,,,,54.8
2022-04-02,KXHIGHDEN,68.0,,,,65.4
2022-04-03,KXHIGHDEN,53.1,,,,51.2
2022-04-04,KXHIGHDEN,69.6,,,,64.2
2022-04-05,KXHIGHDEN,62.3,,,,55.0
2022-04-06,KXHIGHDEN,49.6,,,,43.6
2022-04-07,KXHIGHDEN,55.9,,,,50.1
2022-04-08,KXHIGHDEN,68.1,,,,63.5
2022-04-09,KXHIGHDEN,77.2,,,,72.8
2022-04-10,KXHIGHDEN,56.3,,,,54.5
2022-04-11,KXHIGHDEN,67.2,,,,64.3
2022-04-12,KXHIGHDEN,57.0,,,,57.0
2022-04-13,KXHIGHDEN,41.0,,,,38.6
2022-04-14,KXHIGHDEN,58.3,,,,55.7
2022-04-15,KXHIGHDEN,66.6,,,,62.5
2022-04-16,KXHIGHDEN,58.2,,,,56.1
2022-04-17,KXHIGHDEN,67.5,,,,64.7
2022-04-18,KXHIGHDEN,64.6,,,,59.8
2022-04-19,KXHIGHDEN,81.2,,,,76.4
2022-04-20,KXHIGHDEN,72.5,,,,67.8
2022-04-21,KXHIGHDEN,81.2,,,,74.6
2022-04-22,KXHIGHDEN,87.0,,,,76.7
2022-04-23,KXHIGHDEN,59.7,,,,56.8
2022-04-24,KXHIGHDEN,53.8,,,,50.4
2022-04-25,KXHIGHDEN,56.9,,,,51.7
2022-04-26,KXHIGHDEN,75.8,,,,71.6
2022-04-27,KXHIGHDEN,73.8,,,,72.9
2022-04-28,KXHIGHDEN,77.1,,,,74.0
2022-04-29,KXHIGHDEN,65.3,,,,62.2
2022-04-30,KXHIGHDEN,65.6,,,,60.7
2022-05-01,KXHIGHDEN,67.0,,,,62.9
2022-05-02,KXHIGHDEN,47.3,,,,45.9
2022-05-03,KXHIGHDEN,58.3,,,,61.4
2022-05-04,KXHIGHDEN,50.4,,,,48.5
2022-05-05,KXHIGHDEN,71.0,,,,66.3
2022-05-06,KXHIGHDEN,83.5,,,,79.9
2022-05-07,KXHIGHDEN,89.8,,,,83.8
2022-05-08,KXHIGHDEN,74.5,,,,76.1
2022-05-09,KXHIGHDEN,73.7,,,,75.9
2022-05-10,KXHIGHDEN,71.8,,,,74.9
2022-05-11,KXHIGHDEN,89.0,,,,85.2
2022-05-12,KXHIGHDEN,72.2,,,,69.5
2022-05-13,KXHIGHDEN,77.2,,,,73.2
2022-05-14,KXHIGHDEN,82.9,,,,79.0
2022-05-15,KXHIGHDEN,78.6,,,,74.4
2022-05-16,KXHIGHDEN,86.4,,,,80.4
2022-05-17,KXHIGHDEN,85.4,,,,80.9
2022-05-18,KXHIGHDEN,84.6,,,,74.7
2022-05-19,KXHIGHDEN,89.2,,,,85.5
2022-05-20,KXHIGHDEN,43.5,,,,47.8
2022-05-21,KXHIGHDEN,46.4,,,,45.8
2022-05-22,KXHIGHDEN,60.1,,,,53.8
2022-05-23,KXHIGHDEN,61.6,,,,57.6
2022-05-24,KXHIGHDEN,56.7,,,,52.5
2022-05-25,KXHIGHDEN,70.5,,,,65.1
2022-05-26,KXHIGHDEN,84.4,,,,78.9
2022-05-27,KXHIGHDEN,89.8,,,,87.2
2022-05-28,KXHIGHDEN,85.0,,,,84.0
2022-05-29,KXHIGHDEN,74.6,,,,71.9
2022-05-30,KXHIGHDEN,67.4,,,,65.3
2022-05-31,KXHIGHDEN,61.7,,,,59.0
2022-06-01,KXHIGHDEN,55.4,,,,59.1
2022-06-02,KXHIGHDEN,69.3,,,,65.2
2022-06-03,KXHIGHDEN,76.1,,,,74.6
2022-06-04,KXHIGHDEN,84.5,,,,80.0
2022-06-05,KXHIGHDEN,83.9,,,,79.5
2022-06-06,KXHIGHDEN,79.5,,,,74.9
2022-06-07,KXHIGHDEN,82.3,,,,77.5
2022-06-08,KXHIGHDEN,83.2,,,,75.2
2022-06-09,KXHIGHDEN,90.5,,,,83.2
2022-06-10,KXHIGHDEN,93.3,,,,91.6
2022-06-11,KXHIGHDEN,99.5,,,,96.3
2022-06-12,KXHIGHDEN,93.0,,,,91.7
2022-06-13,KXHIGHDEN,99.0,,,,95.3
2022-06-14,KXHIGHDEN,84.4,,,,83.7
2022-06-15,KXHIGHDEN,89.6,,,,86.8
2022-06-16,KXHIGHDEN,95.0,,,,91.1
2022-06-17,KXHIGHDEN,98.1,,,,93.3
2022-06-18,KXHIGHDEN,90.4,,,,88.0
2022-06-19,KXHIGHDEN,87.0,,,,86.4
2022-06-20,KXHIGHDEN,91.0,,,,87.1
2022-06-21,KXHIGHDEN,81.7,,,,77.2
2022-06-22,KXHIGHDEN,84.7,,,,82.9
2022-06-23,KXHIGHDEN,91.9,,,,88.3
2022-06-24,KXHIGHDEN,87.7,,,,85.7
2022-06-25,KXHIGHDEN,70.3,,,,66.1
2022-06-26,KXHIGHDEN,68.3,,,,68.2
2022-06-27,KXHIGHDEN,87.0,,,,80.4
2022-06-28,KXHIGHDEN,93.3,,,,87.9
2022-06-29,KXHIGHDEN,92.6,,,,89.7
2022-06-30,KXHIGHDEN,81.9,,,,83.0
2022-07-01,KXHIGHDEN,85.7,,,,75.4
2022-07-02,KXHIGHDEN,88.5,,,,81.5
2022-07-03,KXHIGHDEN,90.1,,,,85.4
2022-07-04,KXHIGHDEN,93.5,,,,90.2
2022-07-05,KXHIGHDEN,92.5,,,,87.6
