date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHLAX,60.6,,,,58.1
2022-01-02,KXHIGHLAX,64.9,,,,59.8
2022-01-03,KXHIGHLAX,64.0,,,,58.0
2022-01-04,KXHIGHLAX,63.7,,,,56.4
2022-01-05,KXHIGHLAX,71.2,,,,63.3
2022-01-06,KXHIGHLAX,75.2,,,,64.4
2022-01-07,KXHIGHLAX,58.4,,,,56.9
2022-01-08,KXHIGHLAX,64.0,,,,57.9
2022-01-09,KXHIGHLAX,76.1,,,,67.0
2022-01-10,KXHIGHLAX,73.9,,,,68.4
2022-01-11,KXHIGHLAX,79.0,,,,72.0
2022-01-12,KXHIGHLAX,79.1,,,,70.3
2022-01-13,KXHIGHLAX,69.6,,,,66.3
2022-01-14,KXHIGHLAX,77.2,,,,66.8
2022-01-15,KXHIGHLAX,70.2,,,,66.6
2022-01-16,KXHIGHLAX,75.5,,,,68.9
2022-01-17,KXHIGHLAX,64.8,,,,60.0
2022-01-18,KXHIGHLAX,65.4,,,,58.7
2022-01-19,KXHIGHLAX,64.6,,,,60.5
2022-01-20,KXHIGHLAX,75.9,,,,67.3
2022-01-21,KXHIGHLAX,72.0,,,,67.9
2022-01-22,KXHIGHLAX,73.1,,,,66.5
2022-01-23,KXHIGHLAX,75.5,,,,67.5
2022-01-24,KXHIGHLAX,73.6,,,,63.4
2022-01-25,KXHIGHLAX,68.6,,,,61.6
2022-01-26,KXHIGHLAX,71.9,,,,64.7
2022-01-27,KXHIGHLAX,72.8,,,,66.3
2022-01-28,KXHIGHLAX,73.6,,,,70.3
2022-01-29,KXHIGHLAX,68.7,,,,66.7
2022-01-30,KXHIGHLAX,72.4,,,,63.3
2022-01-31,KXHIGHLAX,63.3,,,,59.3
2022-02-01,KXHIGHLAX,64.2,,,,56.9
2022-02-02,KXHIGHLAX,68.0,,,,61.0
2022-02-03,KXHIGHLAX,67.9,,,,63.1
2022-02-04,KXHIGHLAX,70.6,,,,66.6
2022-02-05,KXHIGHLAX,71.9,,,,67.9
2022-02-06,KXHIGHLAX,78.2,,,,74.2
2022-02-07,KXHIGHLAX,79.0,,,,73.3
2022-02-08,KXHIGHLAX,81.6,,,,74.5
2022-02-09,KXHIGHLAX,87.6,,,,81.0
2022-02-10,KXHIGHLAX,87.4,,,,81.6
2022-02-11,KXHIGHLAX,84.3,,,,77.1
2022-02-12,KXHIGHLAX,89.9,,,,83.0
2022-02-13,KXHIGHLAX,88.1,,,,81.1
2022-02-14,KXHIGHLAX,80.7,,,,70.5
2022-02-15,KXHIGHLAX,60.3,,,,53.5
2022-02-16,KXHIGHLAX,67.2,,,,59.3
2022-02-17,KXHIGHLAX,72.8,,,,66.9
2022-02-18,KXHIGHLAX,74.6,,,,68.5
2022-02-19,KXHIGHLAX,77.7,,,,68.2
2022-02-20,KXHIGHLAX,67.5,,,,59.1
2022-02-21,KXHIGHLAX,60.3,,,,54.0
2022-02-22,KXHIGHLAX,59.2,,,,53.1
2022-02-23,KXHIGHLAX,56.9,,,,52.5
2022-02-24,KXHIGHLAX,62.7,,,,55.7
2022-02-25,KXHIGHLAX,65.8,,,,59.9
2022-02-26,KXHIGHLAX,71.0,,,,66.7
2022-02-27,KXHIGHLAX,77.2,,,,71.6
2022-02-28,KXHIGHLAX,87.0,,,,79.3
