date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHNY,54.6,,,,52.9
2022-01-02,KXHIGHNY,56.4,,,,56.9
2022-01-03,KXHIGHNY,36.6,,,,40.2
2022-01-04,KXHIGHNY,33.6,,,,34.0
2022-01-05,KXHIGHNY,45.3,,,,47.3
2022-01-06,KXHIGHNY,39.7,,,,43.4
2022-01-07,KXHIGHNY,33.4,,,,35.1
2022-01-08,KXHIGHNY,28.7,,,,31.0
2022-01-09,KXHIGHNY,39.2,,,,42.4
2022-01-10,KXHIGHNY,38.9,,,,42.5
2022-01-11,KXHIGHNY,25.5,,,,28.4
2022-01-12,KXHIGHNY,39.7,,,,37.3
2022-01-13,KXHIGHNY,47.9,,,,41.3
2022-01-14,KXHIGHNY,43.3,,,,40.5
2022-01-15,KXHIGHNY,23.7,,,,29.3
2022-01-16,KXHIGHNY,33.6,,,,41.6
2022-01-17,KXHIGHNY,44.3,,,,44.5
2022-01-18,KXHIGHNY,36.6,,,,36.1
2022-01-19,KXHIGHNY,49.1,,,,43.4
2022-01-20,KXHIGHNY,44.5,,,,43.1
2022-01-21,KXHIGHNY,25.9,,,,28.1
2022-01-22,KXHIGHNY,30.0,,,,28.1
2022-01-23,KXHIGHNY,37.0,,,,33.5
2022-01-24,KXHIGHNY,32.7,,,,35.3
2022-01-25,KXHIGHNY,42.6,,,,39.0
2022-01-26,KXHIGHNY,29.7,,,,32.6
2022-01-27,KXHIGHNY,32.1,,,,31.8
2022-01-28,KXHIGHNY,33.1,,,,33.1
2022-01-29,KXHIGHNY,28.2,,,,32.3
2022-01-30,KXHIGHNY,24.4,,,,24.5
2022-01-31,KXHIGHNY,31.0,,,,30.8
2022-02-01,KXHIGHNY,36.6,,,,34.8
2022-02-02,KXHIGHNY,45.2,,,,41.3
2022-02-03,KXHIGHNY,47.1,,,,49.7
2022-02-04,KXHIGHNY,54.6,,,,54.3
2022-02-05,KXHIGHNY,28.5,,,,32.6
2022-02-06,KXHIGHNY,30.8,,,,33.7
2022-02-07,KXHIGHNY,37.4,,,,37.7
2022-02-08,KXHIGHNY,45.5,,,,41.5
2022-02-09,KXHIGHNY,44.4,,,,40.1
2022-02-10,KXHIGHNY,54.7,,,,48.7
2022-02-11,KXHIGHNY,56.4,,,,48.1
2022-02-12,KXHIGHNY,59.7,,,,52.3
2022-02-13,KXHIGHNY,45.3,,,,41.7
2022-02-14,KXHIGHNY,26.0,,,,28.8
2022-02-15,KXHIGHNY,31.3,,,,29.9
2022-02-16,KXHIGHNY,43.9,,,,42.6
2022-02-17,KXHIGHNY,65.8,,,,53.4
2022-02-18,KXHIGHNY,61.5,,,,60.0
2022-02-19,KXHIGHNY,41.1,,,,36.6
2022-02-20,KXHIGHNY,35.4,,,,34.3
2022-02-21,KXHIGHNY,54.1,,,,43.4
2022-02-22,KXHIGHNY,57.3,,,,53.8
2022-02-23,KXHIGHNY,70.1,,,,60.5
2022-02-24,KXHIGHNY,36.4,,,,39.6
2022-02-25,KXHIGHNY,40.6,,,,40.5
2022-02-26,KXHIGHNY,36.9,,,,34.2
2022-02-27,KXHIGHNY,48.8,,,,42.9
2022-02-28,KXHIGHNY,36.8,,,,38.0
2022-03-01,KXHIGHNY,46.3,,,,44.5
2022-03-02,KXHIGHNY,52.6,,,,45.1
2022-03-03,KXHIGHNY,43.5,,,,43.3
2022-03-04,KXHIGHNY,36.9,,,,34.9
2022-03-05,KXHIGHNY,44.6,,,,41.6
2022-03-06,KXHIGHNY,66.4,,,,61.6
2022-03-07,KXHIGHNY,74.1,,,,62.0
2022-03-08,KXHIGHNY,58.5,,,,52.8
2022-03-09,KXHIGHNY,39.2,,,,39.4
2022-03-10,KXHIGHNY,49.8,,,,44.3
2022-03-11,KXHIGHNY,53.5,,,,43.6
2022-03-12,KXHIGHNY,46.9,,,,42.7
2022-03-13,KXHIGHNY,34.3,,,,34.2
2022-03-14,KXHIGHNY,56.8,,,,47.9
2022-03-15,KXHIGHNY,66.0,,,,53.1
2022-03-16,KXHIGHNY,65.7,,,,52.8
2022-03-17,KXHIGHNY,53.3,,,,51.4
2022-03-18,KXHIGHNY,71.0,,,,55.6
2022-03-19,KXHIGHNY,67.9,,,,56.6
2022-03-20,KXHIGHNY,59.6,,,,55.2
2022-03-21,KXHIGHNY,63.6,,,,55.4
2022-03-22,KXHIGHNY,58.8,,,,52.0
2022-03-23,KXHIGHNY,48.2,,,,45.6
2022-03-24,KXHIGHNY,44.8,,,,45.5
2022-03-25,KXHIGHNY,58.4,,,,55.4
2022-03-26,KXHIGHNY,52.2,,,,49.0
2022-03-27,KXHIGHNY,46.3,,,,43.1
2022-03-28,KXHIGHNY,32.4,,,,33.5
2022-03-29,KXHIGHNY,37.5,,,,36.2
2022-03-30,KXHIGHNY,45.1,,,,43.6
2022-03-31,KXHIGHNY,66.4,,,,59.9
2022-04-01,KXHIGHNY,61.0,,,,58.2
2022-04-02,KXHIGHNY,54.4,,,,47.0
2022-04-03,KXHIGHNY,46.1,,,,45.3
2022-04-04,KXHIGHNY,55.0,,,,50.7
2022-04-05,KXHIGHNY,56.0,,,,49.2
2022-04-06,KXHIGHNY,51.7,,,,49.4
2022-04-07,KXHIGHNY,52.7,,,,51.7
2022-04-08,KXHIGHNY,65.9,,,,55.1
2022-04-09,KXHIGHNY,55.5,,,,51.4
2022-04-10,KXHIGHNY,49.9,,,,48.1
2022-04-11,KXHIGHNY,59.7,,,,51.3
2022-04-12,KXHIGHNY,73.0,,,,63.6
2022-04-13,KXHIGHNY,69.3,,,,58.5
2022-04-14,KXHIGHNY,86.0,,,,68.6
2022-04-15,KXHIGHNY,69.7,,,,61.8
2022-04-16,KXHIGHNY,70.5,,,,61.3
2022-04-17,KXHIGHNY,50.9,,,,48.8
2022-04-18,KXHIGHNY,53.0,,,,47.0
2022-04-19,KXHIGHNY,50.0,,,,48.7
2022-04-20,KXHIGHNY,60.7,,,,53.1
2022-04-21,KXHIGHNY,59.6,,,,53.5
2022-04-22,KXHIGHNY,71.1,,,,62.3
2022-04-23,KXHIGHNY,63.1,,,,53.5
2022-04-24,KXHIGHNY,62.0,,,,51.8
2022-04-25,KXHIGHNY,57.9,,,,51.9
2022-04-26,KXHIGHNY,57.5,,,,58.0
2022-04-27,KXHIGHNY,57.1,,,,56.2
2022-04-28,KXHIGHNY,57.9,,,,51.5
2022-04-29,KXHIGHNY,63.8,,,,57.2
2022-04-30,KXHIGHNY,68.7,,,,58.6
2022-05-01,KXHIGHNY,67.7,,,,56.8
2022-05-02,KXHIGHNY,55.2,,,,54.6
2022-05-03,KXHIGHNY,63.7,,,,54.3
2022-05-04,KXHIGHNY,64.7,,,,59.7
2022-05-05,KXHIGHNY,74.7,,,,62.6
2022-05-06,KXHIGHNY,60.9,,,,54.6
2022-05-07,KXHIGHNY,50.2,,,,50.3
2022-05-08,KXHIGHNY,58.5,,,,53.1
2022-05-09,KXHIGHNY,71.0,,,,59.9
2022-05-10,KXHIGHNY,73.3,,,,62.0
2022-05-11,KXHIGHNY,74.1,,,,59.8
2022-05-12,KXHIGHNY,73.3,,,,59.3
2022-05-13,KXHIGHNY,70.4,,,,59.5
2022-05-14,KXHIGHNY,71.4,,,,62.0
2022-05-15,KXHIGHNY,75.5,,,,66.2
2022-05-16,KXHIGHNY,75.3,,,,65.7
2022-05-17,KXHIGHNY,78.3,,,,71.3
2022-05-18,KXHIGHNY,74.3,,,,64.1
2022-05-19,KXHIGHNY,65.7,,,,60.6
2022-05-20,KXHIGHNY,67.4,,,,62.9
2022-05-21,KXHIGHNY,88.2,,,,70.9
2022-05-22,KXHIGHNY,91.8,,,,73.5
2022-05-23,KXHIGHNY,75.0,,,,67.9
2022-05-24,KXHIGHNY,67.4,,,,60.7
2022-05-25,KXHIGHNY,70.3,,,,60.8
2022-05-26,KXHIGHNY,69.6,,,,63.2
2022-05-27,KXHIGHNY,79.5,,,,68.9
2022-05-28,KXHIGHNY,74.0,,,,69.8
2022-05-29,KXHIGHNY,78.9,,,,68.4
2022-05-30,KXHIGHNY,86.6,,,,74.9
2022-05-31,KXHIGHNY,95.9,,,,85.9
2022-06-01,KXHIGHNY,68.5,,,,67.7
2022-06-02,KXHIGHNY,79.2,,,,72.7
2022-06-03,KXHIGHNY,74.6,,,,69.2
2022-06-04,KXHIGHNY,80.4,,,,72.9
2022-06-05,KXHIGHNY,78.5,,,,68.6
2022-06-06,KXHIGHNY,81.0,,,,73.0
2022-06-07,KXHIGHNY,78.3,,,,71.6
2022-06-08,KXHIGHNY,84.8,,,,77.1
2022-06-09,KXHIGHNY,84.2,,,,77.6
2022-06-10,KXHIGHNY,81.1,,,,74.0
2022-06-11,KXHIGHNY,75.9,,,,72.2
2022-06-12,KXHIGHNY,71.6,,,,70.1
