date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHPHIL,55.9,,,,56.6
2022-01-02,KXHIGHPHIL,60.6,,,,61.3
2022-01-03,KXHIGHPHIL,38.2,,,,40.7
2022-01-04,KXHIGHPHIL,35.5,,,,31.0
2022-01-05,KXHIGHPHIL,44.9,,,,48.3
2022-01-06,KXHIGHPHIL,39.8,,,,42.2
2022-01-07,KXHIGHPHIL,33.3,,,,33.4
2022-01-08,KXHIGHPHIL,34.2,,,,27.7
2022-01-09,KXHIGHPHIL,41.6,,,,40.9
2022-01-10,KXHIGHPHIL,41.0,,,,40.4
2022-01-11,KXHIGHPHIL,25.7,,,,25.6
2022-01-12,KXHIGHPHIL,42.7,,,,37.2
2022-01-13,KXHIGHPHIL,47.9,,,,38.9
2022-01-14,KXHIGHPHIL,47.2,,,,42.0
2022-01-15,KXHIGHPHIL,24.7,,,,24.3
2022-01-16,KXHIGHPHIL,37.0,,,,40.6
2022-01-17,KXHIGHPHIL,47.9,,,,46.1
2022-01-18,KXHIGHPHIL,38.0,,,,37.3
2022-01-19,KXHIGHPHIL,50.1,,,,44.5
2022-01-20,KXHIGHPHIL,43.9,,,,42.3
2022-01-21,KXHIGHPHIL,24.6,,,,24.0
2022-01-22,KXHIGHPHIL,31.8,,,,25.8
2022-01-23,KXHIGHPHIL,38.0,,,,33.2
2022-01-24,KXHIGHPHIL,34.9,,,,32.2
2022-01-25,KXHIGHPHIL,42.5,,,,38.9
2022-01-26,KXHIGHPHIL,30.4,,,,30.0
2022-01-27,KXHIGHPHIL,33.8,,,,29.3
2022-01-28,KXHIGHPHIL,33.7,,,,32.0
2022-01-29,KXHIGHPHIL,29.8,,,,30.1
2022-01-30,KXHIGHPHIL,25.0,,,,21.7
2022-01-31,KXHIGHPHIL,33.2,,,,28.6
2022-02-01,KXHIGHPHIL,38.0,,,,32.5
2022-02-02,KXHIGHPHIL,43.3,,,,38.9
2022-02-03,KXHIGHPHIL,49.5,,,,52.0
2022-02-04,KXHIGHPHIL,55.7,,,,57.6
2022-02-05,KXHIGHPHIL,30.0,,,,30.4
2022-02-06,KXHIGHPHIL,36.1,,,,29.5
2022-02-07,KXHIGHPHIL,37.5,,,,37.0
2022-02-08,KXHIGHPHIL,41.7,,,,42.1
2022-02-09,KXHIGHPHIL,52.2,,,,44.8
2022-02-10,KXHIGHPHIL,55.6,,,,53.4
2022-02-11,KXHIGHPHIL,61.2,,,,57.3
2022-02-12,KXHIGHPHIL,58.6,,,,54.5
2022-02-13,KXHIGHPHIL,43.3,,,,42.2
2022-02-14,KXHIGHPHIL,27.9,,,,27.8
2022-02-15,KXHIGHPHIL,32.5,,,,27.4
2022-02-16,KXHIGHPHIL,51.0,,,,44.8
2022-02-17,KXHIGHPHIL,67.4,,,,62.3
2022-02-18,KXHIGHPHIL,63.1,,,,62.2
2022-02-19,KXHIGHPHIL,41.2,,,,40.0
2022-02-20,KXHIGHPHIL,38.7,,,,33.3
2022-02-21,KXHIGHPHIL,59.7,,,,50.3
2022-02-22,KXHIGHPHIL,61.2,,,,63.3
2022-02-23,KXHIGHPHIL,70.5,,,,67.4
2022-02-24,KXHIGHPHIL,42.5,,,,42.0
2022-02-25,KXHIGHPHIL,46.6,,,,44.4
2022-02-26,KXHIGHPHIL,38.2,,,,35.6
2022-02-27,KXHIGHPHIL,50.8,,,,46.2
2022-02-28,KXHIGHPHIL,40.7,,,,39.3
2022-03-01,KXHIGHPHIL,51.3,,,,49.5
2022-03-02,KXHIGHPHIL,56.3,,,,49.8
2022-03-03,KXHIGHPHIL,49.2,,,,45.8
2022-03-04,KXHIGHPHIL,39.9,,,,36.7
2022-03-05,KXHIGHPHIL,53.7,,,,48.5
2022-03-06,KXHIGHPHIL,67.8,,,,67.7
2022-03-07,KXHIGHPHIL,75.2,,,,74.7
2022-03-08,KXHIGHPHIL,56.4,,,,55.2
2022-03-09,KXHIGHPHIL,42.2,,,,41.4
2022-03-10,KXHIGHPHIL,50.7,,,,48.8
2022-03-11,KXHIGHPHIL,59.4,,,,53.0
2022-03-12,KXHIGHPHIL,47.7,,,,45.4
2022-03-13,KXHIGHPHIL,35.4,,,,34.4
2022-03-14,KXHIGHPHIL,60.0,,,,52.0
2022-03-15,KXHIGHPHIL,68.6,,,,60.6
2022-03-16,KXHIGHPHIL,71.1,,,,63.9
2022-03-17,KXHIGHPHIL,55.5,,,,56.5
2022-03-18,KXHIGHPHIL,72.5,,,,66.0
2022-03-19,KXHIGHPHIL,74.6,,,,71.3
2022-03-20,KXHIGHPHIL,59.4,,,,62.1
2022-03-21,KXHIGHPHIL,65.7,,,,60.2
