date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTATL,73.9,,,,72.1
2022-01-02,KXHIGHTATL,70.5,,,,69.4
2022-01-03,KXHIGHTATL,55.6,,,,49.3
2022-01-04,KXHIGHTATL,48.8,,,,46.3
2022-01-05,KXHIGHTATL,54.6,,,,53.3
2022-01-06,KXHIGHTATL,59.2,,,,53.2
2022-01-07,KXHIGHTATL,38.6,,,,35.8
2022-01-08,KXHIGHTATL,50.6,,,,45.4
2022-01-09,KXHIGHTATL,60.6,,,,59.8
2022-01-10,KXHIGHTATL,52.7,,,,51.5
2022-01-11,KXHIGHTATL,50.2,,,,44.3
2022-01-12,KXHIGHTATL,54.9,,,,49.1
2022-01-13,KXHIGHTATL,57.7,,,,54.5
2022-01-14,KXHIGHTATL,53.7,,,,49.8
2022-01-15,KXHIGHTATL,47.1,,,,48.2
2022-01-16,KXHIGHTATL,39.2,,,,41.1
2022-01-17,KXHIGHTATL,35.1,,,,37.1
2022-01-18,KXHIGHTATL,52.8,,,,44.9
2022-01-19,KXHIGHTATL,61.6,,,,54.3
2022-01-20,KXHIGHTATL,51.5,,,,50.3
2022-01-21,KXHIGHTATL,36.4,,,,41.0
2022-01-22,KXHIGHTATL,43.5,,,,38.9
2022-01-23,KXHIGHTATL,49.3,,,,42.7
2022-01-24,KXHIGHTATL,58.1,,,,52.1
2022-01-25,KXHIGHTATL,59.4,,,,55.7
2022-01-26,KXHIGHTATL,51.0,,,,45.9
2022-01-27,KXHIGHTATL,51.5,,,,46.6
2022-01-28,KXHIGHTATL,48.3,,,,46.6
2022-01-29,KXHIGHTATL,35.7,,,,32.0
2022-01-30,KXHIGHTATL,56.3,,,,48.9
2022-01-31,KXHIGHTATL,56.7,,,,51.7
2022-02-01,KXHIGHTATL,58.7,,,,53.5
2022-02-02,KXHIGHTATL,56.2,,,,53.2
2022-02-03,KXHIGHTATL,63.9,,,,64.1
2022-02-04,KXHIGHTATL,62.6,,,,63.4
2022-02-05,KXHIGHTATL,45.1,,,,39.7
2022-02-06,KXHIGHTATL,49.6,,,,44.9
2022-02-07,KXHIGHTATL,49.7,,,,50.3
2022-02-08,KXHIGHTATL,54.5,,,,50.7
2022-02-09,KXHIGHTATL,61.4,,,,56.6
2022-02-10,KXHIGHTATL,65.8,,,,61.3
