date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTBOS,49.8,,,,50.5
2022-01-02,KXHIGHTBOS,47.0,,,,44.8
2022-01-03,KXHIGHTBOS,31.6,,,,31.6
2022-01-04,KXHIGHTBOS,30.2,,,,29.5
2022-01-05,KXHIGHTBOS,50.1,,,,47.0
2022-01-06,KXHIGHTBOS,42.6,,,,38.6
2022-01-07,KXHIGHTBOS,31.2,,,,32.4
2022-01-08,KXHIGHTBOS,27.5,,,,26.4
2022-01-09,KXHIGHTBOS,40.3,,,,39.3
2022-01-10,KXHIGHTBOS,37.1,,,,38.1
2022-01-11,KXHIGHTBOS,19.5,,,,23.8
2022-01-12,KXHIGHTBOS,36.7,,,,36.0
2022-01-13,KXHIGHTBOS,45.6,,,,37.8
2022-01-14,KXHIGHTBOS,41.2,,,,38.3
2022-01-15,KXHIGHTBOS,17.6,,,,19.0
2022-01-16,KXHIGHTBOS,28.2,,,,30.1
2022-01-17,KXHIGHTBOS,49.2,,,,45.3
2022-01-18,KXHIGHTBOS,34.7,,,,33.5
2022-01-19,KXHIGHTBOS,44.5,,,,40.8
2022-01-20,KXHIGHTBOS,37.0,,,,36.3
2022-01-21,KXHIGHTBOS,20.9,,,,19.9
2022-01-22,KXHIGHTBOS,25.3,,,,23.2
2022-01-23,KXHIGHTBOS,33.0,,,,31.5
2022-01-24,KXHIGHTBOS,30.7,,,,29.3
2022-01-25,KXHIGHTBOS,40.0,,,,37.0
2022-01-26,KXHIGHTBOS,29.2,,,,28.9
2022-01-27,KXHIGHTBOS,26.3,,,,24.5
2022-01-28,KXHIGHTBOS,35.6,,,,31.9
2022-01-29,KXHIGHTBOS,28.1,,,,31.8
2022-01-30,KXHIGHTBOS,22.0,,,,21.1
2022-01-31,KXHIGHTBOS,29.7,,,,27.0
2022-02-01,KXHIGHTBOS,33.9,,,,35.0
2022-02-02,KXHIGHTBOS,40.4,,,,41.5
2022-02-03,KXHIGHTBOS,41.3,,,,47.0
2022-02-04,KXHIGHTBOS,38.7,,,,39.0
2022-02-05,KXHIGHTBOS,23.9,,,,24.6
2022-02-06,KXHIGHTBOS,26.3,,,,27.4
2022-02-07,KXHIGHTBOS,37.5,,,,39.0
2022-02-08,KXHIGHTBOS,39.7,,,,39.5
2022-02-09,KXHIGHTBOS,42.9,,,,36.2
2022-02-10,KXHIGHTBOS,51.5,,,,47.9
2022-02-11,KXHIGHTBOS,54.4,,,,47.2
2022-02-12,KXHIGHTBOS,60.3,,,,55.8
2022-02-13,KXHIGHTBOS,37.8,,,,35.5
2022-02-14,KXHIGHTBOS,24.4,,,,25.5
2022-02-15,KXHIGHTBOS,26.0,,,,25.6
2022-02-16,KXHIGHTBOS,40.7,,,,41.3
2022-02-17,KXHIGHTBOS,60.9,,,,56.9
2022-02-18,KXHIGHTBOS,60.1,,,,61.7
2022-02-19,KXHIGHTBOS,38.1,,,,34.8
2022-02-20,KXHIGHTBOS,32.0,,,,30.7
2022-02-21,KXHIGHTBOS,56.5,,,,44.4
2022-02-22,KXHIGHTBOS,54.6,,,,54.7
2022-02-23,KXHIGHTBOS,67.5,,,,65.4
2022-02-24,KXHIGHTBOS,33.1,,,,31.4
2022-02-25,KXHIGHTBOS,32.5,,,,33.6
2022-02-26,KXHIGHTBOS,31.4,,,,26.5
2022-02-27,KXHIGHTBOS,37.9,,,,36.6
2022-02-28,KXHIGHTBOS,27.3,,,,28.3
2022-03-01,KXHIGHTBOS,35.7,,,,37.5
2022-03-02,KXHIGHTBOS,43.2,,,,39.2
2022-03-03,KXHIGHTBOS,38.1,,,,36.3
2022-03-04,KXHIGHTBOS,33.8,,,,30.3
2022-03-05,KXHIGHTBOS,42.7,,,,37.5
2022-03-06,KXHIGHTBOS,64.3,,,,59.4
2022-03-07,KXHIGHTBOS,62.2,,,,59.6
2022-03-08,KXHIGHTBOS,54.6,,,,49.1
2022-03-09,KXHIGHTBOS,40.2,,,,38.7
