date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTDC,61.6,,,,60.0
2022-01-02,KXHIGHTDC,62.9,,,,64.7
2022-01-03,KXHIGHTDC,46.0,,,,46.0
2022-01-04,KXHIGHTDC,33.8,,,,31.4
2022-01-05,KXHIGHTDC,39.0,,,,44.9
2022-01-06,KXHIGHTDC,42.4,,,,41.5
2022-01-07,KXHIGHTDC,34.7,,,,32.5
2022-01-08,KXHIGHTDC,32.7,,,,27.5
2022-01-09,KXHIGHTDC,42.8,,,,45.1
2022-01-10,KXHIGHTDC,44.0,,,,41.2
2022-01-11,KXHIGHTDC,28.6,,,,28.2
2022-01-12,KXHIGHTDC,45.5,,,,39.7
2022-01-13,KXHIGHTDC,49.4,,,,42.6
2022-01-14,KXHIGHTDC,46.3,,,,43.6
2022-01-15,KXHIGHTDC,33.8,,,,31.3
2022-01-16,KXHIGHTDC,34.6,,,,42.7
2022-01-17,KXHIGHTDC,40.2,,,,50.3
2022-01-18,KXHIGHTDC,39.1,,,,37.8
2022-01-19,KXHIGHTDC,55.8,,,,47.1
2022-01-20,KXHIGHTDC,47.0,,,,43.2
2022-01-21,KXHIGHTDC,28.6,,,,25.2
2022-01-22,KXHIGHTDC,31.9,,,,25.9
2022-01-23,KXHIGHTDC,39.3,,,,35.5
2022-01-24,KXHIGHTDC,40.1,,,,35.3
2022-01-25,KXHIGHTDC,47.4,,,,44.3
2022-01-26,KXHIGHTDC,32.6,,,,29.7
2022-01-27,KXHIGHTDC,35.2,,,,31.4
2022-01-28,KXHIGHTDC,38.8,,,,35.5
2022-01-29,KXHIGHTDC,30.7,,,,32.4
2022-01-30,KXHIGHTDC,30.9,,,,27.7
2022-01-31,KXHIGHTDC,36.1,,,,32.6
2022-02-01,KXHIGHTDC,41.8,,,,34.1
2022-02-02,KXHIGHTDC,48.5,,,,38.8
2022-02-03,KXHIGHTDC,55.9,,,,57.1
2022-02-04,KXHIGHTDC,59.7,,,,61.9
2022-02-05,KXHIGHTDC,33.3,,,,33.4
2022-02-06,KXHIGHTDC,35.9,,,,31.0
2022-02-07,KXHIGHTDC,43.0,,,,38.3
2022-02-08,KXHIGHTDC,46.5,,,,40.4
2022-02-09,KXHIGHTDC,55.9,,,,48.6
2022-02-10,KXHIGHTDC,59.6,,,,56.0
2022-02-11,KXHIGHTDC,67.2,,,,59.7
2022-02-12,KXHIGHTDC,58.5,,,,56.0
2022-02-13,KXHIGHTDC,47.5,,,,42.3
2022-02-14,KXHIGHTDC,30.0,,,,29.5
2022-02-15,KXHIGHTDC,38.8,,,,34.3
2022-02-16,KXHIGHTDC,53.3,,,,49.4
2022-02-17,KXHIGHTDC,67.0,,,,64.9
2022-02-18,KXHIGHTDC,65.6,,,,63.4
2022-02-19,KXHIGHTDC,46.9,,,,46.4
2022-02-20,KXHIGHTDC,42.6,,,,39.6
2022-02-21,KXHIGHTDC,66.2,,,,55.9
2022-02-22,KXHIGHTDC,66.4,,,,64.9
2022-02-23,KXHIGHTDC,73.0,,,,69.3
2022-02-24,KXHIGHTDC,42.2,,,,44.6
2022-02-25,KXHIGHTDC,55.2,,,,55.0
2022-02-26,KXHIGHTDC,42.4,,,,40.2
2022-02-27,KXHIGHTDC,55.2,,,,50.4
2022-02-28,KXHIGHTDC,49.6,,,,43.3
2022-03-01,KXHIGHTDC,53.3,,,,53.4
2022-03-02,KXHIGHTDC,62.1,,,,56.0
2022-03-03,KXHIGHTDC,54.6,,,,51.0
2022-03-04,KXHIGHTDC,46.1,,,,40.9
2022-03-05,KXHIGHTDC,60.3,,,,53.9
2022-03-06,KXHIGHTDC,78.0,,,,72.1
2022-03-07,KXHIGHTDC,77.8,,,,76.1
2022-03-08,KXHIGHTDC,55.1,,,,56.0
2022-03-09,KXHIGHTDC,44.7,,,,45.8
2022-03-10,KXHIGHTDC,50.6,,,,48.0
2022-03-11,KXHIGHTDC,62.0,,,,55.8
2022-03-12,KXHIGHTDC,48.9,,,,48.8
2022-03-13,KXHIGHTDC,43.2,,,,39.3
2022-03-14,KXHIGHTDC,62.0,,,,54.1
2022-03-15,KXHIGHTDC,71.8,,,,63.1
2022-03-16,KXHIGHTDC,72.4,,,,66.7
2022-03-17,KXHIGHTDC,60.2,,,,58.7
2022-03-18,KXHIGHTDC,74.9,,,,70.1
2022-03-19,KXHIGHTDC,76.4,,,,70.9
2022-03-20,KXHIGHTDC,63.2,,,,60.3
2022-03-21,KXHIGHTDC,70.5,,,,64.1
2022-03-22,KXHIGHTDC,69.6,,,,60.6
2022-03-23,KXHIGHTDC,53.5,,,,57.2
2022-03-24,KXHIGHTDC,55.6,,,,65.5
2022-03-25,KXHIGHTDC,62.2,,,,60.7
2022-03-26,KXHIGHTDC,52.6,,,,52.4
2022-03-27,KXHIGHTDC,42.5,,,,44.0
2022-03-28,KXHIGHTDC,38.3,,,,39.6
2022-03-29,KXHIGHTDC,45.5,,,,41.5
2022-03-30,KXHIGHTDC,59.0,,,,55.0
2022-03-31,KXHIGHTDC,70.9,,,,72.1
2022-04-01,KXHIGHTDC,64.7,,,,62.1
2022-04-02,KXHIGHTDC,57.8,,,,51.5
2022-04-03,KXHIGHTDC,59.0,,,,55.4
2022-04-04,KXHIGHTDC,55.7,,,,52.8
2022-04-05,KXHIGHTDC,53.9,,,,57.7
2022-04-06,KXHIGHTDC,59.9,,,,59.7
2022-04-07,KXHIGHTDC,53.7,,,,53.9
2022-04-08,KXHIGHTDC,63.4,,,,61.1
