date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTHOU,80.6,,,,77.4
2022-01-02,KXHIGHTHOU,72.3,,,,67.0
2022-01-03,KXHIGHTHOU,50.5,,,,47.9
2022-01-04,KXHIGHTHOU,62.4,,,,60.7
2022-01-05,KXHIGHTHOU,71.7,,,,69.3
2022-01-06,KXHIGHTHOU,67.1,,,,65.2
2022-01-07,KXHIGHTHOU,49.6,,,,51.5
2022-01-08,KXHIGHTHOU,73.8,,,,72.2
2022-01-09,KXHIGHTHOU,74.0,,,,74.3
2022-01-10,KXHIGHTHOU,56.6,,,,57.6
2022-01-11,KXHIGHTHOU,54.4,,,,54.9
2022-01-12,KXHIGHTHOU,58.9,,,,59.0
2022-01-13,KXHIGHTHOU,67.2,,,,64.9
2022-01-14,KXHIGHTHOU,69.9,,,,69.8
2022-01-15,KXHIGHTHOU,60.0,,,,61.6
2022-01-16,KXHIGHTHOU,53.0,,,,49.8
2022-01-17,KXHIGHTHOU,63.0,,,,60.6
2022-01-18,KXHIGHTHOU,69.0,,,,69.6
2022-01-19,KXHIGHTHOU,75.3,,,,71.6
2022-01-20,KXHIGHTHOU,57.0,,,,59.2
2022-01-21,KXHIGHTHOU,47.4,,,,46.4
2022-01-22,KXHIGHTHOU,51.3,,,,49.9
2022-01-23,KXHIGHTHOU,56.3,,,,54.0
2022-01-24,KXHIGHTHOU,51.6,,,,50.3
2022-01-25,KXHIGHTHOU,57.4,,,,56.6
2022-01-26,KXHIGHTHOU,54.7,,,,53.9
2022-01-27,KXHIGHTHOU,59.7,,,,58.1
2022-01-28,KXHIGHTHOU,54.5,,,,53.7
2022-01-29,KXHIGHTHOU,59.6,,,,58.6
2022-01-30,KXHIGHTHOU,65.1,,,,62.4
2022-01-31,KXHIGHTHOU,62.3,,,,63.0
2022-02-01,KXHIGHTHOU,66.1,,,,64.8
2022-02-02,KXHIGHTHOU,69.5,,,,69.4
2022-02-03,KXHIGHTHOU,64.1,,,,54.9
2022-02-04,KXHIGHTHOU,32.7,,,,35.7
