date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTLV,47.8,,,,47.1
2022-01-02,KXHIGHTLV,47.3,,,,42.7
2022-01-03,KXHIGHTLV,49.9,,,,47.0
2022-01-04,KXHIGHTLV,54.9,,,,51.9
2022-01-05,KXHIGHTLV,57.5,,,,57.4
2022-01-06,KXHIGHTLV,62.2,,,,59.4
2022-01-07,KXHIGHTLV,63.1,,,,63.0
2022-01-08,KXHIGHTLV,64.3,,,,58.8
2022-01-09,KXHIGHTLV,61.4,,,,56.7
2022-01-10,KXHIGHTLV,60.6,,,,56.0
2022-01-11,KXHIGHTLV,61.4,,,,58.2
2022-01-12,KXHIGHTLV,65.9,,,,60.1
2022-01-13,KXHIGHTLV,64.0,,,,60.7
2022-01-14,KXHIGHTLV,66.5,,,,60.7
2022-01-15,KXHIGHTLV,61.7,,,,56.9
2022-01-16,KXHIGHTLV,62.0,,,,58.4
2022-01-17,KXHIGHTLV,60.8,,,,57.9
2022-01-18,KXHIGHTLV,59.4,,,,54.4
2022-01-19,KXHIGHTLV,63.7,,,,59.4
2022-01-20,KXHIGHTLV,62.1,,,,57.0
2022-01-21,KXHIGHTLV,61.5,,,,56.7
2022-01-22,KXHIGHTLV,62.2,,,,57.9
2022-01-23,KXHIGHTLV,62.5,,,,58.8
2022-01-24,KXHIGHTLV,65.7,,,,60.3
2022-01-25,KXHIGHTLV,60.3,,,,56.8
2022-01-26,KXHIGHTLV,56.1,,,,52.2
2022-01-27,KXHIGHTLV,62.4,,,,57.9
2022-01-28,KXHIGHTLV,60.4,,,,55.4
2022-01-29,KXHIGHTLV,62.2,,,,56.7
2022-01-30,KXHIGHTLV,65.7,,,,61.1
2022-01-31,KXHIGHTLV,57.7,,,,59.7
2022-02-01,KXHIGHTLV,59.6,,,,56.0
2022-02-02,KXHIGHTLV,49.5,,,,46.6
2022-02-03,KXHIGHTLV,53.5,,,,50.2
2022-02-04,KXHIGHTLV,55.8,,,,51.8
2022-02-05,KXHIGHTLV,62.6,,,,59.3
2022-02-06,KXHIGHTLV,65.8,,,,60.8
2022-02-07,KXHIGHTLV,65.3,,,,60.3
2022-02-08,KXHIGHTLV,74.8,,,,68.7
2022-02-09,KXHIGHTLV,75.4,,,,69.6
2022-02-10,KXHIGHTLV,74.2,,,,69.0
2022-02-11,KXHIGHTLV,78.0,,,,72.1
2022-02-12,KXHIGHTLV,72.8,,,,66.5
2022-02-13,KXHIGHTLV,72.0,,,,67.8
2022-02-14,KXHIGHTLV,70.6,,,,68.1
2022-02-15,KXHIGHTLV,65.6,,,,61.7
2022-02-16,KXHIGHTLV,64.2,,,,61.3
2022-02-17,KXHIGHTLV,60.9,,,,57.5
2022-02-18,KXHIGHTLV,67.1,,,,63.0
2022-02-19,KXHIGHTLV,69.9,,,,65.1
2022-02-20,KXHIGHTLV,72.9,,,,70.1
2022-02-21,KXHIGHTLV,66.9,,,,63.6
2022-02-22,KXHIGHTLV,58.4,,,,55.1
2022-02-23,KXHIGHTLV,49.9,,,,50.0
2022-02-24,KXHIGHTLV,50.8,,,,47.8
2022-02-25,KXHIGHTLV,56.0,,,,53.4
2022-02-26,KXHIGHTLV,56.2,,,,54.2
2022-02-27,KXHIGHTLV,63.6,,,,60.2
2022-02-28,KXHIGHTLV,74.8,,,,69.1
2022-03-01,KXHIGHTLV,78.8,,,,72.2
2022-03-02,KXHIGHTLV,79.3,,,,72.8
2022-03-03,KXHIGHTLV,78.9,,,,77.0
2022-03-04,KXHIGHTLV,65.3,,,,61.8
2022-03-05,KXHIGHTLV,55.6,,,,54.7
2022-03-06,KXHIGHTLV,60.2,,,,57.4
2022-03-07,KXHIGHTLV,58.6,,,,55.7
2022-03-08,KXHIGHTLV,61.1,,,,58.1
2022-03-09,KXHIGHTLV,71.2,,,,68.1
2022-03-10,KXHIGHTLV,60.4,,,,55.1
2022-03-11,KXHIGHTLV,62.0,,,,59.2
2022-03-12,KXHIGHTLV,69.0,,,,64.1
2022-03-13,KXHIGHTLV,72.6,,,,70.6
2022-03-14,KXHIGHTLV,70.2,,,,66.6
2022-03-15,KXHIGHTLV,77.4,,,,74.6
2022-03-16,KXHIGHTLV,76.8,,,,72.9
2022-03-17,KXHIGHTLV,69.0,,,,65.8
2022-03-18,KXHIGHTLV,75.2,,,,71.4
2022-03-19,KXHIGHTLV,79.7,,,,76.8
2022-03-20,KXHIGHTLV,70.2,,,,67.1
2022-03-21,KXHIGHTLV,72.2,,,,68.0
2022-03-22,KXHIGHTLV,75.8,,,,73.2
2022-03-23,KXHIGHTLV,76.5,,,,71.7
2022-03-24,KXHIGHTLV,84.2,,,,79.6
2022-03-25,KXHIGHTLV,89.9,,,,84.9
2022-03-26,KXHIGHTLV,92.5,,,,88.0
2022-03-27,KXHIGHTLV,88.5,,,,82.9
2022-03-28,KXHIGHTLV,80.1,,,,75.6
2022-03-29,KXHIGHTLV,74.2,,,,69.1
2022-03-30,KXHIGHTLV,77.4,,,,72.9
2022-03-31,KXHIGHTLV,78.8,,,,73.1
2022-04-01,KXHIGHTLV,80.7,,,,76.0
2022-04-02,KXHIGHTLV,84.8,,,,79.8
2022-04-03,KXHIGHTLV,80.1,,,,75.8
2022-04-04,KXHIGHTLV,87.4,,,,83.1
2022-04-05,KXHIGHTLV,89.1,,,,85.4
