date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTMIN,1.7,,,,2.5
2022-01-02,KXHIGHTMIN,4.1,,,,8.7
2022-01-03,KXHIGHTMIN,25.4,,,,26.7
2022-01-04,KXHIGHTMIN,31.2,,,,34.6
2022-01-05,KXHIGHTMIN,22.5,,,,22.6
2022-01-06,KXHIGHTMIN,3.8,,,,4.5
2022-01-07,KXHIGHTMIN,9.9,,,,8.0
2022-01-08,KXHIGHTMIN,28.3,,,,28.3
2022-01-09,KXHIGHTMIN,10.1,,,,8.6
2022-01-10,KXHIGHTMIN,3.9,,,,2.0
2022-01-11,KXHIGHTMIN,34.8,,,,37.8
2022-01-12,KXHIGHTMIN,37.8,,,,35.1
2022-01-13,KXHIGHTMIN,34.4,,,,34.1
2022-01-14,KXHIGHTMIN,27.0,,,,21.9
2022-01-15,KXHIGHTMIN,17.1,,,,10.1
2022-01-16,KXHIGHTMIN,26.7,,,,31.0
2022-01-17,KXHIGHTMIN,29.3,,,,27.0
2022-01-18,KXHIGHTMIN,41.6,,,,38.7
2022-01-19,KXHIGHTMIN,12.3,,,,14.4
2022-01-20,KXHIGHTMIN,4.8,,,,-2.1
2022-01-21,KXHIGHTMIN,18.2,,,,22.6
2022-01-22,KXHIGHTMIN,23.3,,,,24.2
2022-01-23,KXHIGHTMIN,7.0,,,,11.1
2022-01-24,KXHIGHTMIN,11.8,,,,12.4
2022-01-25,KXHIGHTMIN,4.2,,,,0.7
2022-01-26,KXHIGHTMIN,25.6,,,,29.1
2022-01-27,KXHIGHTMIN,32.0,,,,31.7
2022-01-28,KXHIGHTMIN,13.8,,,,12.0
2022-01-29,KXHIGHTMIN,28.4,,,,25.4
2022-01-30,KXHIGHTMIN,24.0,,,,20.8
2022-01-31,KXHIGHTMIN,28.5,,,,33.5
2022-02-01,KXHIGHTMIN,32.9,,,,37.2
2022-02-02,KXHIGHTMIN,8.3,,,,5.8
2022-02-03,KXHIGHTMIN,5.4,,,,-3.4
2022-02-04,KXHIGHTMIN,9.7,,,,5.9
2022-02-05,KXHIGHTMIN,22.6,,,,26.1
2022-02-06,KXHIGHTMIN,23.9,,,,24.5
2022-02-07,KXHIGHTMIN,20.4,,,,17.3
2022-02-08,KXHIGHTMIN,38.4,,,,42.5
2022-02-09,KXHIGHTMIN,36.7,,,,38.1
2022-02-10,KXHIGHTMIN,39.3,,,,40.6
2022-02-11,KXHIGHTMIN,38.1,,,,42.1
2022-02-12,KXHIGHTMIN,5.1,,,,2.3
2022-02-13,KXHIGHTMIN,8.0,,,,7.7
2022-02-14,KXHIGHTMIN,17.7,,,,9.2
2022-02-15,KXHIGHTMIN,30.0,,,,29.9
2022-02-16,KXHIGHTMIN,27.6,,,,24.9
2022-02-17,KXHIGHTMIN,17.7,,,,13.1
2022-02-18,KXHIGHTMIN,34.4,,,,39.8
2022-02-19,KXHIGHTMIN,23.5,,,,23.8
2022-02-20,KXHIGHTMIN,43.5,,,,46.4
2022-02-21,KXHIGHTMIN,26.8,,,,21.9
2022-02-22,KXHIGHTMIN,15.9,,,,13.6
2022-02-23,KXHIGHTMIN,11.4,,,,3.5
2022-02-24,KXHIGHTMIN,11.8,,,,8.2
2022-02-25,KXHIGHTMIN,18.1,,,,11.5
2022-02-26,KXHIGHTMIN,33.2,,,,34.4
