date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTNOLA,80.8,,,,75.2
2022-01-02,KXHIGHTNOLA,74.7,,,,73.4
2022-01-03,KXHIGHTNOLA,49.2,,,,48.7
2022-01-04,KXHIGHTNOLA,57.2,,,,57.1
2022-01-05,KXHIGHTNOLA,66.6,,,,65.6
2022-01-06,KXHIGHTNOLA,74.5,,,,72.5
2022-01-07,KXHIGHTNOLA,50.9,,,,56.1
2022-01-08,KXHIGHTNOLA,66.8,,,,69.0
2022-01-09,KXHIGHTNOLA,78.8,,,,74.1
2022-01-10,KXHIGHTNOLA,65.9,,,,67.6
2022-01-11,KXHIGHTNOLA,57.5,,,,55.6
2022-01-12,KXHIGHTNOLA,55.6,,,,57.1
2022-01-13,KXHIGHTNOLA,67.1,,,,63.2
2022-01-14,KXHIGHTNOLA,70.3,,,,63.4
2022-01-15,KXHIGHTNOLA,67.6,,,,66.4
2022-01-16,KXHIGHTNOLA,46.6,,,,49.2
2022-01-17,KXHIGHTNOLA,56.2,,,,55.9
2022-01-18,KXHIGHTNOLA,63.1,,,,61.9
2022-01-19,KXHIGHTNOLA,71.6,,,,70.4
2022-01-20,KXHIGHTNOLA,64.1,,,,66.5
2022-01-21,KXHIGHTNOLA,41.5,,,,45.1
2022-01-22,KXHIGHTNOLA,47.4,,,,48.3
2022-01-23,KXHIGHTNOLA,51.0,,,,52.0
2022-01-24,KXHIGHTNOLA,56.7,,,,57.9
2022-01-25,KXHIGHTNOLA,52.4,,,,57.2
2022-01-26,KXHIGHTNOLA,52.7,,,,54.8
2022-01-27,KXHIGHTNOLA,59.9,,,,56.5
2022-01-28,KXHIGHTNOLA,54.6,,,,53.8
2022-01-29,KXHIGHTNOLA,49.0,,,,49.7
2022-01-30,KXHIGHTNOLA,65.4,,,,61.1
2022-01-31,KXHIGHTNOLA,68.8,,,,63.7
2022-02-01,KXHIGHTNOLA,70.0,,,,65.3
2022-02-02,KXHIGHTNOLA,66.8,,,,67.7
2022-02-03,KXHIGHTNOLA,73.5,,,,72.6
2022-02-04,KXHIGHTNOLA,45.4,,,,49.2
2022-02-05,KXHIGHTNOLA,47.8,,,,48.2
2022-02-06,KXHIGHTNOLA,53.7,,,,52.5
2022-02-07,KXHIGHTNOLA,52.3,,,,54.6
2022-02-08,KXHIGHTNOLA,57.2,,,,55.5
2022-02-09,KXHIGHTNOLA,63.0,,,,59.8
2022-02-10,KXHIGHTNOLA,67.6,,,,62.7
2022-02-11,KXHIGHTNOLA,70.0,,,,62.3
2022-02-12,KXHIGHTNOLA,66.9,,,,62.5
2022-02-13,KXHIGHTNOLA,53.7,,,,53.1
2022-02-14,KXHIGHTNOLA,64.2,,,,59.9
2022-02-15,KXHIGHTNOLA,64.1,,,,62.1
2022-02-16,KXHIGHTNOLA,75.4,,,,69.4
2022-02-17,KXHIGHTNOLA,76.4,,,,72.7
2022-02-18,KXHIGHTNOLA,66.6,,,,67.1
2022-02-19,KXHIGHTNOLA,63.0,,,,58.3
2022-02-20,KXHIGHTNOLA,69.2,,,,63.7
2022-02-21,KXHIGHTNOLA,75.8,,,,69.6
2022-02-22,KXHIGHTNOLA,79.4,,,,72.5
2022-02-23,KXHIGHTNOLA,79.8,,,,71.2
2022-02-24,KXHIGHTNOLA,79.7,,,,70.9
2022-02-25,KXHIGHTNOLA,71.3,,,,66.8
2022-02-26,KXHIGHTNOLA,61.2,,,,61.3
2022-02-27,KXHIGHTNOLA,61.6,,,,61.7
2022-02-28,KXHIGHTNOLA,64.2,,,,60.4
2022-03-01,KXHIGHTNOLA,68.5,,,,63.5
2022-03-02,KXHIGHTNOLA,75.9,,,,67.6
2022-03-03,KXHIGHTNOLA,73.6,,,,68.1
2022-03-04,KXHIGHTNOLA,76.9,,,,63.5
2022-03-05,KXHIGHTNOLA,79.9,,,,73.1
2022-03-06,KXHIGHTNOLA,80.0,,,,74.1
2022-03-07,KXHIGHTNOLA,80.2,,,,75.5
2022-03-08,KXHIGHTNOLA,66.1,,,,69.0
2022-03-09,KXHIGHTNOLA,65.3,,,,65.5
2022-03-10,KXHIGHTNOLA,69.9,,,,64.4
2022-03-11,KXHIGHTNOLA,73.0,,,,68.9
2022-03-12,KXHIGHTNOLA,57.9,,,,56.8
2022-03-13,KXHIGHTNOLA,58.3,,,,56.6
2022-03-14,KXHIGHTNOLA,69.7,,,,66.4
2022-03-15,KXHIGHTNOLA,72.8,,,,71.0
2022-03-16,KXHIGHTNOLA,66.4,,,,66.4
2022-03-17,KXHIGHTNOLA,74.1,,,,68.0
2022-03-18,KXHIGHTNOLA,86.2,,,,75.2
2022-03-19,KXHIGHTNOLA,71.3,,,,65.3
2022-03-20,KXHIGHTNOLA,73.3,,,,66.2
2022-03-21,KXHIGHTNOLA,77.1,,,,69.8
2022-03-22,KXHIGHTNOLA,79.2,,,,74.2
2022-03-23,KXHIGHTNOLA,68.0,,,,66.5
2022-03-24,KXHIGHTNOLA,74.0,,,,68.6
2022-03-25,KXHIGHTNOLA,74.2,,,,69.1
2022-03-26,KXHIGHTNOLA,79.2,,,,71.3
2022-03-27,KXHIGHTNOLA,81.4,,,,74.3
2022-03-28,KXHIGHTNOLA,80.2,,,,73.4
2022-03-29,KXHIGHTNOLA,81.2,,,,74.3
2022-03-30,KXHIGHTNOLA,80.1,,,,75.3
2022-03-31,KXHIGHTNOLA,72.5,,,,69.3
2022-04-01,KXHIGHTNOLA,75.0,,,,68.9
2022-04-02,KXHIGHTNOLA,73.4,,,,68.9
2022-04-03,KXHIGHTNOLA,79.9,,,,71.9
2022-04-04,KXHIGHTNOLA,79.7,,,,72.2
2022-04-05,KXHIGHTNOLA,79.9,,,,75.2
2022-04-06,KXHIGHTNOLA,87.5,,,,77.6
2022-04-07,KXHIGHTNOLA,74.0,,,,68.9
2022-04-08,KXHIGHTNOLA,70.0,,,,66.9
2022-04-09,KXHIGHTNOLA,72.8,,,,69.0
2022-04-10,KXHIGHTNOLA,76.5,,,,72.5
2022-04-11,KXHIGHTNOLA,74.0,,,,74.6
2022-04-12,KXHIGHTNOLA,80.6,,,,76.0
2022-04-13,KXHIGHTNOLA,82.5,,,,77.4
2022-04-14,KXHIGHTNOLA,75.5,,,,71.9
2022-04-15,KXHIGHTNOLA,78.5,,,,72.3
2022-04-16,KXHIGHTNOLA,85.7,,,,76.6
2022-04-17,KXHIGHTNOLA,83.9,,,,76.8
2022-04-18,KXHIGHTNOLA,72.8,,,,71.7
2022-04-19,KXHIGHTNOLA,71.7,,,,66.2
2022-04-20,KXHIGHTNOLA,77.0,,,,73.5
2022-04-21,KXHIGHTNOLA,84.1,,,,77.0
2022-04-22,KXHIGHTNOLA,82.0,,,,75.2
2022-04-23,KXHIGHTNOLA,82.1,,,,76.5
2022-04-24,KXHIGHTNOLA,83.0,,,,77.0
2022-04-25,KXHIGHTNOLA,83.7,,,,77.0
2022-04-26,KXHIGHTNOLA,76.6,,,,74.0
2022-04-27,KXHIGHTNOLA,80.3,,,,75.8
2022-04-28,KXHIGHTNOLA,82.5,,,,77.1
2022-04-29,KXHIGHTNOLA,83.1,,,,78.7
2022-04-30,KXHIGHTNOLA,86.1,,,,79.4
2022-05-01,KXHIGHTNOLA,84.1,,,,79.1
2022-05-02,KXHIGHTNOLA,84.7,,,,79.1
2022-05-03,KXHIGHTNOLA,86.1,,,,79.3
2022-05-04,KXHIGHTNOLA,87.5,,,,80.1
2022-05-05,KXHIGHTNOLA,86.6,,,,81.6
2022-05-06,KXHIGHTNOLA,84.6,,,,83.3
2022-05-07,KXHIGHTNOLA,83.7,,,,81.6
2022-05-08,KXHIGHTNOLA,85.8,,,,79.8
2022-05-09,KXHIGHTNOLA,85.7,,,,82.3
2022-05-10,KXHIGHTNOLA,83.9,,,,80.6
2022-05-11,KXHIGHTNOLA,87.3,,,,82.5
2022-05-12,KXHIGHTNOLA,89.6,,,,85.1
2022-05-13,KXHIGHTNOLA,87.7,,,,79.5
2022-05-14,KXHIGHTNOLA,87.8,,,,82.4
2022-05-15,KXHIGHTNOLA,86.6,,,,81.8
2022-05-16,KXHIGHTNOLA,90.2,,,,83.1
2022-05-17,KXHIGHTNOLA,91.4,,,,84.6
2022-05-18,KXHIGHTNOLA,90.7,,,,84.7
2022-05-19,KXHIGHTNOLA,88.6,,,,84.3
2022-05-20,KXHIGHTNOLA,87.7,,,,84.2
2022-05-21,KXHIGHTNOLA,88.6,,,,80.0
2022-05-22,KXHIGHTNOLA,84.6,,,,80.3
2022-05-23,KXHIGHTNOLA,82.5,,,,79.6
2022-05-24,KXHIGHTNOLA,86.5,,,,81.4
2022-05-25,KXHIGHTNOLA,84.4,,,,78.2
2022-05-26,KXHIGHTNOLA,82.3,,,,83.3
2022-05-27,KXHIGHTNOLA,89.1,,,,83.9
2022-05-28,KXHIGHTNOLA,85.0,,,,81.5
2022-05-29,KXHIGHTNOLA,87.6,,,,82.5
2022-05-30,KXHIGHTNOLA,88.4,,,,82.8
2022-05-31,KXHIGHTNOLA,88.0,,,,82.4
2022-06-01,KXHIGHTNOLA,87.1,,,,82.7
2022-06-02,KXHIGHTNOLA,91.1,,,,84.5
2022-06-03,KXHIGHTNOLA,90.0,,,,84.4
2022-06-04,KXHIGHTNOLA,89.3,,,,85.1
2022-06-05,KXHIGHTNOLA,87.3,,,,83.3
2022-06-06,KXHIGHTNOLA,90.5,,,,83.9
