date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTOKC,57.6,,,,58.2
2022-01-02,KXHIGHTOKC,28.5,,,,30.1
2022-01-03,KXHIGHTOKC,53.4,,,,43.6
2022-01-04,KXHIGHTOKC,56.6,,,,51.1
2022-01-05,KXHIGHTOKC,45.3,,,,44.2
2022-01-06,KXHIGHTOKC,28.1,,,,31.5
2022-01-07,KXHIGHTOKC,37.7,,,,33.4
2022-01-08,KXHIGHTOKC,53.3,,,,56.1
2022-01-09,KXHIGHTOKC,53.5,,,,48.2
2022-01-10,KXHIGHTOKC,54.5,,,,44.9
2022-01-11,KXHIGHTOKC,60.8,,,,51.9
2022-01-12,KXHIGHTOKC,61.3,,,,52.8
2022-01-13,KXHIGHTOKC,67.3,,,,56.8
2022-01-14,KXHIGHTOKC,62.8,,,,59.2
2022-01-15,KXHIGHTOKC,38.9,,,,41.0
2022-01-16,KXHIGHTOKC,51.8,,,,44.1
2022-01-17,KXHIGHTOKC,60.5,,,,51.7
2022-01-18,KXHIGHTOKC,64.1,,,,56.3
2022-01-19,KXHIGHTOKC,43.6,,,,45.2
2022-01-20,KXHIGHTOKC,25.3,,,,23.9
2022-01-21,KXHIGHTOKC,39.6,,,,31.6
2022-01-22,KXHIGHTOKC,50.2,,,,39.4
2022-01-23,KXHIGHTOKC,58.5,,,,49.4
2022-01-24,KXHIGHTOKC,66.4,,,,55.9
2022-01-25,KXHIGHTOKC,46.3,,,,45.4
2022-01-26,KXHIGHTOKC,37.6,,,,31.4
2022-01-27,KXHIGHTOKC,39.4,,,,40.0
2022-01-28,KXHIGHTOKC,51.1,,,,45.8
2022-01-29,KXHIGHTOKC,68.0,,,,57.0
2022-01-30,KXHIGHTOKC,65.7,,,,54.2
2022-01-31,KXHIGHTOKC,71.1,,,,60.9
2022-02-01,KXHIGHTOKC,61.3,,,,58.4
2022-02-02,KXHIGHTOKC,42.2,,,,43.0
2022-02-03,KXHIGHTOKC,16.6,,,,21.0
2022-02-04,KXHIGHTOKC,32.2,,,,28.0
2022-02-05,KXHIGHTOKC,42.1,,,,39.5
2022-02-06,KXHIGHTOKC,50.3,,,,42.5
2022-02-07,KXHIGHTOKC,57.5,,,,49.5
2022-02-08,KXHIGHTOKC,65.0,,,,56.1
2022-02-09,KXHIGHTOKC,67.8,,,,58.5
2022-02-10,KXHIGHTOKC,61.1,,,,53.5
2022-02-11,KXHIGHTOKC,62.7,,,,56.8
2022-02-12,KXHIGHTOKC,47.0,,,,46.5
2022-02-13,KXHIGHTOKC,55.7,,,,49.4
2022-02-14,KXHIGHTOKC,71.2,,,,61.2
2022-02-15,KXHIGHTOKC,68.5,,,,61.1
2022-02-16,KXHIGHTOKC,73.0,,,,65.7
2022-02-17,KXHIGHTOKC,61.5,,,,62.3
2022-02-18,KXHIGHTOKC,49.7,,,,45.2
2022-02-19,KXHIGHTOKC,61.9,,,,56.6
2022-02-20,KXHIGHTOKC,69.6,,,,61.2
2022-02-21,KXHIGHTOKC,71.4,,,,68.2
