date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTPHX,56.8,,,,54.3
2022-01-02,KXHIGHTPHX,59.4,,,,57.1
2022-01-03,KXHIGHTPHX,66.0,,,,60.4
2022-01-04,KXHIGHTPHX,65.5,,,,61.2
2022-01-05,KXHIGHTPHX,65.9,,,,62.0
2022-01-06,KXHIGHTPHX,66.4,,,,64.1
2022-01-07,KXHIGHTPHX,70.8,,,,67.0
2022-01-08,KXHIGHTPHX,67.1,,,,64.9
2022-01-09,KXHIGHTPHX,73.8,,,,69.5
2022-01-10,KXHIGHTPHX,73.4,,,,70.1
2022-01-11,KXHIGHTPHX,71.8,,,,69.3
2022-01-12,KXHIGHTPHX,69.4,,,,69.0
2022-01-13,KXHIGHTPHX,70.9,,,,68.2
2022-01-14,KXHIGHTPHX,70.1,,,,68.4
2022-01-15,KXHIGHTPHX,70.8,,,,69.8
2022-01-16,KXHIGHTPHX,72.9,,,,69.9
2022-01-17,KXHIGHTPHX,70.9,,,,68.9
2022-01-18,KXHIGHTPHX,69.7,,,,66.7
2022-01-19,KXHIGHTPHX,69.1,,,,65.7
2022-01-20,KXHIGHTPHX,71.1,,,,69.1
2022-01-21,KXHIGHTPHX,69.7,,,,67.0
2022-01-22,KXHIGHTPHX,68.5,,,,67.1
2022-01-23,KXHIGHTPHX,70.1,,,,67.9
2022-01-24,KXHIGHTPHX,68.0,,,,66.4
2022-01-25,KXHIGHTPHX,68.9,,,,66.4
2022-01-26,KXHIGHTPHX,67.5,,,,65.4
2022-01-27,KXHIGHTPHX,67.2,,,,66.9
2022-01-28,KXHIGHTPHX,70.9,,,,69.6
2022-01-29,KXHIGHTPHX,72.5,,,,71.6
2022-01-30,KXHIGHTPHX,73.0,,,,70.0
2022-01-31,KXHIGHTPHX,70.0,,,,68.2
2022-02-01,KXHIGHTPHX,67.8,,,,66.8
2022-02-02,KXHIGHTPHX,60.1,,,,59.7
2022-02-03,KXHIGHTPHX,57.5,,,,56.5
2022-02-04,KXHIGHTPHX,63.9,,,,63.3
2022-02-05,KXHIGHTPHX,66.2,,,,66.2
2022-02-06,KXHIGHTPHX,71.8,,,,70.5
2022-02-07,KXHIGHTPHX,71.5,,,,70.3
2022-02-08,KXHIGHTPHX,74.5,,,,74.6
2022-02-09,KXHIGHTPHX,79.0,,,,76.3
2022-02-10,KXHIGHTPHX,81.7,,,,78.5
2022-02-11,KXHIGHTPHX,79.9,,,,78.0
2022-02-12,KXHIGHTPHX,80.6,,,,79.6
2022-02-13,KXHIGHTPHX,81.4,,,,79.7
2022-02-14,KXHIGHTPHX,81.2,,,,78.4
2022-02-15,KXHIGHTPHX,78.7,,,,75.6
2022-02-16,KXHIGHTPHX,62.3,,,,59.2
2022-02-17,KXHIGHTPHX,66.8,,,,64.7
2022-02-18,KXHIGHTPHX,70.8,,,,69.1
2022-02-19,KXHIGHTPHX,78.0,,,,76.6
2022-02-20,KXHIGHTPHX,79.3,,,,75.6
2022-02-21,KXHIGHTPHX,70.2,,,,67.8
2022-02-22,KXHIGHTPHX,64.6,,,,62.4
2022-02-23,KXHIGHTPHX,55.0,,,,57.0
2022-02-24,KXHIGHTPHX,57.4,,,,54.5
2022-02-25,KXHIGHTPHX,65.1,,,,62.5
2022-02-26,KXHIGHTPHX,68.4,,,,67.3
2022-02-27,KXHIGHTPHX,73.1,,,,71.6
2022-02-28,KXHIGHTPHX,81.0,,,,79.3
2022-03-01,KXHIGHTPHX,83.3,,,,81.4
2022-03-02,KXHIGHTPHX,86.5,,,,83.9
2022-03-03,KXHIGHTPHX,87.2,,,,83.3
2022-03-04,KXHIGHTPHX,76.1,,,,68.5
2022-03-05,KXHIGHTPHX,69.7,,,,66.4
2022-03-06,KXHIGHTPHX,62.7,,,,59.9
2022-03-07,KXHIGHTPHX,67.6,,,,65.3
2022-03-08,KXHIGHTPHX,65.6,,,,63.9
2022-03-09,KXHIGHTPHX,70.9,,,,69.0
