date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTSATX,78.5,,,,76.4
2022-01-02,KXHIGHTSATX,63.8,,,,60.7
2022-01-03,KXHIGHTSATX,56.7,,,,51.5
2022-01-04,KXHIGHTSATX,69.0,,,,59.0
2022-01-05,KXHIGHTSATX,79.2,,,,68.1
2022-01-06,KXHIGHTSATX,68.8,,,,67.9
2022-01-07,KXHIGHTSATX,44.6,,,,48.6
2022-01-08,KXHIGHTSATX,59.8,,,,60.8
2022-01-09,KXHIGHTSATX,69.8,,,,66.9
2022-01-10,KXHIGHTSATX,60.8,,,,55.0
2022-01-11,KXHIGHTSATX,52.4,,,,52.2
2022-01-12,KXHIGHTSATX,65.9,,,,58.2
2022-01-13,KXHIGHTSATX,77.7,,,,68.3
2022-01-14,KXHIGHTSATX,78.0,,,,69.7
2022-01-15,KXHIGHTSATX,60.9,,,,59.6
2022-01-16,KXHIGHTSATX,66.2,,,,59.8
2022-01-17,KXHIGHTSATX,71.5,,,,63.9
2022-01-18,KXHIGHTSATX,76.8,,,,66.2
2022-01-19,KXHIGHTSATX,79.0,,,,70.2
2022-01-20,KXHIGHTSATX,56.0,,,,53.8
2022-01-21,KXHIGHTSATX,53.2,,,,47.5
2022-01-22,KXHIGHTSATX,55.8,,,,50.4
2022-01-23,KXHIGHTSATX,58.2,,,,53.8
2022-01-24,KXHIGHTSATX,54.5,,,,57.2
2022-01-25,KXHIGHTSATX,58.3,,,,57.0
2022-01-26,KXHIGHTSATX,56.3,,,,53.2
2022-01-27,KXHIGHTSATX,62.9,,,,57.2
2022-01-28,KXHIGHTSATX,60.7,,,,56.1
2022-01-29,KXHIGHTSATX,66.3,,,,60.1
2022-01-30,KXHIGHTSATX,70.6,,,,62.6
2022-01-31,KXHIGHTSATX,60.8,,,,64.6
2022-02-01,KXHIGHTSATX,74.9,,,,65.7
2022-02-02,KXHIGHTSATX,63.3,,,,63.1
2022-02-03,KXHIGHTSATX,40.5,,,,40.2
2022-02-04,KXHIGHTSATX,43.5,,,,39.8
2022-02-05,KXHIGHTSATX,54.5,,,,47.0
2022-02-06,KXHIGHTSATX,62.7,,,,55.4
2022-02-07,KXHIGHTSATX,63.7,,,,58.4
2022-02-08,KXHIGHTSATX,67.6,,,,61.7
2022-02-09,KXHIGHTSATX,73.6,,,,66.1
2022-02-10,KXHIGHTSATX,73.5,,,,66.4
2022-02-11,KXHIGHTSATX,77.4,,,,69.5
2022-02-12,KXHIGHTSATX,60.5,,,,61.1
2022-02-13,KXHIGHTSATX,65.5,,,,60.7
2022-02-14,KXHIGHTSATX,70.2,,,,63.4
2022-02-15,KXHIGHTSATX,75.7,,,,68.3
2022-02-16,KXHIGHTSATX,81.6,,,,74.2
2022-02-17,KXHIGHTSATX,76.7,,,,71.4
2022-02-18,KXHIGHTSATX,63.2,,,,59.1
2022-02-19,KXHIGHTSATX,67.5,,,,61.3
2022-02-20,KXHIGHTSATX,74.1,,,,67.6
2022-02-21,KXHIGHTSATX,85.8,,,,78.4
2022-02-22,KXHIGHTSATX,85.5,,,,80.2
2022-02-23,KXHIGHTSATX,59.4,,,,60.7
2022-02-24,KXHIGHTSATX,40.4,,,,42.8
2022-02-25,KXHIGHTSATX,40.8,,,,42.1
2022-02-26,KXHIGHTSATX,42.3,,,,43.9
2022-02-27,KXHIGHTSATX,63.5,,,,58.8
2022-02-28,KXHIGHTSATX,68.9,,,,63.3
2022-03-01,KXHIGHTSATX,74.3,,,,66.5
2022-03-02,KXHIGHTSATX,75.8,,,,68.3
2022-03-03,KXHIGHTSATX,79.7,,,,72.7
2022-03-04,KXHIGHTSATX,82.0,,,,73.3
2022-03-05,KXHIGHTSATX,80.9,,,,74.3
2022-03-06,KXHIGHTSATX,82.4,,,,77.7
2022-03-07,KXHIGHTSATX,72.6,,,,71.6
2022-03-08,KXHIGHTSATX,61.9,,,,55.3
2022-03-09,KXHIGHTSATX,65.5,,,,60.0
2022-03-10,KXHIGHTSATX,75.5,,,,67.9
2022-03-11,KXHIGHTSATX,65.1,,,,63.0
2022-03-12,KXHIGHTSATX,59.2,,,,54.4
