date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTSEA,32.8,,,,34.4
2022-01-02,KXHIGHTSEA,38.2,,,,43.3
2022-01-03,KXHIGHTSEA,38.5,,,,39.1
2022-01-04,KXHIGHTSEA,40.0,,,,40.6
2022-01-05,KXHIGHTSEA,36.9,,,,34.9
2022-01-06,KXHIGHTSEA,49.1,,,,50.9
2022-01-07,KXHIGHTSEA,46.8,,,,47.5
2022-01-08,KXHIGHTSEA,43.3,,,,43.5
2022-01-09,KXHIGHTSEA,47.7,,,,43.2
2022-01-10,KXHIGHTSEA,43.4,,,,44.9
2022-01-11,KXHIGHTSEA,50.7,,,,51.9
2022-01-12,KXHIGHTSEA,54.7,,,,56.1
2022-01-13,KXHIGHTSEA,52.9,,,,51.8
2022-01-14,KXHIGHTSEA,49.4,,,,49.0
2022-01-15,KXHIGHTSEA,43.2,,,,47.3
2022-01-16,KXHIGHTSEA,42.1,,,,46.0
2022-01-17,KXHIGHTSEA,45.6,,,,48.2
2022-01-18,KXHIGHTSEA,46.2,,,,48.8
2022-01-19,KXHIGHTSEA,48.0,,,,49.4
2022-01-20,KXHIGHTSEA,51.1,,,,51.5
2022-01-21,KXHIGHTSEA,46.7,,,,47.0
2022-01-22,KXHIGHTSEA,43.8,,,,41.8
2022-01-23,KXHIGHTSEA,39.5,,,,47.4
2022-01-24,KXHIGHTSEA,39.0,,,,46.3
2022-01-25,KXHIGHTSEA,41.3,,,,45.5
2022-01-26,KXHIGHTSEA,39.0,,,,45.8
2022-01-27,KXHIGHTSEA,45.6,,,,49.1
2022-01-28,KXHIGHTSEA,48.2,,,,47.0
2022-01-29,KXHIGHTSEA,49.3,,,,47.9
2022-01-30,KXHIGHTSEA,47.4,,,,48.1
2022-01-31,KXHIGHTSEA,45.2,,,,45.0
2022-02-01,KXHIGHTSEA,41.8,,,,43.5
2022-02-02,KXHIGHTSEA,39.9,,,,43.0
2022-02-03,KXHIGHTSEA,45.8,,,,48.6
2022-02-04,KXHIGHTSEA,46.4,,,,46.9
2022-02-05,KXHIGHTSEA,46.6,,,,48.3
2022-02-06,KXHIGHTSEA,47.8,,,,53.3
2022-02-07,KXHIGHTSEA,50.2,,,,51.7
2022-02-08,KXHIGHTSEA,47.6,,,,47.9
2022-02-09,KXHIGHTSEA,52.7,,,,53.3
2022-02-10,KXHIGHTSEA,48.3,,,,48.1
2022-02-11,KXHIGHTSEA,49.5,,,,50.3
2022-02-12,KXHIGHTSEA,53.4,,,,54.2
2022-02-13,KXHIGHTSEA,55.0,,,,56.8
2022-02-14,KXHIGHTSEA,46.8,,,,48.3
2022-02-15,KXHIGHTSEA,47.5,,,,46.9
2022-02-16,KXHIGHTSEA,49.3,,,,49.6
2022-02-17,KXHIGHTSEA,45.2,,,,48.6
2022-02-18,KXHIGHTSEA,48.6,,,,50.5
2022-02-19,KXHIGHTSEA,45.5,,,,47.4
2022-02-20,KXHIGHTSEA,46.1,,,,44.6
2022-02-21,KXHIGHTSEA,41.4,,,,43.2
2022-02-22,KXHIGHTSEA,34.1,,,,37.4
2022-02-23,KXHIGHTSEA,35.9,,,,36.1
2022-02-24,KXHIGHTSEA,38.7,,,,40.3
2022-02-25,KXHIGHTSEA,45.5,,,,45.8
2022-02-26,KXHIGHTSEA,48.5,,,,47.9
2022-02-27,KXHIGHTSEA,47.6,,,,50.5
2022-02-28,KXHIGHTSEA,52.4,,,,55.1
2022-03-01,KXHIGHTSEA,56.8,,,,57.1
2022-03-02,KXHIGHTSEA,51.0,,,,53.8
2022-03-03,KXHIGHTSEA,47.9,,,,48.8
2022-03-04,KXHIGHTSEA,47.2,,,,48.6
2022-03-05,KXHIGHTSEA,49.4,,,,50.7
2022-03-06,KXHIGHTSEA,49.5,,,,53.3
2022-03-07,KXHIGHTSEA,46.5,,,,48.8
2022-03-08,KXHIGHTSEA,47.6,,,,48.0
2022-03-09,KXHIGHTSEA,45.5,,,,47.0
2022-03-10,KXHIGHTSEA,44.6,,,,47.8
2022-03-11,KXHIGHTSEA,47.3,,,,53.4
2022-03-12,KXHIGHTSEA,53.9,,,,54.6
2022-03-13,KXHIGHTSEA,51.9,,,,51.3
2022-03-14,KXHIGHTSEA,47.3,,,,47.0
2022-03-15,KXHIGHTSEA,50.3,,,,51.5
2022-03-16,KXHIGHTSEA,52.1,,,,52.6
2022-03-17,KXHIGHTSEA,49.7,,,,49.7
2022-03-18,KXHIGHTSEA,53.9,,,,54.6
2022-03-19,KXHIGHTSEA,46.3,,,,50.2
2022-03-20,KXHIGHTSEA,46.5,,,,46.8
2022-03-21,KXHIGHTSEA,49.2,,,,49.3
2022-03-22,KXHIGHTSEA,62.4,,,,63.0
2022-03-23,KXHIGHTSEA,54.4,,,,54.7
2022-03-24,KXHIGHTSEA,53.7,,,,56.7
2022-03-25,KXHIGHTSEA,57.3,,,,58.3
2022-03-26,KXHIGHTSEA,57.0,,,,59.2
2022-03-27,KXHIGHTSEA,61.6,,,,65.5
2022-03-28,KXHIGHTSEA,52.5,,,,56.0
2022-03-29,KXHIGHTSEA,56.8,,,,57.5
2022-03-30,KXHIGHTSEA,52.4,,,,53.4
2022-03-31,KXHIGHTSEA,51.4,,,,52.0
