date,ticker,fcst_gfs_seamless,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless
2022-01-01,KXHIGHTSFO,50.2,,,,51.0
2022-01-02,KXHIGHTSFO,50.0,,,,52.0
2022-01-03,KXHIGHTSFO,53.4,,,,54.5
2022-01-04,KXHIGHTSFO,57.0,,,,57.8
2022-01-05,KXHIGHTSFO,57.3,,,,57.6
2022-01-06,KXHIGHTSFO,53.7,,,,55.1
2022-01-07,KXHIGHTSFO,55.1,,,,55.6
2022-01-08,KXHIGHTSFO,54.2,,,,56.3
2022-01-09,KXHIGHTSFO,56.7,,,,56.8
2022-01-10,KXHIGHTSFO,59.1,,,,61.2
2022-01-11,KXHIGHTSFO,58.9,,,,62.1
2022-01-12,KXHIGHTSFO,60.8,,,,61.2
2022-01-13,KXHIGHTSFO,59.6,,,,58.7
2022-01-14,KXHIGHTSFO,61.3,,,,62.1
2022-01-15,KXHIGHTSFO,60.0,,,,61.5
2022-01-16,KXHIGHTSFO,59.3,,,,60.1
2022-01-17,KXHIGHTSFO,59.1,,,,60.2
2022-01-18,KXHIGHTSFO,55.5,,,,54.9
2022-01-19,KXHIGHTSFO,58.6,,,,59.4
2022-01-20,KXHIGHTSFO,60.9,,,,61.4
2022-01-21,KXHIGHTSFO,69.1,,,,62.9
2022-01-22,KXHIGHTSFO,69.2,,,,64.9
2022-01-23,KXHIGHTSFO,64.4,,,,61.9
2022-01-24,KXHIGHTSFO,61.3,,,,55.9
2022-01-25,KXHIGHTSFO,57.1,,,,59.1
2022-01-26,KXHIGHTSFO,59.7,,,,61.1
2022-01-27,KXHIGHTSFO,64.0,,,,62.4
2022-01-28,KXHIGHTSFO,64.0,,,,61.8
2022-01-29,KXHIGHTSFO,62.6,,,,60.9
2022-01-30,KXHIGHTSFO,58.1,,,,55.7
2022-01-31,KXHIGHTSFO,60.0,,,,59.8
2022-02-01,KXHIGHTSFO,61.2,,,,58.6
2022-02-02,KXHIGHTSFO,62.7,,,,59.9
2022-02-03,KXHIGHTSFO,64.4,,,,61.2
2022-02-04,KXHIGHTSFO,62.7,,,,62.6
2022-02-05,KXHIGHTSFO,64.2,,,,61.1
2022-02-06,KXHIGHTSFO,66.3,,,,65.5
2022-02-07,KXHIGHTSFO,67.7,,,,66.7
2022-02-08,KXHIGHTSFO,70.3,,,,68.1
2022-02-09,KXHIGHTSFO,72.3,,,,72.4
2022-02-10,KXHIGHTSFO,77.3,,,,73.4
2022-02-11,KXHIGHTSFO,76.7,,,,72.9
2022-02-12,KXHIGHTSFO,75.2,,,,72.4
2022-02-13,KXHIGHTSFO,75.8,,,,70.7
2022-02-14,KXHIGHTSFO,54.6,,,,55.3
2022-02-15,KXHIGHTSFO,60.9,,,,60.0
2022-02-16,KXHIGHTSFO,67.3,,,,68.0
2022-02-17,KXHIGHTSFO,67.6,,,,66.3
2022-02-18,KXHIGHTSFO,66.5,,,,64.0
2022-02-19,KXHIGHTSFO,69.9,,,,66.8
2022-02-20,KXHIGHTSFO,57.0,,,,58.0
2022-02-21,KXHIGHTSFO,58.1,,,,52.7
2022-02-22,KXHIGHTSFO,52.3,,,,49.9
2022-02-23,KXHIGHTSFO,54.7,,,,54.1
2022-02-24,KXHIGHTSFO,57.0,,,,53.3
2022-02-25,KXHIGHTSFO,60.2,,,,57.9
2022-02-26,KXHIGHTSFO,57.8,,,,59.4
2022-02-27,KXHIGHTSFO,67.6,,,,63.8
2022-02-28,KXHIGHTSFO,71.2,,,,66.5
2022-03-01,KXHIGHTSFO,68.8,,,,64.4
2022-03-02,KXHIGHTSFO,65.8,,,,60.1
2022-03-03,KXHIGHTSFO,57.1,,,,58.9
2022-03-04,KXHIGHTSFO,57.8,,,,53.5
2022-03-05,KXHIGHTSFO,57.3,,,,55.9
2022-03-06,KXHIGHTSFO,60.0,,,,57.8
2022-03-07,KXHIGHTSFO,68.7,,,,66.5
2022-03-08,KXHIGHTSFO,72.6,,,,68.4
2022-03-09,KXHIGHTSFO,64.5,,,,60.7
2022-03-10,KXHIGHTSFO,68.4,,,,66.5
2022-03-11,KXHIGHTSFO,71.1,,,,65.5
2022-03-12,KXHIGHTSFO,60.4,,,,53.3
2022-03-13,KXHIGHTSFO,61.7,,,,59.2
2022-03-14,KXHIGHTSFO,68.2,,,,61.8
2022-03-15,KXHIGHTSFO,65.8,,,,63.3
2022-03-16,KXHIGHTSFO,65.8,,,,64.9
2022-03-17,KXHIGHTSFO,60.0,,,,59.8
2022-03-18,KXHIGHTSFO,65.4,,,,62.5
2022-03-19,KXHIGHTSFO,56.0,,,,54.6
2022-03-20,KXHIGHTSFO,64.2,,,,63.5
2022-03-21,KXHIGHTSFO,69.9,,,,68.9
2022-03-22,KXHIGHTSFO,81.1,,,,75.0
2022-03-23,KXHIGHTSFO,62.1,,,,66.1
2022-03-24,KXHIGHTSFO,60.2,,,,62.1
2022-03-25,KXHIGHTSFO,60.9,,,,64.3
2022-03-26,KXHIGHTSFO,63.6,,,,60.8
2022-03-27,KXHIGHTSFO,63.9,,,,56.9
2022-03-28,KXHIGHTSFO,60.6,,,,60.2
2022-03-29,KXHIGHTSFO,57.8,,,,59.5
2022-03-30,KXHIGHTSFO,60.6,,,,60.6
2022-03-31,KXHIGHTSFO,64.9,,,,61.9
2022-04-01,KXHIGHTSFO,67.8,,,,65.9
2022-04-02,KXHIGHTSFO,72.4,,,,71.3
2022-04-03,KXHIGHTSFO,66.2,,,,64.4
2022-04-04,KXHIGHTSFO,63.3,,,,63.3
2022-04-05,KXHIGHTSFO,68.8,,,,68.0
2022-04-06,KXHIGHTSFO,80.1,,,,79.1
2022-04-07,KXHIGHTSFO,89.2,,,,86.3
2022-04-08,KXHIGHTSFO,75.0,,,,72.7
2022-04-09,KXHIGHTSFO,69.9,,,,69.4
2022-04-10,KXHIGHTSFO,66.6,,,,64.1
2022-04-11,KXHIGHTSFO,56.5,,,,54.3
2022-04-12,KXHIGHTSFO,57.3,,,,54.8
2022-04-13,KXHIGHTSFO,57.4,,,,56.0
2022-04-14,KXHIGHTSFO,58.1,,,,55.9
2022-04-15,KXHIGHTSFO,61.8,,,,58.8
2022-04-16,KXHIGHTSFO,59.9,,,,58.8
2022-04-17,KXHIGHTSFO,58.3,,,,58.8
2022-04-18,KXHIGHTSFO,68.1,,,,59.8
2022-04-19,KXHIGHTSFO,62.5,,,,59.4
2022-04-20,KXHIGHTSFO,66.4,,,,57.9
2022-04-21,KXHIGHTSFO,61.9,,,,59.1
2022-04-22,KXHIGHTSFO,61.7,,,,60.3
2022-04-23,KXHIGHTSFO,68.8,,,,65.3
2022-04-24,KXHIGHTSFO,67.9,,,,66.2
2022-04-25,KXHIGHTSFO,67.8,,,,66.5
2022-04-26,KXHIGHTSFO,63.9,,,,64.4
2022-04-27,KXHIGHTSFO,63.2,,,,63.3
2022-04-28,KXHIGHTSFO,61.0,,,,60.7
2022-04-29,KXHIGHTSFO,67.5,,,,67.2
2022-04-30,KXHIGHTSFO,65.9,,,,66.2
2022-05-01,KXHIGHTSFO,67.9,,,,69.0
2022-05-02,KXHIGHTSFO,63.8,,,,64.2
2022-05-03,KXHIGHTSFO,73.9,,,,73.5
2022-05-04,KXHIGHTSFO,71.7,,,,70.4
2022-05-05,KXHIGHTSFO,62.3,,,,62.9
2022-05-06,KXHIGHTSFO,65.5,,,,63.2
2022-05-07,KXHIGHTSFO,63.7,,,,63.3
2022-05-08,KXHIGHTSFO,58.8,,,,56.3
2022-05-09,KXHIGHTSFO,59.4,,,,56.5
2022-05-10,KXHIGHTSFO,58.7,,,,57.2
2022-05-11,KXHIGHTSFO,63.4,,,,62.5
2022-05-12,KXHIGHTSFO,61.2,,,,62.2
2022-05-13,KXHIGHTSFO,71.8,,,,70.7
2022-05-14,KXHIGHTSFO,74.0,,,,74.5
2022-05-15,KXHIGHTSFO,66.3,,,,68.2
2022-05-16,KXHIGHTSFO,63.0,,,,65.9
2022-05-17,KXHIGHTSFO,70.1,,,,72.5
2022-05-18,KXHIGHTSFO,80.8,,,,82.0
2022-05-19,KXHIGHTSFO,73.8,,,,76.6
2022-05-20,KXHIGHTSFO,72.8,,,,76.7
2022-05-21,KXHIGHTSFO,72.0,,,,74.1
2022-05-22,KXHIGHTSFO,71.2,,,,75.1
2022-05-23,KXHIGHTSFO,73.7,,,,78.6
2022-05-24,KXHIGHTSFO,87.8,,,,85.1
2022-05-25,KXHIGHTSFO,81.2,,,,83.1
2022-05-26,KXHIGHTSFO,66.3,,,,60.4
2022-05-27,KXHIGHTSFO,62.9,,,,61.5
2022-05-28,KXHIGHTSFO,67.2,,,,62.2
2022-05-29,KXHIGHTSFO,69.1,,,,71.5
2022-05-30,KXHIGHTSFO,67.8,,,,71.7
2022-05-31,KXHIGHTSFO,74.0,,,,77.5
2022-06-01,KXHIGHTSFO,72.4,,,,73.5
2022-06-02,KXHIGHTSFO,67.7,,,,72.9
2022-06-03,KXHIGHTSFO,68.4,,,,68.0
2022-06-04,KXHIGHTSFO,70.2,,,,67.1
2022-06-05,KXHIGHTSFO,69.9,,,,69.9
2022-06-06,KXHIGHTSFO,70.1,,,,73.8
2022-06-07,KXHIGHTSFO,66.8,,,,70.3
2022-06-08,KXHIGHTSFO,69.9,,,,74.0
2022-06-09,KXHIGHTSFO,81.2,,,,84.2
2022-06-10,KXHIGHTSFO,88.2,,,,86.5
2022-06-11,KXHIGHTSFO,78.9,,,,80.0
2022-06-12,KXHIGHTSFO,72.1,,,,67.7
2022-06-13,KXHIGHTSFO,72.9,,,,75.1
2022-06-14,KXHIGHTSFO,77.5,,,,80.3
2022-06-15,KXHIGHTSFO,71.1,,,,75.6
2022-06-16,KXHIGHTSFO,67.3,,,,70.0
2022-06-17,KXHIGHTSFO,65.4,,,,64.8
2022-06-18,KXHIGHTSFO,67.8,,,,69.7
2022-06-19,KXHIGHTSFO,76.5,,,,77.1
2022-06-20,KXHIGHTSFO,80.9,,,,80.6
2022-06-21,KXHIGHTSFO,96.9,,,,95.0
2022-06-22,KXHIGHTSFO,80.7,,,,76.9
2022-06-23,KXHIGHTSFO,76.0,,,,76.1
2022-06-24,KXHIGHTSFO,72.5,,,,76.1
2022-06-25,KXHIGHTSFO,69.0,,,,76.8
2022-06-26,KXHIGHTSFO,68.5,,,,72.8
2022-06-27,KXHIGHTSFO,72.7,,,,73.6
2022-06-28,KXHIGHTSFO,71.9,,,,77.9
2022-06-29,KXHIGHTSFO,65.7,,,,69.8
2022-06-30,KXHIGHTSFO,61.4,,,,68.1
2022-07-01,KXHIGHTSFO,64.0,,,,70.0
2022-07-02,KXHIGHTSFO,60.7,,,,67.0
2022-07-03,KXHIGHTSFO,63.9,,,,66.0
2022-07-04,KXHIGHTSFO,72.6,,,,68.9
2022-07-05,KXHIGHTSFO,71.9,,,,71.9
2022-07-06,KXHIGHTSFO,69.9,,,,69.3
2022-07-07,KXHIGHTSFO,70.0,,,,72.7
2022-07-08,KXHIGHTSFO,70.2,,,,77.2
2022-07-09,KXHIGHTSFO,69.4,,,,74.3
2022-07-10,KXHIGHTSFO,78.9,,,,82.1
2022-07-11,KXHIGHTSFO,72.6,,,,74.8
2022-07-12,KXHIGHTSFO,70.5,,,,70.6
2022-07-13,KXHIGHTSFO,69.9,,,,71.1
